Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,-1,0,0,1,0,0,-1,0,1,1,1,1,0,0
0.1,0.616216,0.0327659,0,-0.277164,0.480022,0,-0.336487,-0.517233,0,-0.255874,-1,0.00120179,1.2151,1,0.121185,-0.255814,-1,0.00120171,0.999082,1.09906,0.999018,0.998589,0.0530976,0
0.2,0.65456,0.0663506,0,-0.264522,0.45813,0,-0.384747,-0.533647,0,-0.306867,-1,0,1.24115,1,0.122709,-0.306818,-1,0,0.999101,1.19906,0.999036,0.994902,0.10085,0
0.3,0.692139,0.10126,0,-0.250191,0.43331,0,-0.433771,-0.548736,0,-0.37137,-1,0,1.28328,1,0.126088,-0.37133,-1,0,0.999121,1.29906,0.999057,0.989467,0.144759,0
0.4,0.728808,0.137747,0,-0.233903,0.4051,0,-0.483706,-0.562246,0,-0.456254,-1,0,1.34771,1,0.131358,-0.456221,-1,0,0.999144,1.39906,0.99908,0.982604,0.185715,0
0.5,0.764357,0.176172,0,-0.21527,0.372828,0,-0.534761,-0.573818,0,-0.573871,-1,0,1.44637,-1,0.139394,-0.573844,1,0,0.999171,1.49906,0.999106,0.971761,0.235967,0
0.6,0.714474,0.123944,0,-0.225262,0.463741,0,-0.480667,-0.605324,0,0.450446,-1,0,-1.72105,-1,0.185194,1.65502,1,0.176635,0.999281,1.40107,1.09815,0.983085,0.183149,0
0.7,0.657206,0.0778577,0,-0.22573,0.54603,0,-0.429551,-0.635695,0,0.141955,-1,0,-1.59006,-1,0.164458,1.56711,1,0.160005,0.99938,1.30108,1.19817,0.991398,0.130879,0
0.8,0.592271,0.0370322,0,-0.217846,0.622407,0,-0.379874,-0.666637,0,-0.133789,-1,0,-1.56625,-1,0.156986,1.58791,1,0.156943,0.999475,1.20109,1.29819,0.99704,0.0768872,0
0.9,0.518391,0.00111007,0,-0.201872,0.694198,0,-0.330103,-0.699108,0,-0.440032,-1,0,-1.6502,-1,0.159824,1.71501,1,0.164194,0.999574,1.10111,1.39819,0.999833,0.0182652,0
