Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,1,0,0,1,0,0,-1,0,1,1,1,1,0,0
0.1,0.65491,-6.87762e-19,0,-0.32523,0.4995,0,-0.32523,-0.4995,0,0.920091,1,0.0953616,0.920091,1,0.0953616,-0.364873,-1,0.00163007,1.09908,1.09908,0.999,1,-1.05016e-18,0
0.2,0.730134,1.09635e-20,0,-0.361064,0.4995,0,-0.361064,-0.4995,0,0.872013,1,0.0894558,0.872013,1,0.0894558,-0.31906,-1,0,1.19909,1.19909,0.999,1,1.50157e-20,0
0.3,0.803825,9.35546e-19,0,-0.396488,0.4995,0,-0.396488,-0.4995,0,0.836164,1,0.0853092,0.836164,1,0.0853092,-0.28428,-1,0,1.2991,1.2991,0.999,1,1.16387e-18,0
0.4,0.876343,1.51587e-18,0,-0.431628,0.4995,0,-0.431628,-0.4995,0,0.808482,1,0.0821623,0.808482,1,0.0821623,-0.256868,-1,0,1.3991,1.3991,0.999,1,1.72977e-18,0
0.5,0.947938,2.39702e-18,0,-0.466567,0.4995,0,-0.466567,-0.4995,0,0.786515,1,0.0796988,0.786515,1,0.0796988,-0.234636,1,0,1.49911,1.49911,0.999,1,2.5419e-18,0
0.6,0.934776,4.55629e-18,0,-0.461076,0.5495,0,-0.461076,-0.5495,0,-0.133016,1,0,-0.133016,1,0,1.1354,1,0.113924,1.50012,1.50012,1.098,1,4.90008e-18,0
0.7,0.92016,6.44574e-18,0,-0.454969,0.5995,0,-0.454969,-0.5995,0,-0.150279,1,0,-0.150279,1,0,1.13162,1,0.113312,1.50013,1.50013,1.198,1,7.04279e-18,0
0.8,0.904029,7.6976e-18,0,-0.448213,0.6495,0,-0.448213,-0.6495,0,-0.169121,1,0,-0.169121,1,0,1.13207,1,0.113151,1.50014,1.50014,1.298,1,8.5615e-18,0
0.9,0.886313,8.97656e-18,0,-0.440767,0.6995,0,-0.440767,-0.6995,0,-0.189875,1,0,-0.189875,1,0,1.13647,1,0.113397,1.50015,1.50015,1.398,1,1.01847e-17,0
1,0.866925,9.89815e-18,0,-0.432585,0.7495,0,-0.432585,-0.7495,0,-0.212955,-1,0,-0.212955,-1,0,1.14481,1,0.114035,1.50016,1.50016,1.498,1,1.14253e-17,0
1.1,0.78748,8.66676e-18,0,-0.394565,0.7505,0,-0.394565,-0.7505,0,-0.986094,-1,0.0961958,-0.986094,-1,0.0961958,0.483377,1,0.00314388,1.40117,1.40117,1.501,1,1.10139e-17,0
1.2,0.705984,8.66052e-18,0,-0.355731,0.7505,0,-0.355731,-0.7505,0,-1.06099,-1,0.102181,-1.06099,-1,0.102181,0.559655,1,0,1.30119,1.30119,1.501,1,1.22775e-17,0
1.3,0.621124,7.08952e-18,0,-0.315495,0.7505,0,-0.315495,-0.7505,0,-1.16948,-1,0.111214,-1.16948,-1,0.111214,0.668872,1,0,1.20121,1.20121,1.501,1,1.14248e-17,0
1.4,0.531388,4.97701e-18,0,-0.273152,0.7505,0,-0.273152,-0.7505,0,-1.34004,-1,0.124849,-1.34004,-1,0.124849,0.839223,1,0,1.10124,1.10124,1.501,1,9.37637e-18,0
1.5,0.433954,-1.57888e-18,0,-0.227361,0.7505,0,-0.227361,-0.7505,0,-1.64626,-1,0.147768,-1.64626,-1,0.147768,1.14393,-1,0,1.00129,1.00129,1.501,1,-3.58123e-18,0
1.6,0.470275,-3.66765e-20,0,-0.242424,0.7005,0,-0.242424,-0.7005,0,0.458849,-1,0.00107646,0.458849,-1,0.00107646,-1.34979,-1,0.138408,0.99932,0.99932,1.402,1,-7.68581e-20,0
1.7,0.502918,9.74964e-19,0,-0.255723,0.6505,0,-0.255723,-0.6505,0,0.373261,-1,0,0.373261,-1,0,-1.2846,-1,0.13146,0.999343,0.999343,1.302,1,1.91229e-18,0
1.8,0.531635,1.70292e-18,0,-0.267193,0.6005,0,-0.267193,-0.6005,0,0.308313,-1,0,0.308313,-1,0,-1.24198,-1,0.126152,0.999363,0.999363,1.202,1,3.16201e-18,0
1.9,0.556965,2.14546e-18,0,-0.277131,0.5505,0,-0.277131,-0.5505,0,0.257021,-1,0,0.257021,-1,0,-1.21555,-1,0.122745,0.999382,0.999382,1.102,1,3.80476e-18,0
2,0.579293,1.36625e-18,0,-0.28575,0.5005,0,-0.28575,-0.5005,0,0.215193,1,0,0.215193,1,0,-1.20203,-1,0.120772,0.999399,0.999399,1.002,1,2.3691e-18,0
2.1,0.656843,5.34623e-19,0,-0.322295,0.5,0,-0.322295,-0.5,0,0.920934,1,0.0954615,0.920934,1,0.0954615,-0.365816,-1,0.00163158,1.09841,1.09841,1,1,8.1716e-19,0
2.2,0.732098,1.35715e-18,0,-0.35814,0.5,0,-0.35814,-0.5,0,0.872651,1,0.089529,0.872651,1,0.089529,-0.319803,-1,0,1.19842,1.19842,1,1,1.86037e-18,0
2.3,0.805814,2.46833e-18,0,-0.393571,0.5,0,-0.393571,-0.5,0,0.836666,1,0.0853657,0.836666,1,0.0853657,-0.284888,-1,0,1.29843,1.29843,1,1,3.07306e-18,0
2.4,0.878352,2.38068e-18,0,-0.428717,0.5,0,-0.428717,-0.5,0,0.808888,1,0.0822074,0.808888,1,0.0822074,-0.257381,-1,0,1.39844,1.39844,1,1,2.71843e-18,0
2.5,0.949963,2.97659e-18,0,-0.46366,0.5,0,-0.46366,-0.5,0,0.786853,1,0.0797358,0.786853,1,0.0797358,-0.235079,1,0,1.49844,1.49844,1,1,3.15847e-18,0
2.6,0.937502,4.02305e-18,0,-0.458512,0.55,0,-0.458512,-0.55,0,-0.133141,1,0.000669217,-0.133141,1,0.000669217,1.13532,1,0.113679,1.50045,1.50045,1.099,1,4.32607e-18,0
2.7,0.922876,5.30567e-18,0,-0.452401,0.6,0,-0.452401,-0.6,0,-0.150411,1,0,-0.150411,1,0,1.13157,1,0.113305,1.50046,1.50046,1.199,1,5.79648e-18,0
2.8,0.906734,6.50074e-18,0,-0.44564,0.65,0,-0.44564,-0.65,0,-0.169261,1,0,-0.169261,1,0,1.13205,1,0.113148,1.50047,1.50047,1.299,1,7.22958e-18,0
2.9,0.889006,7.76392e-18,0,-0.438189,0.7,0,-0.438189,-0.7,0,-0.190025,1,0,-0.190025,1,0,1.13649,1,0.113397,1.50048,1.50048,1.399,1,8.80804e-18,0
3,0.869607,9.05618e-18,0,-0.430001,0.75,0,-0.430001,-0.75,0,-0.213117,-1,0,-0.213117,-1,0,1.14485,1,0.114038,1.50049,1.50049,1.499,1,1.04526e-17,0
3.1,0.790372,7.85331e-18,0,-0.392069,0.7505,0,-0.392069,-0.7505,0,-0.985882,-1,0.0959648,-0.985882,-1,0.0959648,0.48316,1,0.00157168,1.40151,1.40151,1.501,1,9.97663e-18,0
3.2,0.708885,7.31189e-18,0,-0.35324,0.7505,0,-0.35324,-0.7505,0,-1.06069,-1,0.102156,-1.06069,-1,0.102156,0.559355,1,0,1.30152,1.30152,1.501,1,1.03614e-17,0
3.3,0.624038,4.96407e-18,0,-0.31301,0.7505,0,-0.31301,-0.7505,0,-1.16903,-1,0.111177,-1.16903,-1,0.111177,0.668427,1,0,1.20155,1.20155,1.501,1,7.99577e-18,0
3.4,0.534323,3.49701e-18,0,-0.270675,0.7505,0,-0.270675,-0.7505,0,-1.3393,-1,0.124792,-1.3393,-1,0.124792,0.838492,1,0,1.10158,1.10158,1.501,1,6.58421e-18,0
3.5,0.436922,-2.10258e-18,0,-0.224899,0.7505,0,-0.224899,-0.7505,0,-1.64483,-1,0.147665,-1.64483,-1,0.147665,1.1425,-1,0,1.00163,1.00163,1.501,1,-4.76545e-18,0
3.6,0.473217,-1.63666e-18,0,-0.239951,0.7005,0,-0.239951,-0.7005,0,0.458375,-1,0.00107573,0.458375,-1,0.00107573,-1.34938,-1,0.138358,0.999654,0.999654,1.402,1,-3.42749e-18,0
3.7,0.50584,-1.00447e-18,0,-0.253241,0.6505,0,-0.253241,-0.6505,0,0.372934,-1,0,0.372934,-1,0,-1.28433,-1,0.131427,0.999677,0.999677,1.302,1,-1.96905e-18,0
3.8,0.534542,-1.75868e-18,0,-0.264706,0.6005,0,-0.264706,-0.6005,0,0.30808,-1,0,0.30808,-1,0,-1.2418,-1,0.12613,0.999698,0.999698,1.202,1,-3.26387e-18,0
3.9,0.559858,-2.68596e-18,0,-0.274638,0.5505,0,-0.274638,-0.5505,0,0.25685,-1,0,0.25685,-1,0,-1.21542,-1,0.12273,0.999717,0.999717,1.102,1,-4.76108e-18,0
4,0.582175,-3.62239e-18,0,-0.283254,0.5005,0,-0.283254,-0.5005,0,0.215065,1,0,0.215065,1,0,-1.20194,-1,0.120762,0.999734,0.999734,1.002,1,-6.27848e-18,0
4.1,0.659718,-2.43481e-18,0,-0.319796,0.5,0,-0.319796,-0.5,0,0.920745,1,0.0954387,0.920745,1,0.0954387,-0.365638,-1,0.00163124,1.09875,1.09875,1,1,-3.72014e-18,0
4.2,0.734967,-1.50636e-18,0,-0.355639,0.5,0,-0.355639,-0.5,0,0.872513,1,0.0895129,0.872513,1,0.0895129,-0.31967,-1,0,1.19876,1.19876,1,1,-2.06422e-18,0
4.3,0.808678,-8.87462e-19,0,-0.391069,0.5,0,-0.391069,-0.5,0,0.836561,1,0.0853537,0.836561,1,0.0853537,-0.284785,-1,0,1.29877,1.29877,1,1,-1.10456e-18,0
4.4,0.881212,-6.76977e-19,0,-0.426214,0.5,0,-0.426214,-0.5,0,0.808806,1,0.0821982,0.808806,1,0.0821982,-0.257299,-1,0,1.39877,1.39877,1,1,-7.72814e-19,0
4.5,0.952821,-2.16775e-19,0,-0.461157,0.5,0,-0.461157,-0.5,0,0.786787,1,0.0797284,0.786787,1,0.0797284,-0.235011,1,0,1.49878,1.49878,1,1,-2.29963e-19,0
4.6,0.940364,2.3395e-18,0,-0.456011,0.55,0,-0.456011,-0.55,0,-0.133101,1,0.000669185,-0.133101,1,0.000669185,1.1353,1,0.113677,1.50079,1.50079,1.099,1,2.51506e-18,0
4.7,0.925741,4.34286e-18,0,-0.449901,0.6,0,-0.449901,-0.6,0,-0.150363,1,0,-0.150363,1,0,1.13154,1,0.113303,1.5008,1.5008,1.199,1,4.74334e-18,0
4.8,0.909604,5.71617e-18,0,-0.443141,0.65,0,-0.443141,-0.65,0,-0.169204,1,0,-0.169204,1,0,1.13202,1,0.113145,1.50081,1.50081,1.299,1,6.35529e-18,0
4.9,0.891881,6.85546e-18,0,-0.435692,0.7,0,-0.435692,-0.7,0,-0.189956,1,0,-0.189956,1,0,1.13644,1,0.113393,1.50082,1.50082,1.399,1,7.77517e-18,0
5,0.872488,7.64156e-18,0,-0.427506,0.75,0,-0.427506,-0.75,0,-0.213035,-1,0,-0.213035,-1,0,1.14479,1,0.114033,1.50083,1.50083,1.499,1,8.81723e-18,0
5.1,0.79326,6.88997e-18,0,-0.389578,0.7505,0,-0.389578,-0.7505,0,-0.985671,-1,0.0959464,-0.985671,-1,0.0959464,0.482943,1,0.00157146,1.40184,1.40184,1.501,1,8.74989e-18,0
5.2,0.711783,5.28732e-18,0,-0.350752,0.7505,0,-0.350752,-0.7505,0,-1.0604,-1,0.102131,-1.0604,-1,0.102131,0.559055,1,0,1.30186,1.30186,1.501,1,7.48956e-18,0
5.3,0.626949,4.61891e-18,0,-0.310527,0.7505,0,-0.310527,-0.7505,0,-1.16859,-1,0.111141,-1.16859,-1,0.111141,0.667983,1,0,1.20188,1.20188,1.501,1,7.43637e-18,0
5.4,0.537254,1.57524e-18,0,-0.268201,0.7505,0,-0.268201,-0.7505,0,-1.33857,-1,0.124735,-1.33857,-1,0.124735,0.837764,1,0,1.10191,1.10191,1.501,1,2.96417e-18,0
5.5,0.439885,-2.49089e-18,0,-0.222441,0.7505,0,-0.222441,-0.7505,0,-1.6434,-1,0.147563,-1.6434,-1,0.147563,1.14109,-1,0,1.00196,1.00196,1.501,1,-5.64122e-18,0
5.6,0.476156,-4.72038e-19,0,-0.237481,0.7005,0,-0.237481,-0.7005,0,0.457902,-1,0.00107501,0.457902,-1,0.00107501,-1.34897,-1,0.138307,0.999989,0.999989,1.402,1,-9.87898e-19,0
5.7,0.507862,2.66733e-19,0,-0.250342,0.6505,0,-0.250342,-0.6505,0,0.373585,-1,0.00093156,0.373585,-1,0.00093156,-1.28487,-1,0.130613,0.999011,0.999011,1.302,1,5.2349e-19,0
5.8,0.536595,-8.89774e-19,0,-0.261819,0.6005,0,-0.261819,-0.6005,0,0.308544,-1,0,0.308544,-1,0,-1.24216,-1,0.126174,0.999032,0.999032,1.202,1,-1.65305e-18,0
5.9,0.561937,-9.75772e-19,0,-0.271761,0.5505,0,-0.271761,-0.5505,0,0.257191,-1,0,0.257191,-1,0,-1.21567,-1,0.12276,0.999051,0.999051,1.102,1,-1.73131e-18,0
6,0.584276,-1.68442e-18,0,-0.280385,0.5005,0,-0.280385,-0.5005,0,0.215319,1,0,0.215319,1,0,-1.20211,-1,0.120783,0.999068,0.999068,1.002,1,-2.92211e-18,0
6.1,0.661834,-1.12624e-18,0,-0.316932,0.5,0,-0.316932,-0.5,0,0.921121,1,0.095484,0.921121,1,0.095484,-0.365993,-1,0.00163191,1.09808,1.09808,1,1,-1.72208e-18,0
6.2,0.737095,-4.0812e-19,0,-0.352778,0.5,0,-0.352778,-0.5,0,0.872788,1,0.089545,0.872788,1,0.089545,-0.319934,-1,0,1.19809,1.19809,1,1,-5.59636e-19,0
6.3,0.810815,-4.06778e-19,0,-0.388211,0.5,0,-0.388211,-0.5,0,0.83677,1,0.0853776,0.83677,1,0.0853776,-0.28499,-1,0,1.2981,1.2981,1,1,-5.06585e-19,0
6.4,0.883356,-1.94288e-19,0,-0.423357,0.5,0,-0.423357,-0.5,0,0.80897,1,0.0822166,0.80897,1,0.0822166,-0.257462,-1,0,1.39811,1.39811,1,1,-2.21911e-19,0
6.5,0.954971,6.46723e-20,0,-0.4583,0.5,0,-0.4583,-0.5,0,0.786918,1,0.0797431,0.786918,1,0.0797431,-0.235146,1,0,1.49811,1.49811,1,1,6.86411e-20,0
6.6,0.942506,2.4707e-18,0,-0.453152,0.55,0,-0.453152,-0.55,0,-0.133181,1,0.000669249,-0.133181,1,0.000669249,1.13534,1,0.113681,1.50012,1.50012,1.099,1,2.65748e-18,0
6.7,0.927876,4.48239e-18,0,-0.447039,0.6,0,-0.447039,-0.6,0,-0.150458,1,0,-0.150458,1,0,1.1316,1,0.113308,1.50013,1.50013,1.199,1,4.89833e-18,0
6.8,0.91173,5.54964e-18,0,-0.440277,0.65,0,-0.440277,-0.65,0,-0.169318,1,0,-0.169318,1,0,1.13209,1,0.113151,1.50014,1.50014,1.299,1,6.17353e-18,0
6.9,0.893997,6.61341e-18,0,-0.432824,0.7,0,-0.432824,-0.7,0,-0.190092,1,0,-0.190092,1,0,1.13653,1,0.113401,1.50015,1.50015,1.399,1,7.50495e-18,0
7,0.874592,7.45154e-18,0,-0.424633,0.75,0,-0.424633,-0.75,0,-0.213198,-1,0,-0.213198,-1,0,1.14491,1,0.114043,1.50016,1.50016,1.499,1,8.60306e-18,0
