Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,1,0,0,0.175514,0,0,-0.213189,0,1,1,1,1,0,0
0.1,0.623205,-0.026801,0,-0.334449,0.514534,0,-0.285898,-0.484085,0,1.16621,1,0.116485,-0.0496347,0.175514,0.000472091,-0.268096,-0.213189,0.000108292,1.09907,1.01746,0.999798,0.999077,-0.0429654,0
0.2,0.629933,-0.0214992,0,-0.332244,0.511754,0,-0.294515,-0.487333,0,-0.0463003,1,0,0.209809,0.175514,0.00368122,-0.0266172,-0.213189,0,1.10007,1.03501,0.999799,0.999418,-0.0341095,0
0.3,0.636655,-0.0161758,0,-0.330009,0.508901,0,-0.303149,-0.490538,0,-0.0470561,1,0,0.209996,0.175514,0.00368401,-0.028045,-0.213189,0,1.10007,1.05256,0.9998,0.999677,-0.0253992,0
0.4,0.64337,-0.0108298,0,-0.327743,0.505972,0,-0.311799,-0.493701,0,-0.0478574,1,0,0.210241,0.175514,0.0036878,-0.0294925,-0.213189,0,1.10007,1.07011,0.9998,0.999858,-0.0168306,0
0.5,0.650078,-0.00546072,0,-0.325446,0.502968,0,-0.320467,-0.49682,0,-0.0487055,1,0,0.210542,0.175514,0.0036926,-0.030962,-0.213189,0,1.10007,1.08766,0.999801,0.999965,-0.0083998,0
0.6,0.654768,-0.00168811,0,-0.323819,0.50082,0,-0.326545,-0.498978,0,0,1,0,0,0.175514,0.00258821,0,-0.213189,0,1.10007,1.10012,0.999801,0.999997,-0.00257816,0
0.7,0.653889,-0.00171014,0,-0.323441,0.501333,0,-0.32612,-0.499465,0,-0.964387,-0.874257,0.000843122,-1.08151,-0.953226,0.00103092,1.51451,1,0.00151451,1.10007,1.10012,0.999801,0.999996,-0.0027,0
0.8,0.561379,-0.00378066,0,-0.283798,0.552521,0,-0.282034,-0.548279,0,-1.16143,-0.874257,0.092301,-1.25828,-0.953226,0.110793,1.67075,1,0.158523,1.0127,1.00486,1.0998,0.999977,-0.00684391,0
0.9,0.554458,-0.00128323,0,-0.278613,0.55114,0,-0.280745,-0.549661,0,0,-0.874257,0.0121935,0,-0.953226,0.00483181,0,1,0,0.999589,0.999141,1.1008,0.999997,-0.00241348,0
1,0.554458,-0.00128323,0,-0.278613,0.55114,0,-0.280745,-0.549661,0,0,-0.874257,0,0,-0.953226,0,0,1,0,0.999589,0.999141,1.1008,0.999997,-0.00241348,0
1.1,0.554458,-0.00128323,0,-0.278613,0.55114,0,-0.280745,-0.549661,0,0,-0.874257,0,0,-0.953226,0,0,1,0,0.999589,0.999141,1.1008,0.999997,-0.00241348,0
1.2,0.554458,-0.00128323,0,-0.278613,0.55114,0,-0.280745,-0.549661,0,0,-0.874257,0,0,-0.953226,0,0,1,0,0.999589,0.999141,1.1008,0.999997,-0.00241348,0
1.3,0.554458,-0.00128323,0,-0.278613,0.55114,0,-0.280745,-0.549661,0,0,-0.874257,0,0,-0.953226,0,0,1,0,0.999589,0.999141,1.1008,0.999997,-0.00241348,0
1.4,0.554543,-0.00128346,0,-0.278647,0.550959,0,-0.280778,-0.54948,0,0.0462651,-0.779372,0,0.0461903,-0.264761,0,-0.219112,-0.180297,7.90119e-05,0.999589,0.999141,1.10062,0.999997,-0.00242497,0
1.5,0.558776,-0.00129484,0,-0.280309,0.541949,0,-0.282404,-0.540461,0,0.0448017,-0.779372,0,0.0447241,-0.264761,0,-0.218518,-0.180297,0.00394501,0.99959,0.999141,1.08259,0.999997,-0.00242696,0
1.6,0.562914,-0.00130607,0,-0.281931,0.532939,0,-0.283987,-0.531441,0,0.0433895,-0.779372,0,0.043309,-0.264761,0,-0.217995,-0.180297,0.00393495,0.99959,0.999142,1.06456,0.999997,-0.00242907,0
1.7,0.566958,-0.00131716,0,-0.283511,0.523929,0,-0.28553,-0.522421,0,0.0420256,-0.779372,0,0.0419422,-0.264761,0,-0.217544,-0.180297,0.00392618,0.999591,0.999143,1.04653,0.999997,-0.00243128,0
1.8,0.57091,-0.00132809,0,-0.285052,0.514919,0,-0.287034,-0.513402,0,0.0407073,-0.779372,0,0.0406207,-0.264761,0,-0.217162,-0.180297,0.00391867,0.999591,0.999143,1.0285,0.999997,-0.00243361,0
1.9,0.574772,-0.00133889,0,-0.286555,0.505909,0,-0.288498,-0.504382,0,0.0394318,-0.779372,0,0.039342,-0.264761,0,-0.216848,-0.180297,0.0039124,0.999592,0.999144,1.01047,0.999997,-0.00243603,0
2,0.576971,-0.00134509,0,-0.287409,0.500683,0,-0.28933,-0.499151,0,0,-0.779372,0,0,-0.264761,0,0,-0.180297,0.0022668,0.999592,0.999144,0.999836,0.999997,-0.00243748,0
2.1,0.577871,-0.00158386,0,-0.288044,0.500818,0,-0.289538,-0.499016,0,0.551741,0.50514,0.00083623,0.201876,0.25814,0.000156459,-0.163545,-0.500859,0,1.0006,0.99966,0.999836,0.999996,-0.00284906,0
2.2,0.607649,-0.00963789,0,-0.309251,0.505342,0,-0.296304,-0.494411,0,0.545347,0.50514,0.0277008,0.186895,0.25814,0.00501273,-0.156821,-0.500859,0,1.05112,1.02548,0.999837,0.999873,-0.0159635,0
2.3,0.636285,-0.0172259,0,-0.329526,0.509526,0,-0.303018,-0.489961,0,-0.0691247,0.50514,0.0263239,0.308831,0.25814,0.00478394,-0.0410891,-0.500859,0,1.10012,1.0513,0.999838,0.999631,-0.0271639,0
2.4,0.646168,-0.00936882,0,-0.32619,0.505198,0,-0.31575,-0.494587,0,-0.0708742,0.50514,0,0.30938,0.25814,0.00797895,-0.0442277,-0.500859,0,1.10012,1.07711,0.999839,0.999893,-0.0145957,0
2.5,0.654851,-0.00241254,0,-0.323199,0.501252,0,-0.326985,-0.498581,0,0,0.50514,0,0,0.25814,0.007035,0,-0.500859,0,1.10012,1.10008,0.999841,0.999993,-0.00377968,0
2.6,0.654851,-0.00241254,0,-0.323199,0.501252,0,-0.326985,-0.498581,0,0,0.50514,0,0,0.25814,0,0,-0.500859,0,1.10012,1.10008,0.999841,0.999993,-0.00377968,0
2.7,0.654851,-0.00241254,0,-0.323199,0.501252,0,-0.326985,-0.498581,0,0,0.50514,0,0,0.25814,0,0,-0.500859,0,1.10012,1.10008,0.999841,0.999993,-0.00377968,0
2.8,0.651424,-0.0021115,0,-0.321336,0.503081,0,-0.325723,-0.50075,0,-1.17118,-1,0.00467835,-0.826883,-0.766399,0.00252701,1.50656,1,0.00601987,1.09712,1.09779,1.00284,0.999994,-0.0033816,0
2.9,0.563075,0.00410664,0,-0.275045,0.54807,0,-0.292107,-0.552639,0,0.110703,-1,0.119976,-0.915751,-0.766399,0.0706863,0.200306,1,0.152423,0.99917,1.02121,1.10084,0.999974,0.00715993,0
3,0.554612,-0.00270364,0,-0.276506,0.551904,0,-0.282731,-0.548922,0,0,-1,0,0,-0.766399,0.0189445,0,1,0,0.999173,0.999749,1.10084,0.999987,-0.00504417,0
3.1,0.554612,-0.00270364,0,-0.276506,0.551904,0,-0.282731,-0.548922,0,0,-1,0,0,-0.766399,0,0,1,0,0.999173,0.999749,1.10084,0.999987,-0.00504417,0
3.2,0.554612,-0.00270364,0,-0.276506,0.551904,0,-0.282731,-0.548922,0,0,-1,0,0,-0.766399,0,0,1,0,0.999173,0.999749,1.10084,0.999987,-0.00504417,0
3.3,0.554612,-0.00270364,0,-0.276506,0.551904,0,-0.282731,-0.548922,0,0,-1,0,0,-0.766399,0,0,1,0,0.999173,0.999749,1.10084,0.999987,-0.00504417,0
3.4,0.554612,-0.00270364,0,-0.276506,0.551904,0,-0.282731,-0.548922,0,0,-1,0,0,-0.766399,0,0,1,0,0.999173,0.999749,1.10084,0.999987,-0.00504417,0
3.5,0.554815,-0.0027046,0,-0.276587,0.551476,0,-0.282808,-0.548494,0,0.0438384,-0.763975,0,0.0439299,-0.390689,0,-0.208195,-0.171332,0.000178362,0.999173,0.999749,1.10016,0.999987,-0.00502757,0
3.6,0.558837,-0.00272345,0,-0.278196,0.542916,0,-0.284323,-0.53992,0,0.0425145,-0.763975,0,0.0426092,-0.390689,0,-0.207659,-0.171332,0.00356231,0.999173,0.99975,1.08303,0.999987,-0.00502513,0
3.7,0.562773,-0.00274178,0,-0.279767,0.534356,0,-0.2858,-0.531347,0,0.0412345,-0.763975,0,0.0413326,-0.390689,0,-0.207184,-0.171332,0.00355366,0.999174,0.99975,1.06589,0.999987,-0.00502256,0
3.8,0.566624,-0.00275959,0,-0.281302,0.525796,0,-0.287241,-0.522775,0,0.0399961,-0.763975,0,0.0400976,-0.390689,0,-0.206771,-0.171332,0.00354606,0.999174,0.999751,1.04876,0.999987,-0.00501987,0
3.9,0.570392,-0.00277689,0,-0.2828,0.517236,0,-0.288646,-0.514202,0,0.0387968,-0.763975,0,0.0389019,-0.390689,0,-0.206416,-0.171332,0.00353949,0.999175,0.999751,1.03163,0.999987,-0.00501705,0
4,0.574078,-0.0027937,0,-0.284264,0.508675,0,-0.290016,-0.50563,0,0.0376345,-0.763975,0,0.0377434,-0.390689,0,-0.206121,-0.171332,0.00353393,0.999175,0.999752,1.01449,0.999987,-0.00501411,0
4.1,0.577112,-0.00280743,0,-0.285466,0.501484,0,-0.291141,-0.498429,0,0,-0.763975,0,0,-0.390689,0,0,-0.171332,0.00296494,0.999176,0.999752,0.999929,0.999987,-0.00501155,0
