action_interval,max_length,displacement
0.1,1.1,0.3872766495823026
0.1,1.15,0.6338693039059943
0.1,1.2,0.6849270078411829
0.1,1.25,0.5437784704914007
0.1,1.3,0.4451582775400973
0.1,1.35,0.38322799014195424
0.1,1.4,0.35247810998635015
0.1,1.45,0.3468481591252827
0.1,1.5,0.3468481591252827
0.1,1.55,0.3468481591252827
0.1,1.6,0.3468481591252827
0.1,1.65,0.3468481591252827
0.1,1.7,0.3468481591252827
0.1,1.75,0.3468481591252827
0.1,1.8,0.3468481591252827
0.1,1.85,0.3468481591252827
0.1,1.9,0.3468481591252827
0.1,1.95,0.3468481591252827
0.15,1.1,0.258094278711753
0.15,1.15,0.5461816905335997
0.15,1.2,0.8033675216248373
0.15,1.25,0.926667955407659
0.15,1.3,0.9349928616821189
0.15,1.35,0.7502241992164412
0.15,1.4,0.6209901604602855
0.15,1.45,0.5402261520765915
0.15,1.5,0.5011121646733714
0.15,1.55,0.4950338530076259
0.15,1.6,0.4950338530076259
0.15,1.65,0.4950338530076259
0.15,1.7,0.4950338530076259
0.15,1.75,0.4950338530076259
0.15,1.8,0.4950338530076259
0.15,1.85,0.4950338530076259
0.15,1.9,0.4950338530076259
0.15,1.95,0.4950338530076259
0.2,1.1,0.1935117065871422
0.2,1.15,0.4096445212911746
0.2,1.2,0.690444045159959
0.2,1.25,0.9390273059570747
0.2,1.3,1.090372286534846
0.2,1.35,1.1509988820119113
0.2,1.4,1.1336762548428878
0.2,1.45,0.9182441918352721
0.2,1.5,0.7673573802608792
0.2,1.55,0.6736237555613173
0.2,1.6,0.6295368351071848
0.2,1.65,0.6239051926125603
0.2,1.7,0.6239051926125603
0.2,1.75,0.6239051926125603
0.2,1.8,0.6239051926125603
0.2,1.85,0.6239051926125603
0.2,1.9,0.6239051926125603
0.2,1.95,0.6239051926125603
0.25,1.1,0.15475230417379673
0.25,1.15,0.327649740733517
0.25,1.2,0.5523181021415023
0.25,1.25,0.8214126637970707
0.25,1.3,1.062903971827392
0.25,1.35,1.2203357944155295
0.25,1.4,1.308516865717088
0.25,1.45,1.3341023988594476
0.25,1.5,1.3008751996652494
0.25,1.55,1.063829535851029
0.25,1.6,0.8973278254934787
0.25,1.65,0.7941128741447545
0.25,1.7,0.7466269846053272
0.25,1.75,0.741480046478394
0.25,1.8,0.741480046478394
0.25,1.85,0.741480046478394
0.25,1.9,0.741480046478394
0.25,1.95,0.741480046478394
0.3,1.1,0.13032514157846373
0.3,1.15,0.274982964305121
0.3,1.2,0.4627042219246291
0.3,1.25,0.6873923255706815
0.3,1.3,0.9435837089408596
0.3,1.35,1.1717674082963203
0.3,1.4,1.33583694781423
0.3,1.45,1.437133714554926
0.3,1.5,1.4862916379612747
0.3,1.55,1.488985410830913
0.3,1.6,1.4461524865434494
0.3,1.65,1.1942150290944626
0.3,1.7,1.0163358683624286
0.3,1.75,0.9059428212287634
0.3,1.8,0.8558294035367219
0.3,1.85,0.8509624781656256
0.3,1.9,0.8509624781656256
0.3,1.95,0.8509624781656256
0.35,1.1,0.11187421399586857
0.35,1.15,0.23595172374536857
0.35,1.2,0.3969378656645119
0.35,1.25,0.5895935316104547
0.35,1.3,0.8092755961020769
0.35,1.35,1.0518941205938312
0.35,1.4,1.2666331972124751
0.35,1.45,1.42719969833769
0.35,1.5,1.5329063213399283
0.35,1.55,1.5943683145044396
0.35,1.6,1.6169706408183802
0.35,1.65,1.5996613876430619
0.35,1.7,1.5409620985313446
0.35,1.75,1.2845468624914096
0.35,1.8,1.1032742456671012
0.35,1.85,0.991761548583496
0.35,1.9,0.9429904846433131
0.35,1.95,0.939536527137553
0.4,1.1,0.09659153776302569
0.4,1.15,0.20465789629233774
0.4,1.2,0.34507469075672953
0.4,1.25,0.5132769278902222
0.4,1.3,0.7051856086665161
0.4,1.35,0.915477445034632
0.4,1.4,1.145924805256976
0.4,1.45,1.3491632218391327
0.4,1.5,1.505662450176508
0.4,1.55,1.6138629244624916
0.4,1.6,1.6841244924782774
0.4,1.65,1.718005893122675
0.4,1.7,1.7200250155941152
0.4,1.75,1.6944904928649303
0.4,1.8,1.6402669102126464
0.4,1.85,1.376770476675264
0.4,1.9,1.188255410978931
0.4,1.95,1.0707233692170401
0.45,1.1,0.0857922527239064
0.45,1.15,0.1818218609569013
0.45,1.2,0.3065973888823847
0.45,1.25,0.4560460934023158
0.45,1.3,0.6265313196411616
0.45,1.35,0.8134170509501879
0.45,1.4,1.0159112295236088
0.45,1.45,1.2308129036819213
0.45,1.5,1.4247947521441577
0.45,1.55,1.5745357776076168
0.45,1.6,1.6854398906752468
0.45,1.65,1.7603868414852137
0.45,1.7,1.804005199465849
0.45,1.75,1.8188171077037432
0.45,1.8,1.8081493539214364
0.45,1.85,1.7757189939446123
0.45,1.9,1.7205140691543257
0.45,1.95,1.4565216669448227
0.5,1.1,0.07720382986328743
0.5,1.15,0.16366070991747964
0.5,1.2,0.2759940790058368
0.5,1.25,0.41055877705368676
0.5,1.3,0.5640852964438664
0.5,1.35,0.7324830352309101
0.5,1.4,0.9148511410945196
0.5,1.45,1.107564881116913
0.5,1.5,1.3082250684113206
0.5,1.55,1.4888370850394104
0.5,1.6,1.6311413702607525
0.5,1.65,1.7385842493679844
0.5,1.7,1.815370350316467
0.5,1.75,1.8620266005533057
0.5,1.8,1.8855846340381752
0.5,1.85,1.8811438895517585
0.5,1.9,1.8597170160312693
0.5,1.95,1.820406516979462
0.55,1.1,0.07013767453141197
0.55,1.15,0.14870067381435573
0.55,1.2,0.2507785416329112
0.55,1.25,0.37304490767628246
