action_interval,max_arm_length,onestep_displacement,onestep_energyconsumption
0.1,1.1,0.0016914154977044256,0.12072671184749831
0.1,1.3,0.0016914154977044256,0.12072671184749831
0.1,1.5,0.0016914154977044256,0.12072671184749831
0.1,1.7,0.0016914154977044256,0.12072671184749831
0.1,1.9,0.0016914154977044256,0.12072671184749831
0.3,1.1,0.0017089714428108285,0.12194163505672811
0.3,1.3,0.005426248978419293,0.36941222116607764
0.3,1.5,0.005426248978419293,0.36941222116607764
0.3,1.7,0.005426248978419293,0.36941222116607764
0.3,1.9,0.005426248978419293,0.36941222116607764
0.5,1.1,0.0017089714428108285,0.12194163505672811
0.5,1.3,0.0054459442914971765,0.37069520811226586
0.5,1.5,0.009519845069430821,0.6399081464643498
0.5,1.7,0.009519845069430821,0.6399081464643498
0.5,1.9,0.009519845069430821,0.6399081464643498
0.7,1.1,0.0017089714428108285,0.12194163505672811
0.7,1.3,0.0054459442914971765,0.37069520811226586
0.7,1.5,0.009540962987431567,0.6413537712091899
0.7,1.7,0.013798835492461175,0.9620143026977231
0.7,1.9,0.013798835492461175,0.9620143026977231
0.9,1.1,0.0017089714428108285,0.12194163505672811
0.9,1.3,0.0054459442914971765,0.37069520811226586
0.9,1.5,0.009540962987431567,0.6413537712091899
0.9,1.7,0.013842404236450057,0.9657586696112425
0.9,1.9,0.018262335774722672,1.482642687102455
