Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,1,0,0,-1,0,0,-0.210231,0,1,1,1,1,0,0
0.1,0.616061,-0.0327757,0,-0.336406,0.517632,0,-0.277126,-0.480417,0,1.21495,1,0.121004,-0.255306,-1,0.00137095,-0.25598,1,5.3112e-05,1.09906,0.999082,0.999807,0.998453,-0.0555944,0
0.2,0.635319,-0.0624921,0,-0.377051,0.581937,0,-0.257262,-0.51134,0,0.903609,1,0.0929656,-0.338595,1,0,0.881757,1,0.0908282,1.19908,0.999082,1.09882,0.994771,-0.102133,0
0.3,0.693084,-0.0622894,0,-0.406041,0.63206,0,-0.285963,-0.561738,0,0.66671,-1,0.066786,0.817936,1,0.0828619,0.761244,1,0.076895,1.29908,1.09808,1.19882,0.995631,-0.093375,0
0.4,0.67098,0.00559274,0,-0.34285,0.64772,0,-0.331713,-0.652106,0,-1.56447,-1,0.164418,1.06935,-1,0.116569,1.18833,1,0.127252,1.20108,1.19815,1.29887,0.99997,0.0077214,0
0.5,0.561081,0.00473503,0,-0.293072,0.698106,0,-0.281078,-0.701717,0,-1.55943,-1,0.139621,-1.55872,-1,0.13954,1.95623,1,0.180384,1.10115,1.10023,1.39887,0.99997,0.0077112,0
0.6,0.432612,0.00371312,0,-0.235048,0.748564,0,-0.222177,-0.751254,0,-2.21283,-1,0.183888,-2.2123,-1,0.183827,2.58289,-0.501404,0.222279,1.00128,1.00036,1.49887,0.999971,0.00764931,0
0.7,0.451434,0.00422179,0,-0.242528,0.723252,0,-0.230391,-0.726431,0,0.256131,-1,0.00105445,0.256149,-1,0,-0.698202,-0.502633,0.0353802,0.999293,0.999369,1.45023,0.999964,0.00844755,0
0.8,0.469511,0.0043743,0,-0.249796,0.698058,0,-0.23808,-0.701363,0,0.229601,-1,0,0.229621,-1,0,-0.677627,-0.508284,0.0345941,0.9993,0.999375,1.39997,0.999964,0.00844735,0
0.9,0.486594,0.00451853,0,-0.256574,0.672585,0,-0.245284,-0.676009,0,0.20861,-1,0,0.208632,-1,0,-0.666847,-0.516347,0.0343412,0.999306,0.999381,1.34915,0.999964,0.00844742,0
1,0.502827,0.00465572,0,-0.262931,0.646713,0,-0.252074,-0.650248,0,0.191022,-1,0,0.191047,-1,0,-0.662097,-0.522422,0.0345648,0.999312,0.999387,1.29752,0.999964,0.00844775,0
1.1,0.518198,0.00478576,0,-0.268874,0.620541,0,-0.258454,-0.62418,0,0.174698,-1,0,0.174725,-1,0,-0.657289,-0.524783,0.0346517,0.999317,0.999393,1.24529,0.999964,0.0084483,0
1.2,0.532652,0.00490817,0,-0.274391,0.594254,0,-0.264411,-0.597991,0,0.159053,-1,0,0.159083,-1,0,-0.650177,-0.528937,0.0343716,0.999323,0.999398,1.19281,0.999964,0.00844905,0
1.3,0.54629,0.00502381,0,-0.279532,0.567762,0,-0.269996,-0.571591,0,0.145535,-1,0,0.145569,-1,0,-0.64738,-0.538139,0.0344408,0.999328,0.999404,1.13992,0.999964,0.00844999,0
1.4,0.559268,0.00513401,0,-0.284364,0.540813,0,-0.27528,-0.544728,0,0.134427,0.644925,0,0.134465,-1,0,-0.652546,-0.42492,0.0352694,0.999333,0.999409,1.08612,0.999964,0.00845111,0
1.5,0.594658,-0.0162494,0,-0.317546,0.531122,0,-0.273693,-0.511048,0,0.882914,1,0.0566718,-0.0556135,-1,0,-0.672134,0.106842,0.0286017,1.06318,0.99943,1.04352,0.999564,-0.0295132,0
1.6,0.631867,-0.0493627,0,-0.363859,0.553156,0,-0.262359,-0.495737,0,1.18714,1,0.118068,-0.259556,1,0,-0.165949,1,0.00154763,1.16283,0.999445,1.05369,0.996604,-0.0823378,0
1.7,0.689631,-0.0490014,0,-0.392942,0.603149,0,-0.291001,-0.546132,0,0.673255,-1,0.0674809,0.805919,1,0.0816205,0.773867,1,0.0782402,1.26283,1.09845,1.15279,0.997189,-0.0749239,0
