Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,1,0,0,1,0,0,-1,0,1,1,1,1,0,0
0.1,0.65491,-6.87762e-19,0,-0.32523,0.4995,0,-0.32523,-0.4995,0,0.920091,1,0.0953616,0.920091,1,0.0953616,-0.364873,-1,0.00163007,1.09908,1.09908,0.999,1,-1.05255e-18,0
0.2,0.730134,1.09635e-20,0,-0.361064,0.4995,0,-0.361064,-0.4995,0,0.872013,1,0.0894558,0.872013,1,0.0894558,-0.31906,-1,0,1.19909,1.19909,0.999,1,1.50708e-20,0
0.3,0.803825,9.35546e-19,0,-0.396488,0.4995,0,-0.396488,-0.4995,0,0.836164,1,0.0853092,0.836164,0.0562532,0.0853092,-0.28428,-1,0,1.2991,1.2991,0.999,1,1.16913e-18,0
0.4,0.842392,-0.0273434,0,-0.448756,0.514143,0,-0.381401,-0.482607,0,1.21025,1,0.120022,-0.334666,-1,0.00180568,-0.205447,-1,0,1.3991,1.30568,0.999023,0.999413,-0.0342643,0
0.5,0.843738,-0.0844974,0,-0.521708,0.536687,0,-0.308585,-0.43945,0,1.76712,1,0.169125,-1.70264,-1,0.164822,-0.455698,-1,0,1.4991,1.20675,0.99913,0.994456,-0.105155,0
0.6,0.84599,-0.144714,0,-0.596082,0.548662,0,-0.233901,-0.382644,0,2.07906,1,0.190355,-1.97445,-1,0.18184,-0.909348,0.529091,0,1.59911,1.10679,0.999252,0.984082,-0.177717,0
0.7,0.842808,-0.201761,0,-0.670437,0.57314,0,-0.153029,-0.343133,0,2.1168,1,0.192473,-2.10328,-0.806535,0.192892,-0.684948,1,0.0224885,1.69911,1.00682,1.05174,0.969571,-0.244811,0
0.8,0.867321,-0.223747,0,-0.723558,0.618581,0,-0.12212,-0.364278,0,0.818593,1,0.0883545,-0.201402,-1,0.00967938,0.685299,1,0.0651743,1.79911,0.999371,1.15128,0.964946,-0.262447,0
0.9,0.894117,-0.243981,0,-0.775087,0.663872,0,-0.0948847,-0.387569,0,0.80391,1,0.081098,-0.187519,-1,0,0.670888,1,0.0677728,1.89912,0.999371,1.25128,0.961066,-0.276318,0
1,0.88464,-0.218448,0,-0.775736,0.705453,0,-0.0857517,-0.457564,0,-0.801323,1,0,0.511635,-1,0,1.48443,1,0.156823,1.90012,0.999418,1.35129,0.967752,-0.251904,0
1.1,0.87208,-0.196132,0,-0.77791,0.746193,0,-0.0723513,-0.523195,0,-0.68069,1,0,0.348945,-1,0,1.37522,1,0.142464,1.90012,0.99946,1.4513,0.973013,-0.230748,0
