Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity__0,arm_extensile_velocity__1,arm_extensile_velocity__2,arm_length_0,arm_length_1,arm_length_2
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,0,0,1,-1,-1,1,1,1
0.1,0.616204,0.0324257,0,-0.277923,0.48023,0,-0.336697,-0.517057,0,1.21492,-0.256027,-0.255118,1,-1,-1,1.09898,0.999996,0.999017
0.2,0.654168,0.066299,0,-0.264788,0.458153,0,-0.385088,-0.533614,0,1.24115,-0.306815,-0.306832,1,-1,-1,1.19898,0.999014,0.999036
0.3,0.691751,0.101206,0,-0.250461,0.433332,0,-0.434111,-0.5487,0,1.28326,-0.371322,-0.371335,1,-1,-1,1.29898,0.999035,0.999057
0.4,0.728423,0.137691,0,-0.234177,0.405121,0,-0.484046,-0.562209,0,1.3477,-0.456207,-0.456219,1,-1,-1,1.39898,0.999058,0.99908
0.5,0.763975,0.176115,0,-0.215548,0.372848,0,-0.535099,-0.573778,0,1.44634,-0.573824,-0.573833,1,-1,-1,1.49898,0.999084,0.999106
0.6,0.798094,0.217023,0,-0.193975,0.335475,0,-0.587586,-0.582864,0,1.60357,-0.748861,-0.748869,1,-1,-1,1.59898,0.999116,0.999138
0.7,0.830211,0.261058,0,-0.168466,0.291983,0,-0.641968,-0.58901,0,0.837796,-0.21531,0.698296,1,-1,1,1.69898,0.999155,0.999177
0.8,0.823885,0.237486,0,-0.167509,0.362139,0,-0.637793,-0.632474,0,-0.80719,0.55644,1.51551,1,-1,1,1.70098,0.999199,1.09919
0.9,0.814116,0.216211,0,-0.162321,0.428461,0,-0.634816,-0.67482,0,-0.66935,0.379009,1.38786,1,-1,1,1.70098,0.999239,1.1992
1,0.801493,0.197224,0,-0.153396,0.491742,0,-0.633086,-0.71674,0,-0.584249,0.249649,1.31208,1,-1,1,1.70098,0.999275,1.2992
1.1,0.786146,0.180284,0,-0.141184,0.55268,0,-0.63226,-0.758588,0,-0.531352,0.146611,1.26743,1,-1,1,1.70099,0.999309,1.39921
1.2,0.768115,0.165267,0,-0.12597,0.611694,0,-0.632072,-0.800569,0,-0.500852,0.0585163,1.24401,1,-1,1,1.70099,0.999342,1.49921
1.3,0.747373,0.152116,0,-0.107928,0.669042,0,-0.632299,-0.842812,0,-0.487886,-0.0216164,1.23693,1,-1,1,1.70099,0.999375,1.59921
1.4,0.722923,0.14005,0,-0.0871089,0.725429,0,-0.631922,-0.885127,0,-1.73452,0.00127419,1.73435,-1,-1,1,1.7,0.999408,1.69921
1.5,0.676508,0.102696,0,-0.0838467,0.751345,0,-0.591635,-0.87127,0,-1.23685,0.0229319,0.487607,-1,-1,1,1.6,0.999442,1.70021
1.6,0.627806,0.0674664,0,-0.0779436,0.775186,0,-0.551614,-0.857719,0,-1.24367,-0.0570648,0.500269,-1,-1,1,1.5,0.999474,1.70022
1.7,0.576635,0.0343947,0,-0.0694173,0.797043,0,-0.511712,-0.844642,0,-1.26675,-0.1449,0.530383,-1,-1,1,1.4,0.999507,1.70022
1.8,0.522695,0.00356239,0,-0.0582236,0.816961,0,-0.471735,-0.832212,0,-1.31089,-0.247486,0.582736,-1,-1,1,1.3,0.999541,1.70022
1.9,0.465506,-0.024895,0,-0.0442347,0.834942,0,-0.431406,-0.820614,0,-1.38586,-0.376049,0.66697,-1,-1,1,1.20001,0.999577,1.70023
2,0.404266,-0.0507703,0,-0.0271857,0.850941,0,-0.390284,-0.810063,0,-1.51198,-0.551951,0.803231,-1,-1,1,1.10002,0.999617,1.70023
2.1,0.339178,-0.0740742,0,-0.0075721,0.863521,0,-0.348014,-0.799213,0,-0.698776,0.215708,-0.838033,-1,-1,-1,1.00003,0.999661,1.69823
