Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,1,0,0,0.84543,0,0,-1,0,1,1,1,1,0,0
0.1,0.649018,-0.005067,0,-0.327035,0.502363,0,-0.317836,-0.496595,0,0.968798,1,0.0995018,0.737384,0.84543,0.0650768,-0.341889,-1,0.00159696,1.09907,1.08378,0.999,0.99997,-0.00780694,0
0.2,0.718614,-0.0103824,0,-0.365,0.505347,0,-0.34609,-0.493475,0,0.932288,1,0.0949361,0.689149,0.84543,0.0601908,-0.303115,-1,0,1.19908,1.16833,0.999001,0.999896,-0.0144463,0
0.3,0.78684,-0.0159135,0,-0.402822,0.508424,0,-0.373733,-0.490154,0,0.905564,1,0.0918136,0.651551,0.84543,0.0565961,-0.273722,-1,0,1.29909,1.25288,0.999001,0.999796,-0.0202204,0
0.4,0.853997,-0.0216314,0,-0.440589,0.511571,0,-0.400895,-0.486642,0,0.885404,1,0.0894932,0.621334,0.84543,0.0537503,-0.250762,-1,0,1.39909,1.33743,0.999002,0.999679,-0.0253215,0
0.5,0.920297,-0.0275116,0,-0.478351,0.514768,0,-0.42767,-0.482949,0,0.869834,1,0.0877219,0.596457,0.84543,0.0514352,-0.23242,-1,0,1.49909,1.42198,0.999003,0.999553,-0.0298809,0
0.6,0.985898,-0.0335334,0,-0.516142,0.517998,0,-0.454126,-0.479078,0,0.857587,1,0.0863413,0.575568,0.84543,0.04951,-0.217518,-1,0,1.5991,1.50653,0.999003,0.999422,-0.0339934,0
0.7,1.05027,-0.0401237,0,-0.5544,0.521449,0,-0.479258,-0.474726,0,1.74831,1,0.0861477,-1.72485,-1,0.0491333,-0.174173,-1,0,1.6991,1.59108,0.999004,0.999181,-0.0404527,0
0.8,1.05146,-0.0915426,0,-0.634797,0.538472,0,-0.39911,-0.43247,0,1.90672,1,0.18155,-1.84064,-1,0.177038,-0.538301,-1,0,1.7991,1.49109,0.999136,0.99601,-0.0892439,0
0.9,1.05391,-0.146207,0,-0.717089,0.542242,0,-0.31748,-0.373667,0,2.28428,1,0.207137,-2.17795,-1,0.19847,-1.06775,-1,0,1.8991,1.39112,0.999286,0.990132,-0.140137,0
1,1.02128,-0.171353,0,-0.742597,0.535138,0,-0.257937,-0.338802,0,0.908375,1,0,-1.58408,-1,0.150323,-0.641773,-1,0,1.90011,1.29113,0.999332,0.985719,-0.168397,0
1.1,0.988804,-0.198799,0,-0.768822,0.523112,0,-0.197307,-0.296731,0,1.19137,1,0,-1.8541,-1,0.170605,-0.960085,-1,0,1.90011,1.19115,0.999385,0.979744,-0.200252,0
