Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,1,0,0,1,0,0,-0.98656,0,1,1,1,1,0,0
0.1,0.654908,1.11022e-19,0,-0.325229,0.499507,0,-0.325229,-0.499507,0,0.920097,1,0.0953594,0.920097,1,0.0953594,-0.364881,-0.98656,0.00159223,1.09908,1.09908,0.999013,1,1.69524e-19,0
0.2,0.654908,1.11022e-19,0,-0.325229,0.499507,0,-0.325229,-0.499507,0,0,1,0,0,1,0,0,-0.98656,0,1.10008,1.10008,0.999013,1,1.69524e-19,0
0.3,0.654908,1.11022e-19,0,-0.325229,0.499507,0,-0.325229,-0.499507,0,0,1,0,0,1,0,0,-0.98656,0,1.10008,1.10008,0.999013,1,1.69524e-19,0
0.4,0.654908,1.11022e-19,0,-0.325229,0.499507,0,-0.325229,-0.499507,0,0,1,0,0,1,0,0,-0.98656,0,1.10008,1.10008,0.999013,1,1.69524e-19,0
0.5,0.654908,1.11022e-19,0,-0.325229,0.499507,0,-0.325229,-0.499507,0,0,1,0,0,1,0,0,1,0,1.10008,1.10008,0.999013,1,1.69908e-19,0
0.6,0.635429,-6.245e-20,0,-0.317592,0.549507,0,-0.317592,-0.549507,0,-0.213416,1,0,-0.213416,1,0,1.18548,1,0.118261,1.10009,1.10009,1.09801,1,-9.85101e-20,0
0.7,0.635222,-6.93889e-20,0,-0.31751,0.550007,0,-0.31751,-0.550007,0,0,1,0,0,1,0,0,1,0.00118556,1.10009,1.10009,1.10001,1,-1.09491e-19,0
0.8,0.635222,-6.93889e-20,0,-0.31751,0.550007,0,-0.31751,-0.550007,0,0,1,0,0,1,0,0,1,0,1.10009,1.10009,1.10001,1,-1.09491e-19,0
0.9,0.635222,-6.93889e-20,0,-0.31751,0.550007,0,-0.31751,-0.550007,0,0,1,0,0,1,0,0,1,0,1.10009,1.10009,1.10001,1,-1.09491e-19,0
1,0.635222,-6.93889e-20,0,-0.31751,0.550007,0,-0.31751,-0.550007,0,0,-1,0,0,-1,0,0,-0.192644,0,1.10009,1.10009,1.10001,1,-1.09247e-19,0
1.1,0.559813,-1.80411e-19,0,-0.281737,0.540375,0,-0.281737,-0.540375,0,-0.994928,-1,0.0960696,-0.994928,-1,0.0960696,0.260106,-0.192644,0.0043962,1.00111,1.00111,1.08094,1,-3.22309e-19,0
1.2,0.563413,-1.49186e-19,0,-0.283066,0.530742,0,-0.283066,-0.530742,0,0.0461038,-1,0.00099571,0.0461038,-1,0.00099571,-0.232858,-0.192644,0.00449661,0.999106,0.999106,1.06168,1,-2.64822e-19,0
1.3,0.567717,-1.71738e-19,0,-0.284727,0.52111,0,-0.284727,-0.52111,0,0.0445541,-1,0,0.0445541,-1,0,-0.232357,-0.192644,0.00448086,0.999107,0.999107,1.04241,1,-3.02542e-19,0
1.4,0.571915,-1.78677e-19,0,-0.286343,0.511478,0,-0.286343,-0.511478,0,0.0430591,-1,0,0.0430591,-1,0,-0.23194,-0.192644,0.00447203,0.999108,0.999108,1.02315,1,-3.12454e-19,0
1.5,0.576012,-1.85615e-19,0,-0.287915,0.501846,0,-0.287915,-0.501846,0,0.0416156,1,0,0.0416156,1,0,-0.231606,-1,0.00446481,0.999108,0.999108,1.00388,1,-3.22276e-19,0
1.6,0.654192,-3.24393e-19,0,-0.3247,0.499846,0,-0.3247,-0.499846,0,0.920953,1,0.0961144,0.920953,1,0.0961144,-0.365789,-1,0.0065254,1.09812,1.09812,0.999691,1,-4.95915e-19,0
