Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,1,0,0,1,0,0,0.2313,0,1,1,1,1,0,0
0.1,0.650401,-2.22045e-19,0,-0.323489,0.511565,0,-0.323489,-0.511565,0,0.887676,1,0.091146,0.887676,1,0.091146,-0.105863,0.2313,0.00293648,1.09907,1.09907,1.0229,1,-3.41396e-19,0
0.2,0.645972,-2.1684e-19,0,-0.321755,0.52313,0,-0.321755,-0.52313,0,-0.0454367,1,0,-0.0454367,1,0,0.27343,0.2313,0.00632231,1.10007,1.10007,1.04603,1,-3.35681e-19,0
0.3,0.641419,-2.06432e-19,0,-0.319969,0.534695,0,-0.319969,-0.534695,0,-0.0471456,1,0,-0.0471456,1,0,0.273705,0.2313,0.00632744,1.10007,1.10007,1.06916,1,-3.21837e-19,0
0.4,0.636737,-2.08167e-19,0,-0.318127,0.54626,0,-0.318127,-0.54626,0,-0.0489163,1,0,-0.0489163,1,0,0.27409,0.2313,0.00633508,1.10008,1.10008,1.09229,1,-3.26927e-19,0
0.5,0.635164,-2.27249e-19,0,-0.317507,0.550076,0,-0.317507,-0.550076,0,0,1,0,0,1,0,0,0.2313,0.00209269,1.10008,1.10008,1.10015,1,-3.5778e-19,0
0.6,0.635164,-2.27249e-19,0,-0.317507,0.550076,0,-0.317507,-0.550076,0,0,1,0,0,1,0,0,0.2313,0,1.10008,1.10008,1.10015,1,-3.5778e-19,0
0.7,0.635164,-2.27249e-19,0,-0.317507,0.550076,0,-0.317507,-0.550076,0,0,1,0,0,1,0,0,0.2313,0,1.10008,1.10008,1.10015,1,-3.5778e-19,0
0.8,0.635164,-2.27249e-19,0,-0.317507,0.550076,0,-0.317507,-0.550076,0,0,1,0,0,1,0,0,0.2313,0,1.10008,1.10008,1.10015,1,-3.5778e-19,0
0.9,0.635164,-2.27249e-19,0,-0.317507,0.550076,0,-0.317507,-0.550076,0,0,-1,0,0,-1,0,0,-0.195645,0,1.10008,1.10008,1.10015,1,-3.57808e-19,0
1,0.55982,5.0307e-20,0,-0.28176,0.540294,0,-0.28176,-0.540294,0,-0.994099,-1,0.0960012,-0.994099,-1,0.0960012,0.256355,-0.195645,0.00439442,1.00109,1.00109,1.08078,1,8.98708e-20,0
1.1,0.563487,9.19403e-20,0,-0.283114,0.530512,0,-0.283114,-0.530512,0,0.0467856,-1,0.000994877,0.0467856,-1,0.000994877,-0.236473,-0.195645,0.0046361,0.999088,0.999088,1.06122,1,1.63178e-19,0
1.2,0.567854,9.88792e-20,0,-0.2848,0.52073,0,-0.2848,-0.52073,0,0.0451889,-1,0,0.0451889,-1,0,-0.235959,-0.195645,0.00462125,0.999089,0.999089,1.04166,1,1.74143e-19,0
1.3,0.572114,8.84709e-20,0,-0.286439,0.510947,0,-0.286439,-0.510947,0,0.0436495,-1,0,0.0436495,-1,0,-0.235533,-0.195645,0.00461207,0.999089,0.999089,1.02209,1,1.54652e-19,0
1.4,0.576267,1.07553e-19,0,-0.288033,0.501165,0,-0.288033,-0.501165,0,0.0421638,-1,0,0.0421638,-1,0,-0.235194,-0.195645,0.0046046,0.99909,0.99909,1.00253,1,1.86653e-19,0
1.5,0.576759,1.11022e-19,0,-0.288221,0.499991,0,-0.288221,-0.499991,0,0,-1,0,0,-1,0,0,-0.195645,0.00055213,0.99909,0.99909,0.999983,1,1.9251e-19,0
1.6,0.576759,1.11022e-19,0,-0.288221,0.499991,0,-0.288221,-0.499991,0,0,-1,0,0,-1,0,0,-0.195645,0,0.99909,0.99909,0.999983,1,1.9251e-19,0
1.7,0.576759,1.11022e-19,0,-0.288221,0.499991,0,-0.288221,-0.499991,0,0,-1,0,0,-1,0,0,-0.195645,0,0.99909,0.99909,0.999983,1,1.9251e-19,0
1.8,0.576759,1.11022e-19,0,-0.288221,0.499991,0,-0.288221,-0.499991,0,0,1,0,0,1,0,0,0.217233,0,0.99909,0.99909,0.999983,1,1.92529e-19,0
1.9,0.650045,5.82867e-19,0,-0.323119,0.510853,0,-0.323119,-0.510853,0,0.890265,1,0.0914569,0.890265,1,0.0914569,-0.122145,0.217233,0.00312475,1.0981,1.0981,1.02149,1,8.96802e-19,0
2,0.646663,5.6552e-19,0,-0.321858,0.521715,0,-0.321858,-0.521715,0,-0.0424799,1,0.000889825,-0.0424799,1,0.000889825,0.256774,0.217233,0.00554703,1.1001,1.1001,1.04321,1,8.74663e-19,0
2.1,0.642404,5.60316e-19,0,-0.320188,0.532576,0,-0.320188,-0.532576,0,-0.0439792,1,0,-0.0439792,1,0,0.257003,0.217233,0.00558032,1.1001,1.1001,1.06494,1,8.7236e-19,0
2.2,0.638033,5.6205e-19,0,-0.318469,0.543438,0,-0.318469,-0.543438,0,-0.0455291,1,0,-0.0455291,1,0,0.257321,0.217233,0.00558627,1.1001,1.1001,1.08666,1,8.81057e-19,0
2.3,0.635311,5.86337e-19,0,-0.317397,0.550063,0,-0.317397,-0.550063,0,0,1,0,0,1,0,0,0.217233,0.00341139,1.1001,1.1001,1.10013,1,9.23066e-19,0
2.4,0.635311,5.86337e-19,0,-0.317397,0.550063,0,-0.317397,-0.550063,0,0,1,0,0,1,0,0,0.217233,0,1.1001,1.1001,1.10013,1,9.23066e-19,0
2.5,0.635311,5.86337e-19,0,-0.317397,0.550063,0,-0.317397,-0.550063,0,0,1,0,0,1,0,0,0.217233,0,1.1001,1.1001,1.10013,1,9.23066e-19,0
2.6,0.635311,5.86337e-19,0,-0.317397,0.550063,0,-0.317397,-0.550063,0,0,1,0,0,1,0,0,0.217233,0,1.1001,1.1001,1.10013,1,9.23066e-19,0
2.7,0.635311,5.86337e-19,0,-0.317397,0.550063,0,-0.317397,-0.550063,0,0,-1,0,0,-1,0,0,-0.194858,0,1.1001,1.1001,1.10013,1,9.23163e-19,0
2.8,0.55995,2.5327e-19,0,-0.281643,0.540321,0,-0.281643,-0.540321,0,-0.994304,-1,0.0960182,-0.994304,-1,0.0960182,0.257329,-0.194858,0.00439494,1.00111,1.00111,1.08084,1,4.52446e-19,0
2.9,0.5636,2.22045e-19,0,-0.282991,0.530578,0,-0.282991,-0.530578,0,0.0466059,-1,0.000995083,0.0466059,-1,0.000995083,-0.235524,-0.194858,0.00459929,0.999114,0.999114,1.06135,1,3.94096e-19,0
3,0.56795,2.41127e-19,0,-0.28467,0.520835,0,-0.28467,-0.520835,0,0.0450217,-1,0,0.0450217,-1,0,-0.235013,-0.194858,0.00458421,0.999114,0.999114,1.04186,1,4.24684e-19,0
3.1,0.572194,2.42861e-19,0,-0.286303,0.511092,0,-0.286303,-0.511092,0,0.0434941,-1,0,0.0434941,-1,0,-0.23459,-0.194858,0.00457512,0.999115,0.999115,1.02238,1,4.24567e-19,0
3.2,0.576332,2.60209e-19,0,-0.287891,0.501349,0,-0.287891,-0.501349,0,0.0420195,-1,0,0.0420195,-1,0,-0.234252,-0.194858,0.00456772,0.999116,0.999116,1.00289,1,4.51625e-19,0
3.3,0.576904,2.60209e-19,0,-0.28811,0.499985,0,-0.28811,-0.499985,0,0,-1,0,0,-1,0,0,-0.194858,0.000638985,0.999116,0.999116,0.99997,1,4.51178e-19,0
3.4,0.576904,2.60209e-19,0,-0.28811,0.499985,0,-0.28811,-0.499985,0,0,-1,0,0,-1,0,0,-0.194858,0,0.999116,0.999116,0.99997,1,4.51178e-19,0
3.5,0.576904,2.60209e-19,0,-0.28811,0.499985,0,-0.28811,-0.499985,0,0,-1,0,0,-1,0,0,-0.194858,0,0.999116,0.999116,0.99997,1,4.51178e-19,0
3.6,0.576904,2.60209e-19,0,-0.28811,0.499985,0,-0.28811,-0.499985,0,0,1,0,0,1,0,0,0.217614,0,0.999116,0.999116,0.99997,1,4.51222e-19,0
3.7,0.650182,5.37764e-19,0,-0.323004,0.510866,0,-0.323004,-0.510866,0,0.89019,1,0.0914478,0.89019,1,0.0914478,-0.121696,0.217614,0.00312008,1.09812,1.09812,1.02151,1,8.27389e-19,0
3.8,0.646792,5.53377e-19,0,-0.321741,0.521746,0,-0.321741,-0.521746,0,-0.0425572,1,0.00088975,-0.0425572,1,0.00088975,0.257225,0.217614,0.00556638,1.10013,1.10013,1.04328,1,8.55873e-19,0
3.9,0.642526,5.6205e-19,0,-0.320067,0.532627,0,-0.320067,-0.532627,0,-0.0440619,1,0,-0.0440619,1,0,0.257454,0.217614,0.00559995,1.10013,1.10013,1.06504,1,8.75062e-19,0
4,0.638147,5.56846e-19,0,-0.318346,0.543508,0,-0.318346,-0.543508,0,-0.0456173,1,0,-0.0456173,1,0,0.257775,0.217614,0.00560593,1.10013,1.10013,1.0868,1,8.72911e-19,0
4.1,0.635464,5.42968e-19,0,-0.317289,0.550036,0,-0.317289,-0.550036,0,0,1,0,0,1,0,0,0.217614,0.00336726,1.10013,1.10013,1.10007,1,8.5475e-19,0
4.2,0.635464,5.42968e-19,0,-0.317289,0.550036,0,-0.317289,-0.550036,0,0,1,0,0,1,0,0,0.217614,0,1.10013,1.10013,1.10007,1,8.5475e-19,0
4.3,0.635464,5.42968e-19,0,-0.317289,0.550036,0,-0.317289,-0.550036,0,0,1,0,0,1,0,0,0.217614,0,1.10013,1.10013,1.10007,1,8.5475e-19,0
4.4,0.635464,5.42968e-19,0,-0.317289,0.550036,0,-0.317289,-0.550036,0,0,1,0,0,1,0,0,0.217614,0,1.10013,1.10013,1.10007,1,8.5475e-19,0
4.5,0.635464,5.42968e-19,0,-0.317289,0.550036,0,-0.317289,-0.550036,0,0,-1,0,0,-1,0,0,-0.193727,0,1.10013,1.10013,1.10007,1,8.54841e-19,0
4.6,0.56008,8.4828e-19,0,-0.281526,0.54035,0,-0.281526,-0.54035,0,-0.994599,-1,0.0960424,-0.994599,-1,0.0960424,0.258725,-0.193727,0.00439535,1.00114,1.00114,1.08089,1,1.51537e-18,0
4.7,0.563704,7.8583e-19,0,-0.282863,0.530664,0,-0.282863,-0.530664,0,0.0463471,-1,0.000995379,0.0463471,-1,0.000995379,-0.23416,-0.193727,0.00454664,0.99914,0.99914,1.06152,1,1.39478e-18,0
4.8,0.56803,7.71952e-19,0,-0.284533,0.520977,0,-0.284533,-0.520977,0,0.0447807,-1,0,0.0447807,-1,0,-0.233654,-0.193727,0.00453123,0.99914,0.99914,1.04215,1,1.35971e-18,0
4.9,0.572251,7.65013e-19,0,-0.286157,0.511291,0,-0.286157,-0.511291,0,0.0432699,-1,0,0.0432699,-1,0,-0.233234,-0.193727,0.00452227,0.999141,0.999141,1.02278,1,1.33754e-18,0
