Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_length_0,arm_length_1
0,-1,0,0,0,0,0,1,0,0,0,0,1,1
0.1,-1.06094,0,0,0.0390572,0,0,1.03806,0,0,5.30135,1.71025,1.099,0.999
0.2,-1.12212,0,0,0.0778789,0,0,1.07688,0,0,5.05483,1.7429,1.199,0.999
0.3,-1.21995,0,0,0.0800466,0,0,1.17905,0,0,6.71816,7.24681,1.299,1.098
0.4,-1.31807,0,0,0.0819251,0,0,1.28093,0,0,6.64572,7.06162,1.399,1.198
0.5,-1.29122,0,0,0.00878386,0,0,1.30778,0,0,-3.15963,3.16575,1.301,1.298
0.6,-1.26436,0,0,-0.0643563,0,0,1.33464,0,0,-3.38618,2.97969,1.201,1.398
0.7,-1.1625,0,0,-0.0624993,0,0,1.2365,0,0,-7.23948,-6.71893,1.101,1.3
0.8,-1.06036,0,0,-0.0603563,0,0,1.13864,0,0,-7.48246,-6.79797,1.001,1.2
0.9,-1.08495,0,0,0.0150504,0,0,1.11405,0,0,3.60919,-3.60581,1.099,1.1
1,-1.10954,0,0,0.0904571,0,0,1.08946,0,0,3.31212,-3.99863,1.199,1
1.1,-1.20738,0,0,0.0926249,0,0,1.19162,0,0,6.71816,7.24681,1.299,1.098
1.2,-1.3055,0,0,0.0945034,0,0,1.2935,0,0,6.64572,7.06162,1.399,1.198
1.3,-1.27864,0,0,0.0213622,0,0,1.32036,0,0,-3.15963,3.16575,1.301,1.298
1.4,-1.25178,0,0,-0.051778,0,0,1.34722,0,0,-3.38618,2.97969,1.201,1.398
1.5,-1.14992,0,0,-0.049921,0,0,1.24908,0,0,-7.23948,-6.71893,1.101,1.3
1.6,-1.04778,0,0,-0.047778,0,0,1.15122,0,0,-7.48246,-6.79797,1.001,1.2
1.7,-1.07237,0,0,0.0276287,0,0,1.12663,0,0,3.60919,-3.60581,1.099,1.1
1.8,-1.09696,0,0,0.103035,0,0,1.10204,0,0,3.31212,-3.99863,1.199,1
1.9,-1.1948,0,0,0.105203,0,0,1.2042,0,0,6.71816,7.24681,1.299,1.098
2,-1.29292,0,0,0.107082,0,0,1.30608,0,0,6.64572,7.06162,1.399,1.198
2.1,-1.26606,0,0,0.0339404,0,0,1.33294,0,0,-3.15963,3.16575,1.301,1.298
2.2,-1.2392,0,0,-0.0391997,0,0,1.3598,0,0,-3.38618,2.97969,1.201,1.398
2.3,-1.13734,0,0,-0.0373427,0,0,1.26166,0,0,-7.23948,-6.71893,1.101,1.3
2.4,-1.0352,0,0,-0.0351998,0,0,1.1638,0,0,-7.48246,-6.79797,1.001,1.2
2.5,-1.05979,0,0,0.040207,0,0,1.13921,0,0,3.60919,-3.60581,1.099,1.1
2.6,-1.08439,0,0,0.115614,0,0,1.11461,0,0,3.31212,-3.99863,1.199,1
2.7,-1.18222,0,0,0.117782,0,0,1.21678,0,0,6.71816,7.24681,1.299,1.098
2.8,-1.28034,0,0,0.11966,0,0,1.31866,0,0,6.64572,7.06162,1.399,1.198
2.9,-1.25348,0,0,0.0465187,0,0,1.34552,0,0,-3.15963,3.16575,1.301,1.298
3,-1.22662,0,0,-0.0266214,0,0,1.37238,0,0,-3.38618,2.97969,1.201,1.398
3.1,-1.12476,0,0,-0.0247644,0,0,1.27424,0,0,-7.23948,-6.71893,1.101,1.3
3.2,-1.02262,0,0,-0.0226215,0,0,1.17638,0,0,-7.48246,-6.79797,1.001,1.2
3.3,-1.04721,0,0,0.0527853,0,0,1.15179,0,0,3.60919,-3.60581,1.099,1.1
3.4,-1.07181,0,0,0.128192,0,0,1.12719,0,0,3.31212,-3.99863,1.199,1
3.5,-1.16964,0,0,0.13036,0,0,1.22936,0,0,6.71816,7.24681,1.299,1.098
3.6,-1.26776,0,0,0.132238,0,0,1.33124,0,0,6.64572,7.06162,1.399,1.198
3.7,-1.2409,0,0,0.059097,0,0,1.3581,0,0,-3.15963,3.16575,1.301,1.298
3.8,-1.21404,0,0,-0.0140431,0,0,1.38496,0,0,-3.38618,2.97969,1.201,1.398
3.9,-1.11219,0,0,-0.0121861,0,0,1.28681,0,0,-7.23948,-6.71893,1.101,1.3
4,-1.01004,0,0,-0.0100432,0,0,1.18896,0,0,-7.48246,-6.79797,1.001,1.2
4.1,-1.03464,0,0,0.0653636,0,0,1.16436,0,0,3.60919,-3.60581,1.099,1.1
4.2,-1.05923,0,0,0.14077,0,0,1.13977,0,0,3.31212,-3.99863,1.199,1
4.3,-1.15706,0,0,0.142938,0,0,1.24194,0,0,6.71816,7.24681,1.299,1.098
4.4,-1.25518,0,0,0.144817,0,0,1.34382,0,0,6.64572,7.06162,1.399,1.198
4.5,-1.22832,0,0,0.0716753,0,0,1.37068,0,0,-3.15963,3.16575,1.301,1.298
4.6,-1.20146,0,0,-0.0014648,0,0,1.39754,0,0,-3.38618,2.97969,1.201,1.398
4.7,-1.09961,0,0,0.000392167,0,0,1.29939,0,0,-7.23948,-6.71893,1.101,1.3
4.8,-0.997465,0,0,0.00253512,0,0,1.20154,0,0,-7.48246,-6.79797,1.001,1.2
4.9,-1.02206,0,0,0.0779419,0,0,1.17694,0,0,3.60919,-3.60581,1.099,1.1
5,-1.04665,0,0,0.153349,0,0,1.15235,0,0,3.31212,-3.99863,1.199,1
5.1,-1.14448,0,0,0.155516,0,0,1.25452,0,0,6.71816,7.24681,1.299,1.098
5.2,-1.24261,0,0,0.157395,0,0,1.35639,0,0,6.64572,7.06162,1.399,1.198
5.3,-1.21575,0,0,0.0842536,0,0,1.38325,0,0,-3.15963,3.16575,1.301,1.298
5.4,-1.18889,0,0,0.0111135,0,0,1.41011,0,0,-3.38618,2.97969,1.201,1.398
5.5,-1.08703,0,0,0.0129705,0,0,1.31197,0,0,-7.23948,-6.71893,1.101,1.3
5.6,-0.984887,0,0,0.0151134,0,0,1.21411,0,0,-7.48246,-6.79797,1.001,1.2
5.7,-1.00948,0,0,0.0905202,0,0,1.18952,0,0,3.60919,-3.60581,1.099,1.1
5.8,-1.03407,0,0,0.165927,0,0,1.16493,0,0,3.31212,-3.99863,1.199,1
5.9,-1.13191,0,0,0.168095,0,0,1.26709,0,0,6.71816,7.24681,1.299,1.098
6,-1.23003,0,0,0.169973,0,0,1.36897,0,0,6.64572,7.06162,1.399,1.198
6.1,-1.20317,0,0,0.0968319,0,0,1.39583,0,0,-3.15963,3.16575,1.301,1.298
6.2,-1.17631,0,0,0.0236918,0,0,1.42269,0,0,-3.38618,2.97969,1.201,1.398
6.3,-1.07445,0,0,0.0255487,0,0,1.32455,0,0,-7.23948,-6.71893,1.101,1.3
6.4,-0.972308,0,0,0.0276917,0,0,1.22669,0,0,-7.48246,-6.79797,1.001,1.2
6.5,-0.996902,0,0,0.103098,0,0,1.2021,0,0,3.60919,-3.60581,1.099,1.1
6.6,-1.02149,0,0,0.178505,0,0,1.17751,0,0,3.31212,-3.99863,1.199,1
6.7,-1.11933,0,0,0.180673,0,0,1.27967,0,0,6.71816,7.24681,1.299,1.098
6.8,-1.21745,0,0,0.182551,0,0,1.38155,0,0,6.64572,7.06162,1.399,1.198
6.9,-1.19059,0,0,0.10941,0,0,1.40841,0,0,-3.15963,3.16575,1.301,1.298
7,-1.16373,0,0,0.0362701,0,0,1.43527,0,0,-3.38618,2.97969,1.201,1.398
7.1,-1.06187,0,0,0.038127,0,0,1.33713,0,0,-7.23948,-6.71893,1.101,1.3
7.2,-0.95973,0,0,0.04027,0,0,1.23927,0,0,-7.48246,-6.79797,1.001,1.2
7.3,-0.984323,0,0,0.115677,0,0,1.21468,0,0,3.60919,-3.60581,1.099,1.1
7.4,-1.00892,0,0,0.191083,0,0,1.19008,0,0,3.31212,-3.99863,1.199,1
7.5,-1.10675,0,0,0.193251,0,0,1.29225,0,0,6.71816,7.24681,1.299,1.098
7.6,-1.20487,0,0,0.19513,0,0,1.39413,0,0,6.64572,7.06162,1.399,1.198
7.7,-1.17801,0,0,0.121988,0,0,1.42099,0,0,-3.15963,3.16575,1.301,1.298
7.8,-1.15115,0,0,0.0488484,0,0,1.44785,0,0,-3.38618,2.97969,1.201,1.398
7.9,-1.04929,0,0,0.0507053,0,0,1.34971,0,0,-7.23948,-6.71893,1.101,1.3
8,-0.947152,0,0,0.0528483,0,0,1.25185,0,0,-7.48246,-6.79797,1.001,1.2
8.1,-0.971745,0,0,0.128255,0,0,1.22726,0,0,3.60919,-3.60581,1.099,1.1
8.2,-0.996338,0,0,0.203662,0,0,1.20266,0,0,3.31212,-3.99863,1.199,1
8.3,-1.09417,0,0,0.20583,0,0,1.30483,0,0,6.71816,7.24681,1.299,1.098
8.4,-1.19229,0,0,0.207708,0,0,1.40671,0,0,6.64572,7.06162,1.399,1.198
8.5,-1.16543,0,0,0.134567,0,0,1.43357,0,0,-3.15963,3.16575,1.301,1.298
8.6,-1.13857,0,0,0.0614267,0,0,1.46043,0,0,-3.38618,2.97969,1.201,1.398
8.7,-1.03672,0,0,0.0632836,0,0,1.36228,0,0,-7.23948,-6.71893,1.101,1.3
8.8,-0.934573,0,0,0.0654266,0,0,1.26443,0,0,-7.48246,-6.79797,1.001,1.2
8.9,-0.959167,0,0,0.140833,0,0,1.23983,0,0,3.60919,-3.60581,1.099,1.1
9,-0.98376,0,0,0.21624,0,0,1.21524,0,0,3.31212,-3.99863,1.199,1
9.1,-1.08159,0,0,0.218408,0,0,1.31741,0,0,6.71816,7.24681,1.299,1.098
9.2,-1.17971,0,0,0.220286,0,0,1.41929,0,0,6.64572,7.06162,1.399,1.198
9.3,-1.15285,0,0,0.147145,0,0,1.44615,0,0,-3.15963,3.16575,1.301,1.298
9.4,-1.126,0,0,0.0740049,0,0,1.473,0,0,-3.38618,2.97969,1.201,1.398
9.5,-1.02414,0,0,0.0758619,0,0,1.37486,0,0,-7.23948,-6.71893,1.101,1.3
9.6,-0.921995,0,0,0.0780049,0,0,1.277,0,0,-7.48246,-6.79797,1.001,1.2
9.7,-0.946588,0,0,0.153412,0,0,1.25241,0,0,3.60919,-3.60581,1.099,1.1
9.8,-0.971182,0,0,0.228818,0,0,1.22782,0,0,3.31212,-3.99863,1.199,1
9.9,-1.06901,0,0,0.230986,0,0,1.32999,0,0,6.71816,7.24681,1.299,1.098
10,-1.16714,0,0,0.232865,0,0,1.43186,0,0,6.64572,7.06162,1.399,1.198
10.1,-1.14028,0,0,0.159723,0,0,1.45872,0,0,-3.15963,3.16575,1.301,1.298
10.2,-1.11342,0,0,0.0865832,0,0,1.48558,0,0,-3.38618,2.97969,1.201,1.398
10.3,-1.01156,0,0,0.0884402,0,0,1.38744,0,0,-7.23948,-6.71893,1.101,1.3
10.4,-0.909417,0,0,0.0905832,0,0,1.28958,0,0,-7.48246,-6.79797,1.001,1.2
10.5,-0.93401,0,0,0.16599,0,0,1.26499,0,0,3.60919,-3.60581,1.099,1.1
10.6,-0.958603,0,0,0.241397,0,0,1.2404,0,0,3.31212,-3.99863,1.199,1
10.7,-1.05644,0,0,0.243564,0,0,1.34256,0,0,6.71816,7.24681,1.299,1.098
10.8,-1.15456,0,0,0.245443,0,0,1.44444,0,0,6.64572,7.06162,1.399,1.198
10.9,-1.1277,0,0,0.172302,0,0,1.4713,0,0,-3.15963,3.16575,1.301,1.298
11,-1.10084,0,0,0.0991615,0,0,1.49816,0,0,-3.38618,2.97969,1.201,1.398
11.1,-0.998982,0,0,0.101018,0,0,1.40002,0,0,-7.23948,-6.71893,1.101,1.3
11.2,-0.896839,0,0,0.103161,0,0,1.30216,0,0,-7.48246,-6.79797,1.001,1.2
11.3,-0.921432,0,0,0.178568,0,0,1.27757,0,0,3.60919,-3.60581,1.099,1.1
11.4,-0.946025,0,0,0.253975,0,0,1.25297,0,0,3.31212,-3.99863,1.199,1
11.5,-1.04386,0,0,0.256143,0,0,1.35514,0,0,6.71816,7.24681,1.299,1.098
11.6,-1.14198,0,0,0.258021,0,0,1.45702,0,0,6.64572,7.06162,1.399,1.198
11.7,-1.11512,0,0,0.18488,0,0,1.48388,0,0,-3.15963,3.16575,1.301,1.298
11.8,-1.08826,0,0,0.11174,0,0,1.51074,0,0,-3.38618,2.97969,1.201,1.398
11.9,-0.986403,0,0,0.113597,0,0,1.4126,0,0,-7.23948,-6.71893,1.101,1.3
12,-0.88426,0,0,0.11574,0,0,1.31474,0,0,-7.48246,-6.79797,1.001,1.2
12.1,-0.908854,0,0,0.191146,0,0,1.29015,0,0,3.60919,-3.60581,1.099,1.1
12.2,-0.933447,0,0,0.266553,0,0,1.26555,0,0,3.31212,-3.99863,1.199,1
12.3,-1.03128,0,0,0.268721,0,0,1.36772,0,0,6.71816,7.24681,1.299,1.098
12.4,-1.1294,0,0,0.270599,0,0,1.4696,0,0,6.64572,7.06162,1.399,1.198
12.5,-1.10254,0,0,0.197458,0,0,1.49646,0,0,-3.15963,3.16575,1.301,1.298
12.6,-1.07568,0,0,0.124318,0,0,1.52332,0,0,-3.38618,2.97969,1.201,1.398
12.7,-0.973825,0,0,0.126175,0,0,1.42518,0,0,-7.23948,-6.71893,1.101,1.3
12.8,-0.871682,0,0,0.128318,0,0,1.32732,0,0,-7.48246,-6.79797,1.001,1.2
12.9,-0.896275,0,0,0.203725,0,0,1.30272,0,0,3.60919,-3.60581,1.099,1.1
13,-0.920868,0,0,0.279132,0,0,1.27813,0,0,3.31212,-3.99863,1.199,1
13.1,-1.0187,0,0,0.281299,0,0,1.3803,0,0,6.71816,7.24681,1.299,1.098
13.2,-1.11682,0,0,0.283178,0,0,1.48218,0,0,6.64572,7.06162,1.399,1.198
13.3,-1.08996,0,0,0.210037,0,0,1.50904,0,0,-3.15963,3.16575,1.301,1.298
13.4,-1.0631,0,0,0.136896,0,0,1.5359,0,0,-3.38618,2.97969,1.201,1.398
13.5,-0.961247,0,0,0.138753,0,0,1.43775,0,0,-7.23948,-6.71893,1.101,1.3
13.6,-0.859104,0,0,0.140896,0,0,1.3399,0,0,-7.48246,-6.79797,1.001,1.2
13.7,-0.883697,0,0,0.216303,0,0,1.3153,0,0,3.60919,-3.60581,1.099,1.1
13.8,-0.90829,0,0,0.29171,0,0,1.29071,0,0,3.31212,-3.99863,1.199,1
