Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_length_0,arm_length_1
0,-1,0,0,0,0,0,1,0,0,0,0,1,1
0.1,-1.06094,0,0,0.0390572,0,0,1.03806,0,0,5.30135,1.71025,1.099,0.999
0.2,-1.12212,0,0,0.0778789,0,0,1.07688,0,0,5.05483,1.7429,1.199,0.999
0.3,-1.18314,0,0,0.116865,0,0,1.11586,0,0,4.86504,1.76591,1.299,0.999
0.4,-1.24399,0,0,0.156014,0,0,1.15501,0,0,4.71407,1.7823,1.399,0.999
0.5,-1.30468,0,0,0.195319,0,0,1.19432,0,0,4.59086,1.79396,1.499,0.999
0.6,-1.36523,0,0,0.234769,0,0,1.23377,0,0,4.48822,1.80221,1.599,0.999
0.7,-1.42565,0,0,0.274354,0,0,1.27335,0,0,4.40128,1.80792,1.699,0.999
0.8,-1.48594,0,0,0.314062,0,0,1.31306,0,0,4.3266,1.81173,1.799,0.999
0.9,-1.54612,0,0,0.353884,0,0,1.35288,0,0,4.26169,1.81411,1.899,0.999
1,-1.54672,0,0,0.354282,0,0,1.35328,0,0,0,0,1.901,0.999
1.1,-1.57991,0,0,0.321087,0,0,1.42009,0,0,1.83888,5.57535,1.901,1.098
1.2,-1.61344,0,0,0.287559,0,0,1.48656,0,0,1.85735,5.321,1.901,1.198
1.3,-1.64727,0,0,0.253733,0,0,1.55273,0,0,1.87117,5.12588,1.901,1.298
1.4,-1.68136,0,0,0.21964,0,0,1.61864,0,0,1.88158,4.97119,1.901,1.398
1.5,-1.71569,0,0,0.185308,0,0,1.68431,0,0,1.8894,4.84533,1.901,1.498
1.6,-1.75024,0,0,0.150762,0,0,1.74976,0,0,1.89526,4.74077,1.901,1.598
1.7,-1.78498,0,0,0.116023,0,0,1.81502,0,0,1.89959,4.65241,1.901,1.698
1.8,-1.81989,0,0,0.0811087,0,0,1.88011,0,0,1.90271,4.57666,1.901,1.798
1.9,-1.85496,0,0,0.0460364,0,0,1.94504,0,0,1.90489,4.51092,1.901,1.898
2,-1.85567,0,0,0.0453334,0,0,1.94633,0,0,0,0,1.901,1.901
2.1,-1.79074,0,0,0.0102566,0,0,1.91126,0,0,-4.57385,-1.90282,1.802,1.901
2.2,-1.72566,0,0,-0.0246623,0,0,1.87634,0,0,-4.64916,-1.89973,1.702,1.901
2.3,-1.66041,0,0,-0.0594073,0,0,1.84159,0,0,-4.73696,-1.89546,1.602,1.901
2.4,-1.59496,0,0,-0.0939597,0,0,1.80704,0,0,-4.84078,-1.88967,1.502,1.901
2.5,-1.5293,0,0,-0.128298,0,0,1.7727,0,0,-4.96566,-1.88193,1.402,1.901
2.6,-1.4634,0,0,-0.162399,0,0,1.7386,0,0,-5.11901,-1.87165,1.302,1.901
2.7,-1.39723,0,0,-0.196233,0,0,1.70477,0,0,-5.31221,-1.85799,1.202,1.901
2.8,-1.33077,0,0,-0.22977,0,0,1.67123,0,0,-5.56369,-1.83973,1.102,1.901
2.9,-1.26398,0,0,-0.262976,0,0,1.63802,0,0,-5.90532,-1.81501,1.002,1.901
3,-1.26331,0,0,-0.263307,0,0,1.63769,0,0,0,0,1,1.901
3.1,-1.22349,0,0,-0.223493,0,0,1.57751,0,0,-1.81212,-4.32509,1,1.802
3.2,-1.18379,0,0,-0.183792,0,0,1.51721,0,0,-1.80837,-4.39945,1,1.702
3.3,-1.14421,0,0,-0.144215,0,0,1.45679,0,0,-1.80273,-4.48599,1,1.602
3.4,-1.10477,0,0,-0.104772,0,0,1.39623,0,0,-1.79459,-4.5881,1,1.502
3.5,-1.06547,0,0,-0.0654747,0,0,1.33553,0,0,-1.78307,-4.71061,1,1.402
3.6,-1.02633,0,0,-0.0263328,0,0,1.27467,0,0,-1.76688,-4.86063,1,1.302
3.7,-0.987354,0,0,0.0126457,0,0,1.21365,0,0,-1.74414,-5.04905,1,1.202
3.8,-0.948541,0,0,0.0514592,0,0,1.15246,0,0,-1.71189,-5.29353,1,1.102
3.9,-0.909879,0,0,0.0901214,0,0,1.09112,0,0,-1.66527,-5.62463,1,1.002
4,-0.909493,0,0,0.0905074,0,0,1.09051,0,0,0,0,1,1
4.1,-0.970833,0,0,0.129167,0,0,1.12917,0,0,5.302,1.71074,1.099,1
4.2,-1.03202,0,0,0.167977,0,0,1.16798,0,0,5.05546,1.74333,1.199,1
4.3,-1.09305,0,0,0.206952,0,0,1.20695,0,0,4.86565,1.76631,1.299,1
4.4,-1.15391,0,0,0.246091,0,0,1.24609,0,0,4.71467,1.78266,1.399,1
4.5,-1.21461,0,0,0.285386,0,0,1.28539,0,0,4.59145,1.7943,1.499,1
4.6,-1.27517,0,0,0.324826,0,0,1.32483,0,0,4.4888,1.80253,1.599,1
4.7,-1.3356,0,0,0.3644,0,0,1.3644,0,0,4.40186,1.80823,1.699,1
4.8,-1.3959,0,0,0.404098,0,0,1.4041,0,0,4.32717,1.81203,1.799,1
4.9,-1.45609,0,0,0.44391,0,0,1.44391,0,0,4.26225,1.8144,1.899,1
5,-1.45669,0,0,0.444309,0,0,1.44431,0,0,0,0,1.901,1
5.1,-1.48989,0,0,0.41111,0,0,1.51111,0,0,1.83909,5.57242,1.901,1.099
5.2,-1.52342,0,0,0.377579,0,0,1.57758,0,0,1.85751,5.31879,1.901,1.199
5.3,-1.55725,0,0,0.34375,0,0,1.64375,0,0,1.87129,5.12416,1.901,1.299
5.4,-1.59135,0,0,0.309655,0,0,1.70965,0,0,1.88167,4.9698,1.901,1.399
5.5,-1.62568,0,0,0.275321,0,0,1.77532,0,0,1.88947,4.84419,1.901,1.499
5.6,-1.66023,0,0,0.240772,0,0,1.84077,0,0,1.89531,4.73982,1.901,1.599
5.7,-1.69497,0,0,0.206031,0,0,1.90603,0,0,1.89963,4.6516,1.901,1.699
5.8,-1.72988,0,0,0.171115,0,0,1.97112,0,0,1.90274,4.57595,1.901,1.799
5.9,-1.76496,0,0,0.136041,0,0,2.03604,0,0,1.9049,4.51031,1.901,1.899
6,-1.76531,0,0,0.13569,0,0,2.03669,0,0,0,0,1.901,1.901
6.1,-1.70039,0,0,0.100613,0,0,2.00161,0,0,-4.57385,-1.90282,1.802,1.901
6.2,-1.63531,0,0,0.0656942,0,0,1.96669,0,0,-4.64916,-1.89973,1.702,1.901
6.3,-1.57005,0,0,0.0309493,0,0,1.93195,0,0,-4.73696,-1.89546,1.602,1.901
6.4,-1.5046,0,0,-0.00360314,0,0,1.8974,0,0,-4.84078,-1.88967,1.502,1.901
6.5,-1.43894,0,0,-0.0379418,0,0,1.86306,0,0,-4.96566,-1.88193,1.402,1.901
6.6,-1.37304,0,0,-0.0720423,0,0,1.82896,0,0,-5.11901,-1.87165,1.302,1.901
6.7,-1.30688,0,0,-0.105877,0,0,1.79512,0,0,-5.31221,-1.85799,1.202,1.901
6.8,-1.24041,0,0,-0.139414,0,0,1.76159,0,0,-5.56369,-1.83973,1.102,1.901
6.9,-1.17362,0,0,-0.17262,0,0,1.72838,0,0,-5.90532,-1.81501,1.002,1.901
7,-1.17295,0,0,-0.17295,0,0,1.72805,0,0,0,0,1,1.901
7.1,-1.13314,0,0,-0.133136,0,0,1.66786,0,0,-1.81212,-4.32509,1,1.802
7.2,-1.09344,0,0,-0.0934355,0,0,1.60756,0,0,-1.80837,-4.39945,1,1.702
7.3,-1.05386,0,0,-0.0538584,0,0,1.54714,0,0,-1.80273,-4.48599,1,1.602
7.4,-1.01442,0,0,-0.0144156,0,0,1.48658,0,0,-1.79459,-4.5881,1,1.502
7.5,-0.975118,0,0,0.0248819,0,0,1.42588,0,0,-1.78307,-4.71061,1,1.402
7.6,-0.935976,0,0,0.0640238,0,0,1.36502,0,0,-1.76688,-4.86063,1,1.302
7.7,-0.896998,0,0,0.103002,0,0,1.304,0,0,-1.74414,-5.04905,1,1.202
7.8,-0.858184,0,0,0.141816,0,0,1.24282,0,0,-1.71189,-5.29353,1,1.102
7.9,-0.819522,0,0,0.180478,0,0,1.18148,0,0,-1.66527,-5.62463,1,1.002
8,-0.81875,0,0,0.18125,0,0,1.18025,0,0,0,0,1,0.999
8.1,-0.880079,0,0,0.219921,0,0,1.21892,0,0,5.30135,1.71025,1.099,0.999
8.2,-0.941257,0,0,0.258743,0,0,1.25774,0,0,5.05483,1.7429,1.199,0.999
8.3,-1.00227,0,0,0.297729,0,0,1.29673,0,0,4.86504,1.76591,1.299,0.999
8.4,-1.06312,0,0,0.336878,0,0,1.33588,0,0,4.71407,1.7823,1.399,0.999
8.5,-1.12382,0,0,0.376183,0,0,1.37518,0,0,4.59086,1.79396,1.499,0.999
8.6,-1.18437,0,0,0.415633,0,0,1.41463,0,0,4.48822,1.80221,1.599,0.999
8.7,-1.24478,0,0,0.455218,0,0,1.45422,0,0,4.40128,1.80792,1.699,0.999
8.8,-1.30507,0,0,0.494926,0,0,1.49393,0,0,4.3266,1.81173,1.799,0.999
8.9,-1.36525,0,0,0.534748,0,0,1.53375,0,0,4.26169,1.81411,1.899,0.999
9,-1.36585,0,0,0.535147,0,0,1.53415,0,0,0,0,1.901,0.999
9.1,-1.39905,0,0,0.501951,0,0,1.60095,0,0,1.83888,5.57535,1.901,1.098
9.2,-1.43258,0,0,0.468423,0,0,1.66742,0,0,1.85735,5.321,1.901,1.198
9.3,-1.4664,0,0,0.434597,0,0,1.7336,0,0,1.87117,5.12588,1.901,1.298
9.4,-1.5005,0,0,0.400504,0,0,1.7995,0,0,1.88158,4.97119,1.901,1.398
9.5,-1.53483,0,0,0.366172,0,0,1.86517,0,0,1.8894,4.84533,1.901,1.498
9.6,-1.56937,0,0,0.331626,0,0,1.93063,0,0,1.89526,4.74077,1.901,1.598
9.7,-1.60411,0,0,0.296887,0,0,1.99589,0,0,1.89959,4.65241,1.901,1.698
9.8,-1.63903,0,0,0.261973,0,0,2.06097,0,0,1.90271,4.57666,1.901,1.798
9.9,-1.6741,0,0,0.2269,0,0,2.1259,0,0,1.90489,4.51092,1.901,1.898
10,-1.6748,0,0,0.226197,0,0,2.1272,0,0,0,0,1.901,1.901
10.1,-1.60988,0,0,0.191121,0,0,2.09212,0,0,-4.57385,-1.90282,1.802,1.901
10.2,-1.5448,0,0,0.156202,0,0,2.0572,0,0,-4.64916,-1.89973,1.702,1.901
10.3,-1.47954,0,0,0.121457,0,0,2.02246,0,0,-4.73696,-1.89546,1.602,1.901
10.4,-1.4141,0,0,0.0869044,0,0,1.9879,0,0,-4.84078,-1.88967,1.502,1.901
10.5,-1.34843,0,0,0.0525657,0,0,1.95357,0,0,-4.96566,-1.88193,1.402,1.901
10.6,-1.28253,0,0,0.0184652,0,0,1.91947,0,0,-5.11901,-1.87165,1.302,1.901
10.7,-1.21637,0,0,-0.0153692,0,0,1.88563,0,0,-5.31221,-1.85799,1.202,1.901
10.8,-1.14991,0,0,-0.0489063,0,0,1.85209,0,0,-5.56369,-1.83973,1.102,1.901
10.9,-1.08311,0,0,-0.0821124,0,0,1.81889,0,0,-5.90532,-1.81501,1.002,1.901
11,-1.08244,0,0,-0.0824427,0,0,1.81856,0,0,0,0,1,1.901
11.1,-1.04263,0,0,-0.0426285,0,0,1.75837,0,0,-1.81212,-4.32509,1,1.802
11.2,-1.00293,0,0,-0.00292793,0,0,1.69807,0,0,-1.80837,-4.39945,1,1.702
11.3,-0.963351,0,0,0.0366491,0,0,1.63765,0,0,-1.80273,-4.48599,1,1.602
11.4,-0.923908,0,0,0.0760919,0,0,1.57709,0,0,-1.79459,-4.5881,1,1.502
11.5,-0.884611,0,0,0.115389,0,0,1.51639,0,0,-1.78307,-4.71061,1,1.402
11.6,-0.845469,0,0,0.154531,0,0,1.45553,0,0,-1.76688,-4.86063,1,1.302
11.7,-0.80649,0,0,0.19351,0,0,1.39451,0,0,-1.74414,-5.04905,1,1.202
11.8,-0.767677,0,0,0.232323,0,0,1.33332,0,0,-1.71189,-5.29353,1,1.102
11.9,-0.729014,0,0,0.270986,0,0,1.27199,0,0,-1.66527,-5.62463,1,1.002
12,-0.728243,0,0,0.271757,0,0,1.27076,0,0,0,0,1,0.999
12.1,-0.789571,0,0,0.310429,0,0,1.30943,0,0,5.30135,1.71025,1.099,0.999
12.2,-0.85075,0,0,0.34925,0,0,1.34825,0,0,5.05483,1.7429,1.199,0.999
12.3,-0.911763,0,0,0.388237,0,0,1.38724,0,0,4.86504,1.76591,1.299,0.999
12.4,-0.972614,0,0,0.427386,0,0,1.42639,0,0,4.71407,1.7823,1.399,0.999
12.5,-1.03331,0,0,0.466691,0,0,1.46569,0,0,4.59086,1.79396,1.499,0.999
12.6,-1.09386,0,0,0.506141,0,0,1.50514,0,0,4.48822,1.80221,1.599,0.999
12.7,-1.15427,0,0,0.545725,0,0,1.54473,0,0,4.40128,1.80792,1.699,0.999
12.8,-1.21457,0,0,0.585434,0,0,1.58443,0,0,4.3266,1.81173,1.799,0.999
12.9,-1.27474,0,0,0.625255,0,0,1.62426,0,0,4.26169,1.81411,1.899,0.999
13,-1.27535,0,0,0.625654,0,0,1.62465,0,0,0,0,1.901,0.999
13.1,-1.30854,0,0,0.592459,0,0,1.69146,0,0,1.83888,5.57535,1.901,1.098
13.2,-1.34207,0,0,0.558931,0,0,1.75793,0,0,1.85735,5.321,1.901,1.198
13.3,-1.3759,0,0,0.525105,0,0,1.8241,0,0,1.87117,5.12588,1.901,1.298
13.4,-1.40999,0,0,0.491012,0,0,1.89001,0,0,1.88158,4.97119,1.901,1.398
13.5,-1.44432,0,0,0.45668,0,0,1.95568,0,0,1.8894,4.84533,1.901,1.498
13.6,-1.47887,0,0,0.422134,0,0,2.02113,0,0,1.89526,4.74077,1.901,1.598
13.7,-1.51361,0,0,0.387394,0,0,2.08639,0,0,1.89959,4.65241,1.901,1.698
13.8,-1.54852,0,0,0.35248,0,0,2.15148,0,0,1.90271,4.57666,1.901,1.798
13.9,-1.58359,0,0,0.317408,0,0,2.21641,0,0,1.90489,4.51092,1.901,1.898
14,-1.58429,0,0,0.316705,0,0,2.21771,0,0,0,0,1.901,1.901
14.1,-1.51937,0,0,0.281628,0,0,2.18263,0,0,-4.57385,-1.90282,1.802,1.901
14.2,-1.45429,0,0,0.246709,0,0,2.14771,0,0,-4.64916,-1.89973,1.702,1.901
