Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_length_0,arm_length_1,arm_length_2
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,0,0,1,1,1
0.1,0.618721,0.0281453,0,-0.275409,0.475943,0,-0.334176,-0.521345,0,4.95526,-0.651988,-0.648349,1.09898,0.999996,0.999017
0.2,0.659184,0.0576233,0,-0.259779,0.449463,0,-0.380062,-0.542307,0,4.8084,-0.873112,-0.873181,1.19898,0.999014,0.999036
0.3,0.699332,0.0880858,0,-0.242885,0.420197,0,-0.426519,-0.561839,0,4.77367,-1.14338,-1.14343,1.29898,0.999035,0.999057
0.4,0.738613,0.120051,0,-0.223991,0.387466,0,-0.473844,-0.579868,0,4.85742,-1.48816,-1.48821,1.39898,0.999058,0.99908
0.5,0.761257,0.142682,0,-0.200528,0.413028,0,-0.519003,-0.638909,0,3.15093,-0.618532,3.71427,1.49898,0.999058,1.09809
0.6,0.744017,0.131669,0,-0.1948,0.473425,0,-0.517698,-0.681373,0,-1.54522,0.556839,5.04372,1.50099,0.999086,1.19809
0.7,0.723583,0.12175,0,-0.187166,0.532562,0,-0.516363,-0.72413,0,-1.46655,0.268103,4.7959,1.50099,0.999114,1.29809
0.8,0.700327,0.113227,0,-0.177516,0.590381,0,-0.515237,-0.767342,0,-1.4473,0.00313715,4.63578,1.501,0.999142,1.39809
0.9,0.626888,0.073315,0,-0.171709,0.673934,0,-0.472907,-0.794603,0,-6.073,-0.513654,5.99042,1.40201,0.999249,1.49811
1,0.577971,0.0405944,0,-0.173512,0.699252,0,-0.433038,-0.778241,0,-4.78689,-0.254375,1.46271,1.30201,0.999278,1.50011
1.1,0.527343,0.00920831,0,-0.173015,0.722027,0,-0.393518,-0.761797,0,-5.03004,-0.54117,1.53786,1.20201,0.999306,1.50012
1.2,0.47439,-0.020934,0,-0.170057,0.742845,0,-0.354234,-0.745929,0,-5.39227,-0.873535,1.68848,1.10202,0.999334,1.50012
1.3,0.460769,-0.0528466,0,-0.181359,0.712883,0,-0.319077,-0.680455,0,-4.12239,0.683995,-3.36428,1.00202,0.999334,1.40113
1.4,0.49735,-0.0571094,0,-0.194228,0.664302,0,-0.321407,-0.62959,0,1.14892,1.14972,-4.77384,0.999048,0.999357,1.30113
1.5,0.531011,-0.0604267,0,-0.205419,0.615167,0,-0.322808,-0.579206,0,0.877402,0.878353,-4.80626,0.999068,0.999377,1.20113
1.6,0.561206,-0.063404,0,-0.215183,0.565892,0,-0.32278,-0.528961,0,0.654416,0.655561,-4.95098,0.999087,0.999396,1.10113
1.7,0.669396,-0.0740681,0,-0.255959,0.519675,0,-0.353765,-0.475658,0,4.57489,4.57558,-5.99169,1.09815,1.09846,1.00113
1.8,0.747842,-0.0817987,0,-0.28836,0.522369,0,-0.386071,-0.471969,0,3.7676,3.76706,-0.683951,1.19816,1.19847,0.999127
1.9,0.743637,-0.135049,0,-0.349685,0.567306,0,-0.314869,-0.431303,0,-6.15963,5.8065,-1.00058,1.10018,1.29848,0.999215
2,0.741249,-0.189946,0,-0.411646,0.603404,0,-0.239537,-0.380975,0,-7.09934,6.33756,-2.27717,1.00022,1.39849,0.99931
2.1,0.762018,-0.214305,0,-0.451985,0.665853,0,-0.218182,-0.408317,0,-0.618812,3.15214,3.71444,0.999216,1.49849,1.09832
2.2,0.74568,-0.201984,0,-0.447326,0.70809,0,-0.217241,-0.468956,0,0.55398,-1.54316,5.04184,0.999244,1.5005,1.19832
2.3,0.726073,-0.190497,0,-0.44261,0.750616,0,-0.214302,-0.528493,0,0.265668,-1.46513,4.79465,0.999272,1.5005,1.29832
2.4,0.703543,-0.180177,0,-0.438064,0.793612,0,-0.209251,-0.586879,0,0.000955259,-1.44639,4.63499,0.9993,1.50051,1.39833
2.5,0.633462,-0.134598,0,-0.393706,0.817445,0,-0.210051,-0.670602,0,-0.517402,-6.07343,5.99022,0.999407,1.40152,1.49834
2.6,0.587278,-0.0981136,0,-0.355261,0.797979,0,-0.213835,-0.695684,0,-0.256161,-4.78789,1.46298,0.999436,1.30152,1.50034
2.7,0.563938,-0.0654744,0,-0.321226,0.745541,0,-0.223123,-0.681439,0,0.332404,-3.96665,-1.8747,0.999439,1.20153,1.43105
2.8,0.540739,-0.0332922,0,-0.286789,0.692214,0,-0.232078,-0.66704,0,0.356352,-4.23836,-2.02806,0.999441,1.10153,1.36105
2.9,0.528032,-0.00199546,0,-0.253371,0.622895,0,-0.243401,-0.637427,0,0.741019,-4.32581,-3.73836,0.999441,1.00154,1.26136
3,0.559932,-0.00144603,0,-0.258315,0.572652,0,-0.249546,-0.587676,0,0.783774,0.784098,-4.84971,0.999461,0.999559,1.16136
3.1,0.630868,0.0297951,0,-0.251774,0.499062,0,-0.296805,-0.560357,0,5.66596,-0.172476,-5.76138,1.09848,0.999634,1.06138
3.2,0.686189,0.0617073,0,-0.238722,0.44107,0,-0.343951,-0.55277,0,4.80826,-0.871116,-0.870211,1.19849,0.999688,0.999395
