Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,1,0,0,1,0,0,-1,0,1,1,1,1,0,0
0.1,0.65491,-6.87762e-19,0,-0.32523,0.4995,0,-0.32523,-0.4995,0,0.920091,1,0.0953616,0.920091,1,0.0953616,-0.364873,-1,0.00163007,1.09908,1.09908,0.999,1,-1.05016e-18,0
0.2,0.730134,1.09635e-20,0,-0.361064,0.4995,0,-0.361064,-0.4995,0,0.872013,1,0.0894558,0.872013,1,0.0894558,-0.31906,-1,0,1.19909,1.19909,0.999,1,1.50157e-20,0
0.3,0.803825,9.35546e-19,0,-0.396488,0.4995,0,-0.396488,-0.4995,0,0.836164,1,0.0853092,0.836164,1,0.0853092,-0.28428,1,0,1.2991,1.2991,0.999,1,1.16913e-18,0
0.4,0.862031,3.41613e-18,0,-0.425728,0.5495,0,-0.425728,-0.5495,0,0.687751,1,0.0690716,0.687751,1,0.0690716,0.850085,1,0.0861278,1.3991,1.3991,1.098,1,3.97959e-18,0
0.5,0.920185,6.37769e-18,0,-0.454913,0.5995,0,-0.454913,-0.5995,0,0.682574,1,0.0685063,0.682574,1,0.0685063,0.830851,1,0.0840072,1.4991,1.4991,1.198,1,6.95822e-18,0
0.6,0.978296,8.80079e-18,0,-0.484053,0.6495,0,-0.484053,-0.6495,0,0.678181,-1,0.0680298,0.678181,-1,0.0680298,0.814765,1,0.08225,1.5991,1.5991,1.298,1,9.02739e-18,0
0.7,0.886372,9.1252e-18,0,-0.440692,0.6995,0,-0.440692,-0.6995,0,-1.08262,-1,0.103157,-1.08262,-1,0.103157,1.51568,1,0.147025,1.50113,1.50113,1.398,1,1.03346e-17,0
0.8,0.787966,9.88439e-18,0,-0.394722,0.7495,0,-0.394722,-0.7495,0,-1.22535,-1,0.114974,-1.22535,-1,0.114974,1.6467,1,0.157697,1.40118,1.40118,1.498,1,1.25985e-17,0
0.9,0.680492,1.04457e-17,0,-0.344902,0.7995,0,-0.344902,-0.7995,0,-1.45397,-1,0.133082,-1.45397,-1,0.133082,1.86213,-1,0.17457,1.30124,1.30124,1.598,1,1.52805e-17,0
1,0.62188,7.55783e-18,0,-0.315582,0.7495,0,-0.315582,-0.7495,0,-0.834587,-1,0.0823958,-0.834587,-1,0.0823958,-0.570235,-1,0.0574879,1.20124,1.20124,1.5,1,1.20928e-17,0
1.1,0.563089,3.04747e-18,0,-0.28617,0.6995,0,-0.28617,-0.6995,0,-0.860455,-1,0.084715,-0.860455,-1,0.084715,-0.558358,-1,0.0564527,1.10125,1.10125,1.4,1,5.38239e-18,0
1.2,0.504053,-2.46614e-18,0,-0.256634,0.6495,0,-0.256634,-0.6495,0,-0.893581,1,0.0876461,-0.893581,1,0.0876461,-0.542144,-1,0.0550613,1.00125,1.00125,1.3,1,-4.86298e-18,0
1.3,0.615579,-1.41449e-18,0,-0.307103,0.5995,0,-0.307103,-0.5995,0,1.28668,1,0.144033,1.28668,1,0.144033,-1.70248,-1,0.184287,1.09934,1.09934,1.2,1,-2.28641e-18,0
1.4,0.714735,8.78083e-20,0,-0.352504,0.5495,0,-0.352504,-0.5495,0,1.09705,1,0.118262,1.09705,1,0.118262,-1.53683,-1,0.16107,1.19939,1.19939,1.1,1,1.22329e-19,0
1.5,0.805656,-6.86057e-19,0,-0.394817,0.5,0,-0.394817,-0.5,0,0.836351,1,0.103174,0.836351,1,0.103174,-0.28458,1,0.147026,1.29944,1.29944,1,1,-8.57233e-19,0
1.6,0.863859,2.17881e-18,0,-0.424056,0.55,0,-0.424056,-0.55,0,0.68779,1,0.0690754,0.68779,1,0.0690754,0.849735,1,0.0860903,1.39944,1.39944,1.099,1,2.53787e-18,0
1.7,0.922012,4.70478e-18,0,-0.453238,0.6,0,-0.453238,-0.6,0,0.682613,1,0.0685102,0.682613,1,0.0685102,0.830544,1,0.0839744,1.49944,1.49944,1.199,1,5.13246e-18,0
1.8,0.980121,7.84998e-18,0,-0.482377,0.65,0,-0.482377,-0.65,0,0.678221,-1,0.0680337,0.678221,-1,0.0680337,0.81449,1,0.0822209,1.59944,1.59944,1.299,1,8.05128e-18,0
1.9,0.888177,1.02003e-17,0,-0.439007,0.7,0,-0.439007,-0.7,0,-1.08298,-1,0.10319,-1.08298,-1,0.10319,1.516,1,0.147052,1.50147,1.50147,1.399,1,1.15512e-17,0
2,0.789747,9.06266e-18,0,-0.393026,0.75,0,-0.393026,-0.75,0,-1.22583,-1,0.115016,-1.22583,-1,0.115016,1.64716,1,0.157735,1.40152,1.40152,1.499,1,1.15503e-17,0
2.1,0.682243,8.07806e-18,0,-0.343191,0.8,0,-0.343191,-0.8,0,-1.45467,-1,0.133141,-1.45467,-1,0.133141,1.86282,-1,0.174625,1.30158,1.30158,1.599,1,1.18165e-17,0
2.2,0.623628,3.66747e-18,0,-0.31387,0.75,0,-0.31387,-0.75,0,-0.834793,-1,0.0824151,-0.834793,-1,0.0824151,-0.569819,-1,0.0574488,1.20158,1.20158,1.501,1,5.86787e-18,0
2.3,0.564832,-1.75802e-19,0,-0.284455,0.7,0,-0.284455,-0.7,0,-0.860693,-1,0.0847371,-0.860693,-1,0.0847371,-0.557882,-1,0.0564082,1.10159,1.10159,1.401,1,-3.10489e-19,0
2.4,0.50579,-6.18128e-18,0,-0.254916,0.65,0,-0.254916,-0.65,0,-0.893861,1,0.0876718,-0.893861,1,0.0876718,-0.541588,-1,0.0550099,1.00159,1.00159,1.301,1,-1.21886e-17,0
2.5,0.617356,-1.02775e-18,0,-0.305405,0.6,0,-0.305405,-0.6,0,1.28732,1,0.144116,1.28732,1,0.144116,-1.70306,-1,0.184365,1.09968,1.09968,1.201,1,-1.66113e-18,0
2.6,0.716543,-2.1151e-18,0,-0.350821,0.55,0,-0.350821,-0.55,0,1.0975,1,0.118316,1.0975,1,0.118316,-1.53718,-1,0.161116,1.19973,1.19973,1.101,1,-2.94627e-18,0
2.7,0.807637,-4.88936e-18,0,-0.393204,0.5,0,-0.393204,-0.5,0,0.978978,1,0.103355,0.978978,1,0.103355,-1.44199,1,0.148494,1.29978,1.29978,1.001,1,-6.10741e-18,0
2.8,0.865841,1.81597e-19,0,-0.422443,0.55,0,-0.422443,-0.55,0,0.687741,1,0.0690703,0.687741,1,0.0690703,0.849806,1,0.0860976,1.39978,1.39978,1.099,1,2.11463e-19,0
2.9,0.923994,4.86047e-18,0,-0.451627,0.6,0,-0.451627,-0.6,0,0.682569,1,0.0685056,0.682569,1,0.0685056,0.830612,1,0.0839814,1.49978,1.49978,1.199,1,5.30088e-18,0
3,0.982104,8.77589e-18,0,-0.480766,0.65,0,-0.480766,-0.65,0,0.67818,-1,0.0680294,0.67818,-1,0.0680294,0.814556,1,0.0822276,1.59978,1.59978,1.299,1,8.99864e-18,0
3.1,0.890169,9.74454e-18,0,-0.437399,0.7,0,-0.437399,-0.7,0,-1.08278,-1,0.103173,-1.08278,-1,0.103173,1.51581,1,0.147037,1.50181,1.50181,1.399,1,1.10318e-17,0
3.2,0.791752,9.04936e-18,0,-0.391424,0.75,0,-0.391424,-0.75,0,-1.22551,-1,0.11499,-1.22551,-1,0.11499,1.64685,1,0.157711,1.40186,1.40186,1.499,1,1.15294e-17,0
3.3,0.684269,6.40913e-18,0,-0.341597,0.8,0,-0.341597,-0.8,0,-1.4541,-1,0.133097,-1.4541,-1,0.133097,1.86228,-1,0.174585,1.30192,1.30192,1.599,1,9.3713e-18,0
3.4,0.625656,2.83932e-18,0,-0.312277,0.75,0,-0.312277,-0.75,0,-0.834569,-1,0.0823945,-0.834569,-1,0.0823945,-0.570086,-1,0.0574735,1.20192,1.20192,1.501,1,4.54075e-18,0
3.5,0.566863,-3.45229e-19,0,-0.282864,0.7,0,-0.282864,-0.7,0,-0.860421,-1,0.0847124,-0.860421,-1,0.0847124,-0.558197,-1,0.0564373,1.10192,1.10192,1.401,1,-6.09401e-19,0
3.6,0.507826,-6.88282e-18,0,-0.253327,0.65,0,-0.253327,-0.65,0,-0.893523,1,0.0876415,-0.893523,1,0.0876415,-0.541972,-1,0.0550447,1.00193,1.00193,1.301,1,-1.35639e-17,0
3.7,0.619363,-3.21316e-18,0,-0.303804,0.6,0,-0.303804,-0.6,0,1.28686,1,0.144048,1.28686,1,0.144048,-1.70264,-1,0.184303,1.10002,1.10002,1.201,1,-5.19112e-18,0
3.8,0.718532,-2.99031e-18,0,-0.349214,0.55,0,-0.349214,-0.55,0,1.09724,1,0.118281,1.09724,1,0.118281,-1.53695,-1,0.161085,1.20007,1.20007,1.101,1,-4.16396e-18,0
3.9,0.809615,-4.84858e-18,0,-0.391594,0.5,0,-0.391594,-0.5,0,0.97882,1,0.103334,0.97882,1,0.103334,-1.44186,1,0.148477,1.30012,1.30012,1.001,1,-6.05462e-18,0
4,0.86782,2.84116e-20,0,-0.420834,0.55,0,-0.420834,-0.55,0,0.687692,1,0.0690652,0.687692,1,0.0690652,0.849878,1,0.0861049,1.40012,1.40012,1.099,1,3.30748e-20,0
4.1,0.925974,2.53352e-18,0,-0.450017,0.6,0,-0.450017,-0.6,0,0.682524,1,0.0685009,0.682524,1,0.0685009,0.83068,1,0.0839884,1.50012,1.50012,1.199,1,2.76233e-18,0
4.2,0.983348,5.96578e-18,0,-0.4788,0.65,0,-0.4788,-0.65,0,-0.153922,-1,0.067347,-0.153922,-1,0.067347,1.12246,1,0.0825421,1.60012,1.60012,1.299,1,6.12023e-18,0
4.3,0.891395,6.60754e-18,0,-0.435427,0.7,0,-0.435427,-0.7,0,-1.08317,-1,0.103205,-1.08317,-1,0.103205,1.51617,1,0.147066,1.50115,1.50115,1.399,1,7.48465e-18,0
4.4,0.792953,7.74136e-18,0,-0.389441,0.75,0,-0.389441,-0.75,0,-1.22614,-1,0.11504,-1.22614,-1,0.11504,1.64744,1,0.157757,1.4012,1.4012,1.499,1,9.86953e-18,0
4.5,0.68543,8.07125e-18,0,-0.339599,0.8,0,-0.339599,-0.8,0,-1.45522,-1,0.133182,-1.45522,-1,0.133182,1.86333,-1,0.174664,1.30126,1.30126,1.599,1,1.18113e-17,0
4.6,0.626812,4.17951e-18,0,-0.310275,0.75,0,-0.310275,-0.75,0,-0.835005,-1,0.0824346,-0.835005,-1,0.0824346,-0.569568,-1,0.0574254,1.20126,1.20126,1.501,1,6.69006e-18,0
4.7,0.568012,-9.36902e-20,0,-0.280859,0.7,0,-0.280859,-0.7,0,-0.860949,-1,0.0847604,-0.860949,-1,0.0847604,-0.557583,-1,0.0563808,1.10126,1.10126,1.401,1,-1.65549e-19,0
4.8,0.508967,-2.86305e-18,0,-0.251318,0.65,0,-0.251318,-0.65,0,-0.89418,1,0.0877004,-0.89418,1,0.0877004,-0.541225,-1,0.054977,1.00127,1.00127,1.301,1,-5.64863e-18,0
4.9,0.620561,7.89377e-19,0,-0.301819,0.6,0,-0.301819,-0.6,0,1.28776,1,0.144181,1.28776,1,0.144181,-1.70345,-1,0.184424,1.09936,1.09936,1.201,1,1.27638e-18,0
5,0.719764,2.59658e-18,0,-0.34724,0.55,0,-0.34724,-0.55,0,1.09774,1,0.118348,1.09774,1,0.118348,-1.53739,-1,0.161144,1.19941,1.19941,1.101,1,3.61816e-18,0
5.1,0.810868,3.03742e-18,0,-0.389626,0.5,0,-0.389626,-0.5,0,0.979128,1,0.103374,0.979128,1,0.103374,-1.44211,1,0.14851,1.29946,1.29946,1.001,1,3.79521e-18,0
5.2,0.869071,7.84955e-18,0,-0.418865,0.55,0,-0.418865,-0.55,0,0.687787,1,0.0690751,0.687787,1,0.0690751,0.849739,1,0.0860907,1.39946,1.39946,1.099,1,9.14299e-18,0
5.3,0.927224,1.02029e-17,0,-0.448048,0.6,0,-0.448048,-0.6,0,0.682611,1,0.06851,0.682611,1,0.06851,0.830548,1,0.0839748,1.49946,1.49946,1.199,1,1.11302e-17,0
5.4,0.985333,1.28604e-17,0,-0.477187,0.65,0,-0.477187,-0.65,0,0.678219,-1,0.0680335,0.678219,-1,0.0680335,0.814494,1,0.0822213,1.59946,1.59946,1.299,1,1.319e-17,0
5.5,0.89339,1.30464e-17,0,-0.433817,0.7,0,-0.433817,-0.7,0,-1.08297,-1,0.103189,-1.08297,-1,0.103189,1.51599,1,0.147051,1.50149,1.50149,1.399,1,1.4774e-17,0
5.6,0.794961,1.34219e-17,0,-0.387836,0.75,0,-0.387836,-0.75,0,-1.22581,-1,0.115015,-1.22581,-1,0.115015,1.64714,1,0.157733,1.40154,1.40154,1.499,1,1.71058e-17,0
5.7,0.687458,1.28376e-17,0,-0.338002,0.8,0,-0.338002,-0.8,0,-1.45464,-1,0.133138,-1.45464,-1,0.133138,1.86279,-1,0.174623,1.3016,1.3016,1.599,1,1.87783e-17,0
5.8,0.628843,1.13757e-17,0,-0.30868,0.75,0,-0.30868,-0.75,0,-0.83478,-1,0.0824139,-0.83478,-1,0.0824139,-0.569835,-1,0.0574502,1.2016,1.2016,1.501,1,1.82005e-17,0
5.9,0.570047,9.26651e-18,0,-0.279266,0.7,0,-0.279266,-0.7,0,-0.860677,-1,0.0847356,-0.860677,-1,0.0847356,-0.5579,-1,0.0564099,1.10161,1.10161,1.401,1,1.63653e-17,0
6,0.511005,6.86289e-18,0,-0.249727,0.65,0,-0.249727,-0.65,0,-0.893841,1,0.08767,-0.893841,1,0.08767,-0.541611,-1,0.0550119,1.00161,1.00161,1.301,1,1.35321e-17,0
6.1,0.62257,6.10992e-18,0,-0.300215,0.6,0,-0.300215,-0.6,0,1.2873,1,0.144112,1.2873,1,0.144112,-1.70303,-1,0.184361,1.0997,1.0997,1.201,1,9.8751e-18,0
6.2,0.721756,6.91585e-18,0,-0.34563,0.55,0,-0.34563,-0.55,0,1.09748,1,0.118314,1.09748,1,0.118314,-1.53716,-1,0.161114,1.19975,1.19975,1.101,1,9.63338e-18,0
6.3,0.812849,5.54917e-18,0,-0.388014,0.5,0,-0.388014,-0.5,0,0.978969,1,0.103353,0.978969,1,0.103353,-1.44198,1,0.148493,1.2998,1.2998,1.001,1,6.93148e-18,0
6.4,0.871053,8.50811e-18,0,-0.417253,0.55,0,-0.417253,-0.55,0,0.687738,1,0.06907,0.687738,1,0.06907,0.849811,1,0.086098,1.3998,1.3998,1.099,1,9.90722e-18,0
6.5,0.929206,1.11886e-17,0,-0.446436,0.6,0,-0.446436,-0.6,0,0.682566,1,0.0685053,0.682566,1,0.0685053,0.830616,1,0.0839818,1.4998,1.4998,1.199,1,1.22022e-17,0
6.6,0.987316,1.35291e-17,0,-0.475576,0.65,0,-0.475576,-0.65,0,0.678177,-1,0.0680292,0.678177,-1,0.0680292,0.814559,1,0.082228,1.5998,1.5998,1.299,1,1.38723e-17,0
6.7,0.895382,1.381e-17,0,-0.432209,0.7,0,-0.432209,-0.7,0,-1.08277,-1,0.103172,-1.08277,-1,0.103172,1.5158,1,0.147036,1.50183,1.50183,1.399,1,1.56341e-17,0
6.8,0.796966,1.42758e-17,0,-0.386234,0.75,0,-0.386234,-0.75,0,-1.22549,-1,0.114989,-1.22549,-1,0.114989,1.64684,1,0.157709,1.40188,1.40188,1.499,1,1.81878e-17,0
