Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_length_0,arm_length_1
0,-1.00023,0,0,0.00077193,0,0,0.999772,0,0,3.96833,-3.96833,1,1
0.1,-1.06156,0,0,0.0394446,0,0,1.03844,0,0,5.29851,1.71064,1.1,0.999
0.2,-1.12273,0,0,0.0782679,0,0,1.07727,0,0,5.05269,1.74317,1.2,0.999
0.3,-1.18374,0,0,0.117256,0,0,1.11626,0,0,4.86336,1.76611,1.3,0.999
0.4,-1.24459,0,0,0.156407,0,0,1.15541,0,0,4.71271,1.78243,1.4,0.999
0.5,-1.30529,0,0,0.195713,0,0,1.19471,0,0,4.58974,1.79406,1.5,0.999
0.6,-1.36584,0,0,0.235165,0,0,1.23416,0,0,4.48728,1.80228,1.6,0.999
0.7,-1.42625,0,0,0.27475,0,0,1.27375,0,0,4.40048,1.80797,1.7,0.999
0.8,-1.48654,0,0,0.31446,0,0,1.31346,0,0,4.32591,1.81176,1.8,0.999
0.9,-1.54672,0,0,0.354282,0,0,1.35328,0,0,4.26108,1.81412,1.9,0.999
1,-1.54705,0,0,0.353952,0,0,1.35395,0,0,1.81414,5.91748,1.901,0.999
1.1,-1.58025,0,0,0.320753,0,0,1.42075,0,0,1.83909,5.57242,1.901,1.099
1.2,-1.61378,0,0,0.287222,0,0,1.48722,0,0,1.85751,5.31879,1.901,1.199
1.3,-1.64761,0,0,0.253394,0,0,1.55339,0,0,1.87129,5.12416,1.901,1.299
1.4,-1.6817,0,0,0.219298,0,0,1.6193,0,0,1.88167,4.9698,1.901,1.399
1.5,-1.71604,0,0,0.184964,0,0,1.68496,0,0,1.88947,4.84419,1.901,1.499
1.6,-1.75058,0,0,0.150416,0,0,1.75042,0,0,1.89531,4.73982,1.901,1.599
1.7,-1.78533,0,0,0.115674,0,0,1.81567,0,0,1.89963,4.6516,1.901,1.699
1.8,-1.82024,0,0,0.0807587,0,0,1.88076,0,0,1.90274,4.57595,1.901,1.799
1.9,-1.85532,0,0,0.0456849,0,0,1.94568,0,0,1.9049,4.51031,1.901,1.899
2,-1.85502,0,0,0.0449819,0,0,1.94598,0,0,-4.50908,-1.90494,1.901,1.901
2.1,-1.79009,0,0,0.00990659,0,0,1.91091,0,0,-4.57455,-1.90279,1.801,1.901
2.2,-1.72501,0,0,-0.0250107,0,0,1.87599,0,0,-4.64997,-1.8997,1.701,1.901
2.3,-1.65975,0,0,-0.0597538,0,0,1.84125,0,0,-4.73791,-1.89541,1.601,1.901
2.4,-1.5943,0,0,-0.0943042,0,0,1.8067,0,0,-4.84191,-1.88961,1.501,1.901
2.5,-1.52864,0,0,-0.128641,0,0,1.77236,0,0,-4.96704,-1.88184,1.401,1.901
2.6,-1.46274,0,0,-0.162739,0,0,1.73826,0,0,-5.12072,-1.87153,1.301,1.901
2.7,-1.39657,0,0,-0.19657,0,0,1.70443,0,0,-5.3144,-1.85783,1.201,1.901
2.8,-1.3301,0,0,-0.230104,0,0,1.6709,0,0,-5.56659,-1.83952,1.101,1.901
2.9,-1.26331,0,0,-0.263307,0,0,1.63769,0,0,-5.90936,-1.81472,1.001,1.901
3,-1.26291,0,0,-0.262908,0,0,1.63709,0,0,-1.81443,-4.26104,1,1.901
3.1,-1.2231,0,0,-0.223095,0,0,1.5769,0,0,-1.81209,-4.32578,1,1.801
3.2,-1.1834,0,0,-0.183396,0,0,1.5166,0,0,-1.80832,-4.40025,1,1.701
3.3,-1.14382,0,0,-0.14382,0,0,1.45618,0,0,-1.80267,-4.48692,1,1.601
3.4,-1.10438,0,0,-0.104378,0,0,1.39562,0,0,-1.7945,-4.58921,1,1.501
3.5,-1.06508,0,0,-0.0650825,0,0,1.33492,0,0,-1.78293,-4.71196,1,1.401
3.6,-1.02594,0,0,-0.0259421,0,0,1.27406,0,0,-1.76669,-4.8623,1,1.301
3.7,-0.986965,0,0,0.0130346,0,0,1.21303,0,0,-1.74387,-5.05118,1,1.201
3.8,-0.948153,0,0,0.0518465,0,0,1.15185,0,0,-1.71151,-5.29634,1,1.101
3.9,-0.909493,0,0,0.0905074,0,0,1.09051,0,0,-1.6647,-5.62854,1,1.001
4,-0.910107,0,0,0.0908934,0,0,1.09089,0,0,5.63246,1.66414,1,1
4.1,-0.971446,0,0,0.129554,0,0,1.12955,0,0,5.29916,1.71112,1.1,1
4.2,-1.03263,0,0,0.168366,0,0,1.16837,0,0,5.05331,1.7436,1.2,1
4.3,-1.09366,0,0,0.207343,0,0,1.20734,0,0,4.86397,1.7665,1.3,1
4.4,-1.15452,0,0,0.246483,0,0,1.24648,0,0,4.71331,1.78279,1.4,1
4.5,-1.21522,0,0,0.285779,0,0,1.28578,0,0,4.59033,1.7944,1.5,1
4.6,-1.27578,0,0,0.325221,0,0,1.32522,0,0,4.48786,1.8026,1.6,1
4.7,-1.3362,0,0,0.364796,0,0,1.3648,0,0,4.40105,1.80828,1.7,1
4.8,-1.3965,0,0,0.404496,0,0,1.4045,0,0,4.32647,1.81206,1.8,1
4.9,-1.45669,0,0,0.444309,0,0,1.44431,0,0,4.26164,1.81441,1.9,1
5,-1.45702,0,0,0.443979,0,0,1.44498,0,0,1.81443,5.91341,1.901,1
5.1,-1.49022,0,0,0.410776,0,0,1.51178,0,0,1.8393,5.5695,1.901,1.1
5.2,-1.52376,0,0,0.377242,0,0,1.57824,0,0,1.85767,5.31659,1.901,1.2
5.3,-1.55759,0,0,0.34341,0,0,1.64441,0,0,1.87141,5.12244,1.901,1.3
5.4,-1.59169,0,0,0.309312,0,0,1.71031,0,0,1.88175,4.96842,1.901,1.4
5.5,-1.62602,0,0,0.274976,0,0,1.77598,0,0,1.88954,4.84305,1.901,1.5
5.6,-1.66057,0,0,0.240426,0,0,1.84143,0,0,1.89536,4.73886,1.901,1.6
5.7,-1.69532,0,0,0.205683,0,0,1.90668,0,0,1.89966,4.65078,1.901,1.7
5.8,-1.73023,0,0,0.170765,0,0,1.97177,0,0,1.90277,4.57525,1.901,1.8
5.9,-1.76531,0,0,0.13569,0,0,2.03669,0,0,1.90492,4.50969,1.901,1.9
6,-1.76466,0,0,0.135338,0,0,2.03634,0,0,-4.50908,-1.90494,1.901,1.901
6.1,-1.69974,0,0,0.100263,0,0,2.00126,0,0,-4.57455,-1.90279,1.801,1.901
6.2,-1.63465,0,0,0.0653459,0,0,1.96635,0,0,-4.64997,-1.8997,1.701,1.901
6.3,-1.5694,0,0,0.0306028,0,0,1.9316,0,0,-4.73791,-1.89541,1.601,1.901
6.4,-1.50395,0,0,-0.00394763,0,0,1.89705,0,0,-4.84191,-1.88961,1.501,1.901
6.5,-1.43828,0,0,-0.038284,0,0,1.86272,0,0,-4.96704,-1.88184,1.401,1.901
6.6,-1.37238,0,0,-0.072382,0,0,1.82862,0,0,-5.12072,-1.87153,1.301,1.901
6.7,-1.30621,0,0,-0.106214,0,0,1.79479,0,0,-5.3144,-1.85783,1.201,1.901
6.8,-1.23975,0,0,-0.139748,0,0,1.76125,0,0,-5.56659,-1.83952,1.101,1.901
6.9,-1.17295,0,0,-0.17295,0,0,1.72805,0,0,-5.90936,-1.81472,1.001,1.901
7,-1.17255,0,0,-0.172552,0,0,1.72745,0,0,-1.81443,-4.26104,1,1.901
7.1,-1.13274,0,0,-0.132738,0,0,1.66726,0,0,-1.81209,-4.32578,1,1.801
7.2,-1.09304,0,0,-0.0930391,0,0,1.60696,0,0,-1.80832,-4.40025,1,1.701
7.3,-1.05346,0,0,-0.0534633,0,0,1.54654,0,0,-1.80267,-4.48692,1,1.601
7.4,-1.01402,0,0,-0.0140219,0,0,1.48598,0,0,-1.7945,-4.58921,1,1.501
7.5,-0.974726,0,0,0.0252741,0,0,1.42527,0,0,-1.78293,-4.71196,1,1.401
7.6,-0.935586,0,0,0.0644144,0,0,1.36441,0,0,-1.76669,-4.8623,1,1.301
7.7,-0.896609,0,0,0.103391,0,0,1.30339,0,0,-1.74387,-5.05118,1,1.201
7.8,-0.857797,0,0,0.142203,0,0,1.2422,0,0,-1.71151,-5.29634,1,1.101
7.9,-0.819136,0,0,0.180864,0,0,1.18086,0,0,-1.6647,-5.62854,1,1.001
8,-0.819364,0,0,0.181636,0,0,1.18064,0,0,5.63179,1.66357,1,0.999
8.1,-0.880691,0,0,0.220309,0,0,1.21931,0,0,5.29851,1.71064,1.1,0.999
8.2,-0.941868,0,0,0.259132,0,0,1.25813,0,0,5.05269,1.74317,1.2,0.999
8.3,-1.00288,0,0,0.29812,0,0,1.29712,0,0,4.86336,1.76611,1.3,0.999
8.4,-1.06373,0,0,0.337271,0,0,1.33627,0,0,4.71271,1.78243,1.4,0.999
8.5,-1.12442,0,0,0.376577,0,0,1.37558,0,0,4.58974,1.79406,1.5,0.999
8.6,-1.18497,0,0,0.416029,0,0,1.41503,0,0,4.48728,1.80228,1.6,0.999
8.7,-1.24539,0,0,0.455614,0,0,1.45461,0,0,4.40048,1.80797,1.7,0.999
8.8,-1.30568,0,0,0.495324,0,0,1.49432,0,0,4.32591,1.81176,1.8,0.999
8.9,-1.36585,0,0,0.535147,0,0,1.53415,0,0,4.26108,1.81412,1.9,0.999
9,-1.36618,0,0,0.534816,0,0,1.53482,0,0,1.81414,5.91748,1.901,0.999
9.1,-1.39938,0,0,0.501617,0,0,1.60162,0,0,1.83909,5.57242,1.901,1.099
9.2,-1.43291,0,0,0.468086,0,0,1.66809,0,0,1.85751,5.31879,1.901,1.199
9.3,-1.46674,0,0,0.434258,0,0,1.73426,0,0,1.87129,5.12416,1.901,1.299
9.4,-1.50084,0,0,0.400162,0,0,1.80016,0,0,1.88167,4.9698,1.901,1.399
9.5,-1.53517,0,0,0.365828,0,0,1.86583,0,0,1.88947,4.84419,1.901,1.499
9.6,-1.56972,0,0,0.33128,0,0,1.93128,0,0,1.89531,4.73982,1.901,1.599
9.7,-1.60446,0,0,0.296538,0,0,1.99654,0,0,1.89963,4.6516,1.901,1.699
9.8,-1.63938,0,0,0.261623,0,0,2.06162,0,0,1.90274,4.57595,1.901,1.799
9.9,-1.67445,0,0,0.226549,0,0,2.12655,0,0,1.9049,4.51031,1.901,1.899
10,-1.67415,0,0,0.225846,0,0,2.12685,0,0,-4.50908,-1.90494,1.901,1.901
10.1,-1.60923,0,0,0.190771,0,0,2.09177,0,0,-4.57455,-1.90279,1.801,1.901
10.2,-1.54415,0,0,0.155853,0,0,2.05685,0,0,-4.64997,-1.8997,1.701,1.901
10.3,-1.47889,0,0,0.12111,0,0,2.02211,0,0,-4.73791,-1.89541,1.601,1.901
10.4,-1.41344,0,0,0.0865599,0,0,1.98756,0,0,-4.84191,-1.88961,1.501,1.901
10.5,-1.34778,0,0,0.0522235,0,0,1.95322,0,0,-4.96704,-1.88184,1.401,1.901
10.6,-1.28187,0,0,0.0181255,0,0,1.91913,0,0,-5.12072,-1.87153,1.301,1.901
10.7,-1.21571,0,0,-0.0157061,0,0,1.88529,0,0,-5.3144,-1.85783,1.201,1.901
10.8,-1.14924,0,0,-0.0492401,0,0,1.85176,0,0,-5.56659,-1.83952,1.101,1.901
10.9,-1.08244,0,0,-0.0824427,0,0,1.81856,0,0,-5.90936,-1.81472,1.001,1.901
11,-1.08204,0,0,-0.082044,0,0,1.81796,0,0,-1.81443,-4.26104,1,1.901
11.1,-1.04223,0,0,-0.042231,0,0,1.75777,0,0,-1.81209,-4.32578,1,1.801
11.2,-1.00253,0,0,-0.00253153,0,0,1.69747,0,0,-1.80832,-4.40025,1,1.701
11.3,-0.962956,0,0,0.0370442,0,0,1.63704,0,0,-1.80267,-4.48692,1,1.601
11.4,-0.923514,0,0,0.0764856,0,0,1.57649,0,0,-1.7945,-4.58921,1,1.501
11.5,-0.884218,0,0,0.115782,0,0,1.51578,0,0,-1.78293,-4.71196,1,1.401
11.6,-0.845078,0,0,0.154922,0,0,1.45492,0,0,-1.76669,-4.8623,1,1.301
11.7,-0.806101,0,0,0.193899,0,0,1.3939,0,0,-1.74387,-5.05118,1,1.201
11.8,-0.767289,0,0,0.232711,0,0,1.33271,0,0,-1.71151,-5.29634,1,1.101
11.9,-0.728629,0,0,0.271371,0,0,1.27137,0,0,-1.6647,-5.62854,1,1.001
12,-0.728856,0,0,0.272144,0,0,1.27114,0,0,5.63179,1.66357,1,0.999
12.1,-0.790184,0,0,0.310816,0,0,1.30982,0,0,5.29851,1.71064,1.1,0.999
12.2,-0.851361,0,0,0.349639,0,0,1.34864,0,0,5.05269,1.74317,1.2,0.999
12.3,-0.912373,0,0,0.388627,0,0,1.38763,0,0,4.86336,1.76611,1.3,0.999
12.4,-0.973222,0,0,0.427778,0,0,1.42678,0,0,4.71271,1.78243,1.4,0.999
12.5,-1.03392,0,0,0.467085,0,0,1.46608,0,0,4.58974,1.79406,1.5,0.999
12.6,-1.09446,0,0,0.506536,0,0,1.50554,0,0,4.48728,1.80228,1.6,0.999
12.7,-1.15488,0,0,0.546122,0,0,1.54512,0,0,4.40048,1.80797,1.7,0.999
12.8,-1.21517,0,0,0.585831,0,0,1.58483,0,0,4.32591,1.81176,1.8,0.999
12.9,-1.27535,0,0,0.625654,0,0,1.62465,0,0,4.26108,1.81412,1.9,0.999
13,-1.27568,0,0,0.625324,0,0,1.62532,0,0,1.81414,5.91748,1.901,0.999
13.1,-1.30888,0,0,0.592125,0,0,1.69212,0,0,1.83909,5.57242,1.901,1.099
