Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_length_0,arm_length_1
0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0.1,-1.03443,0,0,-0.0344334,0,0,1.06557,0,0,0.637844,0,0,1.38136,1,0.139022,1,1.099
0.2,-1.06903,0,0,-0.0690293,0,0,1.13097,0,0,0.637346,0,0,1.36613,1,0.137343,1,1.199
0.3,-1.10376,0,0,-0.103764,0,0,1.19624,0,0,0.636694,0,0,1.35336,1,0.13595,1,1.299
0.4,-1.13862,0,0,-0.138617,0,0,1.26138,0,0,0.635948,0,0,1.34248,1,0.134773,1,1.399
0.5,-1.17357,0,0,-0.173575,0,0,1.32643,0,0,0.635149,0,0,1.3331,1,0.133763,1,1.499
0.6,-1.17357,0,0,-0.173575,0,0,1.32643,0,0,0,0,0,0,1,0,1,1.5
0.7,-1.17357,0,0,-0.173575,0,0,1.32643,0,0,0,0,0,0,1,0,1,1.5
0.8,-1.17357,0,0,-0.173575,0,0,1.32643,0,0,0,0,0,0,1,0,1,1.5
0.9,-1.17357,0,0,-0.173575,0,0,1.32643,0,0,0,0,0,0,1,0,1,1.5
