Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_extensile_velocity_0,arm_extensile_velocity_1,arm_length_0,arm_length_1
0,-1,0,0,0,0,0,1,0,0,0,0,0.5,1,1,1
0.1,-1.06724,0,0,-0.017236,0,0,1.08276,0,0,1.33478,1.70233,0.5,1,1.0495,1.099
0.2,-1.13458,0,0,-0.0345772,0,0,1.16542,0,0,1.33161,1.68889,0.5,1,1.0995,1.199
0.3,-1.20199,0,0,-0.0519943,0,0,1.24801,0,0,1.32856,1.6778,0.5,1,1.1495,1.299
0.4,-1.26947,0,0,-0.0694658,0,0,1.33053,0,0,1.32565,1.66851,0.5,1,1.1995,1.399
0.5,-1.33698,0,0,-0.086976,0,0,1.41302,0,0,1.32291,1.66061,0.5,1,1.2495,1.499
0.6,-1.37046,0,0,-0.0704554,0,0,1.43054,0,0,0.683525,0.318271,0.5,1,1.2995,1.501
0.7,-1.40356,0,0,-0.0535622,0,0,1.44744,0,0,0.680839,0.318282,0.5,1,1.3495,1.501
0.8,-1.43664,0,0,-0.036642,0,0,1.46436,0,0,0.678353,0.318275,0.5,1,1.3995,1.501
0.9,-1.4697,0,0,-0.0196967,0,0,1.4813,0,0,0.676045,0.318252,0.5,1,1.4495,1.501
