Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2
0,-0.577353,0,0,0.288677,-0.5,0,0.288677,0.5,0,0,-1,0,0,-1,0,0,1,0,1,1,1
0.1,-0.554285,-2.08167e-20,0,0.279709,-0.55,0,0.279709,0.55,0,-0.255829,-1,0.00120172,-0.255829,-1,0.00120172,1.2151,1,0.121185,0.999022,0.999022,1.099
0.2,-0.529005,-7.63278e-20,0,0.269795,-0.6,0,0.269795,0.6,0,-0.306826,-1,0,-0.306826,-1,0,1.24115,1,0.122708,0.99904,0.99904,1.199
0.3,-0.500346,2.08167e-20,0,0.258352,-0.65,0,0.258352,0.65,0,-0.37133,-1,0,-0.37133,1,0,1.28326,1,0.126088,0.999061,0.999061,1.299
0.4,-0.544051,-0.0350736,0,0.2575,-0.631469,0,0.30001,0.668843,0,-0.0164523,-1,0,1.2058,1,0.120825,-0.362099,1,0.000911721,0.999085,1.09806,1.30101
0.5,-0.586348,-0.0715413,0,0.254748,-0.610777,0,0.342039,0.687306,0,-0.0784271,-1,0,1.20357,1,0.12037,-0.363725,1,0,0.999109,1.19806,1.30101
0.6,-0.627014,-0.109441,0,0.24989,-0.588302,0,0.38444,0.705745,0,-0.14002,-1,0,1.21268,1,0.120723,-0.376953,-1,0,0.999133,1.29806,1.30102
0.7,-0.649028,-0.117899,0,0.259651,-0.533375,0,0.392419,0.660288,0,0.0816421,-1,0,0.363672,1,0.00158998,-1.20367,-1,0.12113,0.999159,1.30007,1.20202
0.8,-0.667996,-0.126768,0,0.267385,-0.478093,0,0.399743,0.614946,0,0.0198461,-1,0,0.361388,1,0,-1.20531,-1,0.120353,0.999183,1.30008,1.10202
0.9,-0.684467,-0.136431,0,0.273023,-0.422138,0,0.407024,0.569878,0,-0.0457225,-1,0,0.3715,-1,0,-1.21939,-1,0.121129,0.999207,1.30009,1.00203
1,-0.649,-0.0998705,0,0.288692,-0.445108,0,0.358954,0.551464,0,0.308018,-1,0,-1.24179,-1,0.125385,0.30788,-1,0.00169633,0.999227,1.20109,0.999045
1.1,-0.612397,-0.0643955,0,0.302434,-0.466362,0,0.311569,0.532661,0,0.256802,-1,0,-1.21545,-1,0.122731,0.256634,-1,0,0.999246,1.10109,0.999064
1.2,-0.575081,-0.0300256,0,0.314548,-0.485095,0,0.264899,0.512752,0,0.215035,-1,0,-1.20202,-1,0.120767,0.214829,1,0,0.999263,1.00109,0.999082
1.3,-0.552481,-0.0285754,0,0.308596,-0.535635,0,0.253349,0.562057,0,-0.255405,-1,0,-0.25524,-1,0.00141639,1.21486,1,0.120954,0.999281,0.999104,1.09808
1.4,-0.527269,-0.0273133,0,0.301221,-0.586066,0,0.240952,0.6115,0,-0.306253,-1,0,-0.306118,-1,0,1.24075,1,0.122677,0.9993,0.999122,1.19808
1.5,-0.498687,-0.0258811,0,0.292322,-0.636574,0,0.22703,0.660866,0,-0.370549,-1,0,-0.370438,1,0,1.28265,1,0.126038,0.99932,0.999143,1.29808
1.6,-0.540551,-0.0630944,0,0.290499,-0.618112,0,0.26771,0.681777,0,-0.0174695,-1,0,1.20557,1,0.120795,-0.361438,1,0.000912001,0.999344,1.09814,1.30009
1.7,-0.580946,-0.101628,0,0.286673,-0.597586,0,0.30878,0.702323,0,-0.079322,-1,0,1.20347,1,0.120354,-0.363256,1,0,0.999368,1.19814,1.3001
1.8,-0.619643,-0.141509,0,0.280657,-0.575382,0,0.350225,0.72286,0,-0.14084,-1,0,1.2127,1,0.12072,-0.376651,-1,0,0.999393,1.29815,1.30011
1.9,-0.641179,-0.151059,0,0.287635,-0.520034,0,0.360467,0.677859,0,0.0811016,-1,0,0.363479,1,0.00158969,-1.20357,-1,0.121114,0.999418,1.30015,1.20111
2,-0.659654,-0.160867,0,0.292572,-0.464433,0,0.37005,0.632941,0,0.0193214,-1,0,0.361295,1,0,-1.20532,-1,0.120349,0.999442,1.30016,1.10111
2.1,-0.675597,-0.171342,0,0.295382,-0.408264,0,0.379577,0.588293,0,-0.0462626,-1,0,0.371511,-1,0,-1.21951,-1,0.121136,0.999466,1.30017,1.00111
2.2,-0.641855,-0.132951,0,0.312164,-0.43098,0,0.33239,0.567943,0,0.308013,-1,0,-1.24173,-1,0.125749,0.307741,-1,0.000848045,0.999487,1.20117,0.999128
2.3,-0.607072,-0.095694,0,0.326953,-0.451514,0,0.286002,0.546793,0,0.256834,-1,0,-1.21541,-1,0.122726,0.256502,-1,0,0.999505,1.10117,0.999146
2.4,-0.571522,-0.0595046,0,0.339991,-0.469613,0,0.240383,0.524574,0,0.215101,-1,0,-1.20198,-1,0.120763,0.214694,1,0,0.999523,1.00117,0.999164
2.5,-0.549026,-0.056931,0,0.336577,-0.520384,0,0.226381,0.573242,0,-0.255438,-1,0,-0.255108,-1,0.00141622,1.21481,1,0.12095,0.999541,0.999186,1.09816
2.6,-0.523912,-0.0544141,0,0.331737,-0.571118,0,0.211525,0.622005,0,-0.30625,-1,0,-0.305979,-1,0,1.24068,1,0.122671,0.999559,0.999205,1.19816
2.7,-0.495442,-0.0515582,0,0.325381,-0.622005,0,0.195149,0.670615,0,-0.3705,-1,0,-0.370278,1,0,1.28256,1,0.12603,0.99958,0.999225,1.29816
2.8,-0.535389,-0.0908163,0,0.322631,-0.603661,0,0.234735,0.693536,0,-0.0175766,-1,0,1.2055,1,0.120787,-0.361308,1,0.000912069,0.999603,1.09823,1.30017
2.9,-0.573804,-0.131319,0,0.317779,-0.583355,0,0.274729,0.716111,0,-0.079394,-1,0,1.20341,1,0.120348,-0.363144,1,0,0.999628,1.19823,1.30018
3,-0.610457,-0.173082,0,0.310656,-0.561484,0,0.315098,0.738696,0,-0.14088,-1,0,1.21265,1,0.120714,-0.376547,-1,0,0.999652,1.29823,1.30019
3.1,-0.631487,-0.183692,0,0.314855,-0.505859,0,0.327581,0.694261,0,0.0811727,-1,0,0.363367,1,0.00158954,-1.20352,-1,0.121109,0.999678,1.30024,1.20119
3.2,-0.649449,-0.194406,0,0.317004,-0.450085,0,0.3394,0.649876,0,0.0194275,-1,0,0.361165,1,0,-1.20525,-1,0.120343,0.999702,1.30024,1.10119
3.3,-0.664851,-0.205659,0,0.317003,-0.393849,0,0.351149,0.605757,0,-0.0461137,-1,0,0.371351,-1,0,-1.21942,-1,0.121128,0.999726,1.30025,1.00119
3.4,-0.633069,-0.165634,0,0.334899,-0.415692,0,0.305037,0.583071,0,0.308008,-1,0,-1.24166,-1,0.125741,0.307602,-1,0.000848115,0.999746,1.20125,0.99921
3.5,-0.600193,-0.126689,0,0.350698,-0.435455,0,0.259762,0.559627,0,0.256867,-1,0,-1.21536,-1,0.122721,0.256371,-1,0,0.999765,1.10125,0.999228
3.6,-0.566498,-0.0887704,0,0.364627,-0.452873,0,0.215308,0.535153,0,0.215168,-1,0,-1.20194,-1,0.120759,0.21456,1,0,0.999782,1.00125,0.999246
3.7,-0.544161,-0.0850804,0,0.363758,-0.503749,0,0.198888,0.583063,0,-0.255472,-1,0,-0.254977,-1,0.00141605,1.21477,1,0.120946,0.9998,0.999268,1.09825
3.8,-0.519208,-0.0813155,0,0.361465,-0.554658,0,0.18161,0.631025,0,-0.306246,-1,0,-0.305841,-1,0,1.24062,1,0.122666,0.999818,0.999287,1.19825
3.9,-0.490921,-0.0770437,0,0.357666,-0.605796,0,0.162823,0.678757,0,-0.370451,-1,0,-0.370118,1,0,1.28247,1,0.126022,0.999839,0.999307,1.29825
4,-0.528851,-0.118248,0,0.353997,-0.587616,0,0.201215,0.70363,0,-0.0176837,-1,0,1.20543,1,0.12078,-0.361177,1,0.000912136,0.999863,1.09831,1.30025
4.1,-0.56519,-0.160618,0,0.348131,-0.567582,0,0.240034,0.728178,0,-0.0794659,-1,0,1.20336,1,0.120342,-0.363031,1,0,0.999887,1.19831,1.30026
4.2,-0.599708,-0.204158,0,0.33992,-0.546098,0,0.279226,0.752754,0,-0.14092,-1,0,1.21259,1,0.120709,-0.376443,-1,0,0.999911,1.29831,1.30027
4.3,-0.620181,-0.215802,0,0.341331,-0.490337,0,0.293917,0.708997,0,0.0812437,-1,0,0.363255,1,0.00158938,-1.20346,-1,0.121103,0.999937,1.30032,1.20127
4.4,-0.637585,-0.227395,0,0.340688,-0.434528,0,0.307943,0.665255,0,0.0195335,-1,0,0.361035,1,0,-1.20519,-1,0.120337,0.999961,1.30033,1.10127
4.5,-0.652406,-0.239398,0,0.337875,-0.378367,0,0.321886,0.621776,0,-0.045965,-1,0,0.371191,-1,0,-1.21933,-1,0.12112,0.999985,1.30033,1.00127
4.6,-0.622244,-0.198032,0,0.356299,-0.399192,0,0.277086,0.596955,0,0.307973,-1,0.000879524,-1.24187,-1,0.125418,0.30819,-1,0.000848185,0.999005,1.20133,0.999292
4.7,-0.591353,-0.157475,0,0.373058,-0.418167,0,0.233049,0.571287,0,0.256692,-1,0,-1.2155,-1,0.122737,0.256957,-1,0,0.999024,1.10133,0.99931
4.8,-0.559589,-0.117905,0,0.387829,-0.434894,0,0.189884,0.544633,0,0.214859,-1,0,-1.20203,-1,0.12077,0.215183,1,0,0.999041,1.00133,0.999328
4.9,-0.537455,-0.11308,0,0.389488,-0.485766,0,0.171102,0.591652,0,-0.255293,-1,0,-0.255564,-1,0.00141676,1.2149,1,0.120958,0.999059,0.99935,1.09833
5,-0.51271,-0.108053,0,0.389722,-0.536742,0,0.151462,0.638682,0,-0.306206,-1,0,-0.306428,-1,0,1.24082,1,0.122682,0.999078,0.999369,1.19833
5.1,-0.484657,-0.102356,0,0.388458,-0.58802,0,0.130327,0.685409,0,-0.37057,-1,0,-0.370752,1,0,1.28277,1,0.126047,0.999098,0.999389,1.29833
5.2,-0.520497,-0.145413,0,0.383907,-0.570029,0,0.167421,0.712159,0,-0.0172902,-1,0,1.20565,1,0.120804,-0.361704,1,0.000911805,0.999122,1.09839,1.30033
5.3,-0.554686,-0.189556,0,0.377066,-0.550296,0,0.204955,0.738606,0,-0.0791939,-1,0,1.20354,1,0.120362,-0.363489,1,0,0.999146,1.19839,1.30034
5.4,-0.586992,-0.234778,0,0.367806,-0.529231,0,0.24286,0.765103,0,-0.140757,-1,0,1.21277,1,0.120727,-0.376863,-1,0,0.999171,1.29839,1.30035
5.5,-0.606859,-0.247448,0,0.366442,-0.473454,0,0.259706,0.722142,0,0.0809746,-1,0,0.363712,1,0.00158998,-1.20365,-1,0.121122,0.999196,1.3004,1.20135
5.6,-0.62366,-0.259918,0,0.36302,-0.417732,0,0.275887,0.679165,0,0.0191435,-1,0,0.36156,1,0,-1.2054,-1,0.120357,0.99922,1.30041,1.10135
5.7,-0.637857,-0.27267,0,0.357408,-0.361764,0,0.291974,0.636447,0,-0.0465025,-1,0,0.371824,-1,0,-1.21962,-1,0.121145,0.999244,1.30041,1.00135
5.8,-0.610232,-0.229657,0,0.377394,-0.381732,0,0.248363,0.609277,0,0.307968,-1,0,-1.2418,-1,0.125758,0.30805,-1,0.000847838,0.999265,1.20141,0.999374
5.9,-0.581406,-0.187611,0,0.395081,-0.399839,0,0.205662,0.581438,0,0.256725,-1,0,-1.21545,-1,0.122732,0.256825,-1,0,0.999284,1.10141,0.999392
6,-0.551661,-0.146506,0,0.410671,-0.415801,0,0.163881,0.552658,0,0.214925,-1,0,-1.20199,-1,0.120766,0.215048,1,0,0.999301,1.00141,0.99941
6.1,-0.529798,-0.140587,0,0.414874,-0.466523,0,0.14277,0.598682,0,-0.255327,-1,0,-0.255432,-1,0.00141659,1.21485,1,0.120953,0.999319,0.999432,1.09841
6.2,-0.505337,-0.134334,0,0.417658,-0.51742,0,0.120801,0.644673,0,-0.306203,-1,0,-0.306289,-1,0,1.24076,1,0.122677,0.999337,0.999451,1.19841
6.3,-0.477608,-0.127246,0,0.418964,-0.568694,0,0.0973548,0.690287,0,-0.370521,-1,0,-0.370592,1,0,1.28268,1,0.126039,0.999358,0.999471,1.29841
6.4,-0.511248,-0.172037,0,0.413514,-0.550957,0,0.133067,0.71886,0,-0.0173975,-1,0,1.20559,1,0.120796,-0.361574,1,0.000911872,0.999382,1.09847,1.30042
6.5,-0.543185,-0.217831,0,0.405691,-0.531595,0,0.169236,0.747152,0,-0.0792659,-1,0,1.20349,1,0.120356,-0.363377,1,0,0.999406,1.19847,1.30042
6.6,-0.57319,-0.264608,0,0.395387,-0.511024,0,0.205772,0.775512,0,-0.140797,-1,0,1.21272,1,0.120721,-0.376759,-1,0,0.99943,1.29847,1.30043
6.7,-0.592398,-0.278251,0,0.391235,-0.455388,0,0.224747,0.733444,0,0.0810457,-1,0,0.363599,1,0.00158982,-1.20359,-1,0.121116,0.999456,1.30048,1.20143
6.8,-0.608556,-0.291539,0,0.385031,-0.39991,0,0.243058,0.691327,0,0.0192498,-1,0,0.36143,1,0,-1.20534,-1,0.120351,0.99948,1.30049,1.10143
6.9,-0.622101,-0.304979,0,0.37663,-0.344297,0,0.261263,0.649464,0,-0.0463534,-1,0,0.371664,-1,0,-1.21953,-1,0.121137,0.999504,1.3005,1.00144
7,-0.596658,-0.260644,0,0.397588,-0.363235,0,0.219062,0.620148,0,0.307963,-1,0,-1.24174,-1,0.12575,0.307911,-1,0.000847908,0.999524,1.2015,0.999456
7.1,-0.56997,-0.217214,0,0.416158,-0.38043,0,0.177803,0.590208,0,0.256757,-1,0,-1.2154,-1,0.122726,0.256694,-1,0,0.999543,1.1015,0.999474
7.2,-0.542316,-0.174678,0,0.432528,-0.395587,0,0.13751,0.559373,0,0.214992,-1,0,-1.20196,-1,0.120762,0.214914,1,0,0.999561,1.0015,0.999492
7.3,-0.520778,-0.167678,0,0.439262,-0.446031,0,0.114123,0.604287,0,-0.25536,-1,0,-0.2553,-1,0.00141642,1.21481,1,0.120949,0.999578,0.999514,1.09849
7.4,-0.496663,-0.160216,0,0.444591,-0.496721,0,0.0898812,0.649125,0,-0.306199,-1,0,-0.30615,-1,0,1.2407,1,0.122672,0.999597,0.999533,1.19849
7.5,-0.469326,-0.151756,0,0.448462,-0.547862,0,0.0641817,0.693511,0,-0.370472,-1,0,-0.370432,1,0,1.28258,1,0.126032,0.999617,0.999553,1.29849
7.6,-0.500682,-0.19817,0,0.442127,-0.530424,0,0.098424,0.723835,0,-0.0175047,-1,0,1.20552,1,0.120789,-0.361443,1,0.000911939,0.999641,1.09855,1.3005
7.7,-0.530288,-0.245499,0,0.433343,-0.511482,0,0.133136,0.753901,0,-0.0793379,-1,0,1.20343,1,0.12035,-0.363264,1,0,0.999665,1.19856,1.30051
7.8,-0.557917,-0.293714,0,0.422021,-0.491456,0,0.168212,0.784052,0,-0.140837,-1,0,1.21266,1,0.120716,-0.376655,-1,0,0.99969,1.29856,1.30052
7.9,-0.576421,-0.308295,0,0.415092,-0.436101,0,0.189268,0.742984,0,0.0811168,-1,0,0.363487,1,0.00158966,-1.20353,-1,0.12111,0.999715,1.30056,1.20152
8,-0.591896,-0.322369,0,0.406123,-0.381007,0,0.209665,0.701833,0,0.0193559,-1,0,0.3613,1,0,-1.20527,-1,0.120345,0.999739,1.30057,1.10152
8.1,-0.604754,-0.336463,0,0.394954,-0.325887,0,0.229941,0.660929,0,-0.0462044,-1,0,0.371504,-1,0,-1.21944,-1,0.12113,0.999763,1.30058,1.00152
8.2,-0.581557,-0.290916,0,0.41683,-0.343747,0,0.189256,0.629539,0,0.307958,-1,0,-1.24168,-1,0.125743,0.307772,-1,0.000847978,0.999784,1.20158,0.999538
8.3,-0.557072,-0.24621,0,0.436236,-0.359987,0,0.149543,0.597573,0,0.25679,-1,0,-1.21536,-1,0.122721,0.256562,-1,0,0.999803,1.10158,0.999556
8.4,-0.531578,-0.202349,0,0.453344,-0.374301,0,0.110838,0.564762,0,0.215058,-1,0,-1.20192,-1,0.120758,0.21478,1,0,0.99982,1.00158,0.999574
8.5,-0.510418,-0.194288,0,0.462593,-0.424342,0,0.0852337,0.608452,0,-0.255394,-1,0,-0.255169,-1,0.00141624,1.21476,1,0.120945,0.999838,0.999596,1.09857
