Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2
0,-0.577353,0,0,0.288677,-0.5,0,0.288677,0.5,0,0,-1,0,0,-1,0,0,1,0,1,1,1
0.1,-0.554285,-2.08167e-20,0,0.279709,-0.55,0,0.279709,0.55,0,-0.255829,-1,0.00120172,-0.255829,-1,0.00120172,1.2151,1,0.121185,0.999022,0.999022,1.099
0.2,-0.529005,-7.63278e-20,0,0.269795,-0.6,0,0.269795,0.6,0,-0.306826,-1,0,-0.306826,-1,0,1.24115,1,0.122708,0.99904,0.99904,1.199
0.3,-0.500346,2.08167e-20,0,0.258352,-0.65,0,0.258352,0.65,0,-0.37133,1,0,-0.37133,-1,0,1.28326,1,0.126088,0.999061,0.999061,1.299
0.4,-0.544051,0.0350736,0,0.30001,-0.668843,0,0.2575,0.631469,0,1.2058,1,0.120825,-0.0164523,-1,0,-0.362099,1,0.000911721,1.09806,0.999085,1.30101
0.5,-0.586348,0.0715413,0,0.342039,-0.687306,0,0.254748,0.610777,0,1.20357,1,0.12037,-0.0784271,-1,0,-0.363725,1,0,1.19806,0.999109,1.30101
0.6,-0.627014,0.109441,0,0.38444,-0.705745,0,0.24989,0.588302,0,1.21268,1,0.120723,-0.14002,-1,0,-0.376953,-1,0,1.29806,0.999133,1.30102
0.7,-0.649028,0.117899,0,0.392419,-0.660288,0,0.259651,0.533375,0,0.363672,1,0.00158998,0.0816421,-1,0,-1.20367,-1,0.12113,1.30007,0.999159,1.20202
0.8,-0.667996,0.126768,0,0.399743,-0.614946,0,0.267385,0.478093,0,0.361388,1,0,0.0198461,-1,0,-1.20531,-1,0.120353,1.30008,0.999183,1.10202
0.9,-0.684467,0.136431,0,0.407024,-0.569878,0,0.273023,0.422138,0,0.3715,-1,0,-0.0457225,-1,0,-1.21939,-1,0.121129,1.30009,0.999207,1.00203
1,-0.649,0.0998705,0,0.358954,-0.551464,0,0.288692,0.445108,0,-1.24179,-1,0.125385,0.308018,-1,0,0.30788,-1,0.00169633,1.20109,0.999227,0.999045
1.1,-0.612397,0.0643955,0,0.311569,-0.532661,0,0.302434,0.466362,0,-1.21545,-1,0.122731,0.256802,-1,0,0.256634,-1,0,1.10109,0.999246,0.999064
1.2,-0.575081,0.0300256,0,0.264899,-0.512752,0,0.314548,0.485095,0,-1.20202,-1,0.120767,0.215035,-1,0,0.214829,1,0,1.00109,0.999263,0.999082
1.3,-0.552481,0.0285754,0,0.253349,-0.562057,0,0.308596,0.535635,0,-0.25524,-1,0.00141639,-0.255405,-1,0,1.21486,1,0.120954,0.999104,0.999281,1.09808
1.4,-0.527269,0.0273133,0,0.240952,-0.6115,0,0.301221,0.586066,0,-0.306118,-1,0,-0.306253,-1,0,1.24075,1,0.122677,0.999122,0.9993,1.19808
1.5,-0.498687,0.0258811,0,0.22703,-0.660866,0,0.292322,0.636574,0,-0.370438,-1,0,-0.370549,1,0,1.28265,1,0.126038,0.999143,0.99932,1.29808
1.6,-0.544071,-0.00695244,0,0.227069,-0.642309,0,0.33489,0.653301,0,-0.0174927,-1,0,1.20561,1,0.120798,-0.361548,1,0.000911891,0.999167,1.09832,1.30009
1.7,-0.588125,-0.0412478,0,0.225321,-0.621497,0,0.377811,0.669626,0,-0.0793694,-1,0,1.20352,1,0.120358,-0.363371,1,0,0.999191,1.19832,1.3001
1.8,-0.630624,-0.0770544,0,0.221561,-0.598795,0,0.421104,0.685906,0,-0.140914,-1,0,1.21277,1,0.120725,-0.376778,-1,0,0.999216,1.29832,1.30011
1.9,-0.653005,-0.0844069,0,0.234053,-0.54442,0,0.42678,0.64011,0,0.0808959,-1,0,0.363642,1,0.00158989,-1.20362,-1,0.121118,0.999241,1.30033,1.20111
2,-0.672367,-0.092324,0,0.244538,-0.489587,0,0.43181,0.594462,0,0.019073,-1,0,0.361504,1,0,-1.2054,-1,0.120355,0.999265,1.30034,1.10111
2.1,-0.689276,-0.10116,0,0.252963,-0.433974,0,0.436812,0.549089,0,-0.0465694,-1,0,0.371781,-1,0,-1.21964,-1,0.121146,0.999289,1.30035,1.00111
2.2,-0.651858,-0.066336,0,0.267386,-0.458269,0,0.387825,0.533573,0,0.308109,-1,0,-1.24184,-1,0.125762,0.307971,-1,0.000847896,0.99931,1.20135,0.999128
2.3,-0.613517,-0.032746,0,0.280043,-0.480192,0,0.339552,0.517181,0,0.256879,-1,0,-1.21547,-1,0.122735,0.256711,-1,0,0.999328,1.10135,0.999146
2.4,-0.574519,-0.000295857,0,0.291201,-0.499515,0,0.291938,0.499648,0,0.215102,-1,0,-1.20201,-1,0.120768,0.214896,1,0,0.999346,1.00135,0.999164
2.5,-0.551878,2.01431e-05,0,0.282712,-0.549695,0,0.282887,0.549469,0,-0.255273,-1,0,-0.255273,-1,0.00141645,1.21481,1,0.12095,0.999363,0.999363,1.09816
2.6,-0.526639,1.6113e-05,0,0.272807,-0.599693,0,0.272998,0.599471,0,-0.306115,-1,0,-0.306114,-1,0,1.24068,1,0.122671,0.999382,0.999382,1.19816
2.7,-0.498026,1.15465e-05,0,0.261376,-0.649692,0,0.261583,0.649472,0,-0.370389,1,0,-0.370389,-1,0,1.28256,1,0.12603,0.999403,0.999402,1.29816
2.8,-0.541696,0.0350854,0,0.303052,-0.668541,0,0.260682,0.630939,0,1.20554,1,0.12079,-0.0175999,-1,0,-0.361417,1,0.000911958,1.0984,0.999426,1.30017
2.9,-0.583966,0.0715516,0,0.3451,-0.687005,0,0.257884,0.610245,0,1.20346,1,0.120352,-0.0794414,-1,0,-0.363259,1,0,1.1984,0.99945,1.30018
3,-0.624607,0.109448,0,0.387522,-0.705443,0,0.252982,0.587765,0,1.21271,1,0.12072,-0.140955,-1,0,-0.376674,-1,0,1.2984,0.999475,1.30019
3.1,-0.646589,0.117913,0,0.395498,-0.659988,0,0.26272,0.532833,0,0.36353,1,0.00158973,0.0809668,-1,0,-1.20357,-1,0.121113,1.30041,0.9995,1.20119
3.2,-0.665528,0.126789,0,0.40282,-0.614649,0,0.270431,0.477545,0,0.361374,1,0,0.0191788,-1,0,-1.20533,-1,0.120349,1.30042,0.999524,1.10119
3.3,-0.681972,0.136458,0,0.4101,-0.569582,0,0.276047,0.421583,0,0.371621,-1,0,-0.0464207,-1,0,-1.21955,-1,0.121138,1.30043,0.999548,1.00119
3.4,-0.646353,0.0998002,0,0.361953,-0.55162,0,0.291674,0.445116,0,-1.24177,-1,0.125754,0.308104,-1,0,0.307832,-1,0.000847966,1.20143,0.999569,0.99921
3.5,-0.609751,0.064328,0,0.314563,-0.532819,0,0.30542,0.466368,0,-1.21543,-1,0.122729,0.256911,-1,0,0.256579,-1,0,1.10143,0.999587,0.999228
3.6,-0.572437,0.0299604,0,0.267889,-0.512912,0,0.31754,0.4851,0,-1.20198,-1,0.120764,0.215169,-1,0,0.214762,1,0,1.00143,0.999605,0.999246
3.7,-0.549843,0.0285106,0,0.256341,-0.562216,0,0.311589,0.53564,0,-0.255142,-1,0.00141628,-0.255307,-1,0,1.21477,1,0.120946,0.999445,0.999623,1.09825
3.8,-0.524639,0.027249,0,0.243947,-0.61166,0,0.304216,0.586071,0,-0.305976,-1,0,-0.306111,-1,0,1.24062,1,0.122666,0.999464,0.999641,1.19825
3.9,-0.496067,0.0258175,0,0.230029,-0.661026,0,0.295321,0.636579,0,-0.370229,-1,0,-0.37034,1,0,1.28247,1,0.126022,0.999485,0.999662,1.29825
4,-0.541445,-0.00701525,0,0.230058,-0.642468,0,0.337893,0.653306,0,-0.0177301,-1,0,1.20551,1,0.120786,-0.361396,1,0.000911914,0.999508,1.09866,1.30025
4.1,-0.585494,-0.0413091,0,0.228302,-0.621656,0,0.380819,0.669629,0,-0.0795606,-1,0,1.20346,1,0.12035,-0.363261,1,0,0.999532,1.19866,1.30026
4.2,-0.627989,-0.0771135,0,0.224534,-0.598954,0,0.424116,0.685907,0,-0.14107,-1,0,1.21273,1,0.12072,-0.376697,-1,0,0.999557,1.29866,1.30027
4.3,-0.650365,-0.084465,0,0.237024,-0.544579,0,0.429792,0.64011,0,0.0808325,-1,0,0.363581,1,0.00158977,-1.20356,-1,0.121111,0.999583,1.30067,1.20127
4.4,-0.669723,-0.0923806,0,0.247508,-0.489747,0,0.434821,0.594462,0,0.0190368,-1,0,0.361453,1,0,-1.20534,-1,0.12035,0.999607,1.30068,1.10127
4.5,-0.68663,-0.101215,0,0.255933,-0.434136,0,0.439822,0.549087,0,-0.0465782,-1,0,0.371731,-1,0,-1.21958,-1,0.12114,0.999631,1.30069,1.00127
4.6,-0.649212,-0.0663942,0,0.270359,-0.45843,0,0.39083,0.533574,0,0.308195,-1,0,-1.24181,-1,0.12576,0.307923,-1,0.000847887,0.999651,1.20169,0.999292
4.7,-0.610873,-0.0328072,0,0.28302,-0.480351,0,0.342553,0.517185,0,0.256988,-1,0,-1.21545,-1,0.122732,0.256656,-1,0,0.99967,1.10169,0.999311
4.8,-0.571877,-0.000359475,0,0.294183,-0.499674,0,0.294935,0.499654,0,0.215236,-1,0,-1.20198,-1,0.120765,0.214829,1,0,0.999687,1.00169,0.999328
4.9,-0.549242,-4.38237e-05,0,0.285695,-0.549853,0,0.285886,0.549475,0,-0.255175,-1,0,-0.255175,-1,0.00141635,1.21472,1,0.120942,0.999705,0.999704,1.09833
5,-0.52401,-4.82245e-05,0,0.275792,-0.599852,0,0.276001,0.599476,0,-0.305973,-1,0,-0.305972,-1,0,1.24056,1,0.12266,0.999724,0.999723,1.19833
5.1,-0.495408,-5.32107e-05,0,0.264364,-0.64985,0,0.26459,0.649478,0,-0.37018,1,0,-0.37018,-1,0,1.28237,1,0.126014,0.999744,0.999744,1.29833
5.2,-0.539071,0.03502,0,0.306044,-0.668699,0,0.263679,0.630946,0,1.20544,1,0.120778,-0.0178371,-1,0,-0.361265,1,0.000911981,1.09875,0.999767,1.30034
5.3,-0.581335,0.0714847,0,0.348097,-0.687163,0,0.260873,0.610251,0,1.2034,1,0.120344,-0.0796324,-1,0,-0.363149,1,0,1.19875,0.999792,1.30034
5.4,-0.621974,0.109379,0,0.390523,-0.705599,0,0.255964,0.587772,0,1.21267,1,0.120715,-0.14111,-1,0,-0.376593,-1,0,1.29875,0.999816,1.30035
5.5,-0.64395,0.117843,0,0.398499,-0.660144,0,0.265699,0.53284,0,0.363469,1,0.00158961,0.0809033,-1,0,-1.2035,-1,0.121106,1.30075,0.999842,1.20135
5.6,-0.662885,0.126717,0,0.40582,-0.614803,0,0.273408,0.477553,0,0.361323,1,0,0.0191426,-1,0,-1.20528,-1,0.120343,1.30076,0.999866,1.10135
5.7,-0.679327,0.136384,0,0.4131,-0.569735,0,0.279024,0.421593,0,0.371571,-1,0,-0.0464297,-1,0,-1.21949,-1,0.121132,1.30077,0.99989,1.00135
5.8,-0.643708,0.0997301,0,0.364949,-0.551775,0,0.294654,0.445123,0,-1.24175,-1,0.125752,0.30819,-1,0,0.307784,-1,0.000847957,1.20177,0.99991,0.999374
5.9,-0.607108,0.0642605,0,0.317555,-0.532977,0,0.308404,0.466374,0,-1.2154,-1,0.122727,0.257021,-1,0,0.256525,-1,0,1.10177,0.999929,0.999393
6,-0.569795,0.0298951,0,0.270876,-0.513071,0,0.320528,0.485105,0,-1.20194,-1,0.120761,0.215302,-1,0,0.214695,1,0,1.00177,0.999946,0.99941
6.1,-0.547208,0.0284458,0,0.259331,-0.562376,0,0.314579,0.535645,0,-0.255044,-1,0.00141618,-0.255209,-1,0,1.21467,1,0.120938,0.999787,0.999964,1.09841
6.2,-0.522012,0.0271848,0,0.246939,-0.611819,0,0.307209,0.586076,0,-0.305834,-1,0,-0.305969,-1,0,1.24049,1,0.122655,0.999805,0.999982,1.19841
6.3,-0.492985,0.0260711,0,0.23302,-0.661366,0,0.297886,0.636424,0,-0.370814,-1,0,-0.370299,1,0.00157614,1.28268,1,0.126373,0.999827,0.999003,1.29841
6.4,-0.538373,-0.00674688,0,0.233058,-0.642825,0,0.34046,0.653149,0,-0.0173364,-1,0,1.20549,1,0.120788,-0.361285,1,0.000912165,0.99985,1.098,1.30042
6.5,-0.582432,-0.0410247,0,0.231313,-0.622031,0,0.383388,0.669472,0,-0.079141,-1,0,1.20336,1,0.120344,-0.363074,1,0,0.999875,1.198,1.30043
6.6,-0.62494,-0.0768118,0,0.227559,-0.599349,0,0.426686,0.685749,0,-0.1406,-1,0,1.21254,1,0.120706,-0.376423,-1,0,0.999899,1.29801,1.30043
6.7,-0.647333,-0.0841335,0,0.240055,-0.544992,0,0.432369,0.639937,0,0.081589,-1,0,0.363169,1,0.0015893,-1.20346,-1,0.121106,0.999924,1.30001,1.20143
6.8,-0.666709,-0.0920167,0,0.250549,-0.490181,0,0.437402,0.594274,0,0.0199059,-1,0,0.360878,1,0,-1.20513,-1,0.120334,0.999949,1.30002,1.10143
6.9,-0.683635,-0.100816,0,0.258988,-0.434594,0,0.442405,0.548885,0,-0.0455433,-1,0,0.370951,-1,0,-1.21921,-1,0.121111,0.999973,1.30003,1.00144
7,-0.646204,-0.0660179,0,0.273395,-0.458857,0,0.393415,0.533366,0,0.30771,-1,0,-1.24146,-1,0.125716,0.307303,-1,0.000848302,0.999993,1.20103,0.999456
7.1,-0.607472,-0.0327275,0,0.285532,-0.480575,0,0.345282,0.517112,0,0.256432,-1,0.000908159,-1.21541,-1,0.122429,0.25686,-1,0,0.999012,1.10103,0.999475
7.2,-0.568457,-0.000280392,0,0.296665,-0.499903,0,0.297678,0.499588,0,0.214614,-1,0,-1.20199,-1,0.120764,0.215139,1,0,0.999029,1.00103,0.999492
7.3,-0.545796,2.93979e-05,0,0.288154,-0.550081,0,0.288633,0.549411,0,-0.255584,-1,0,-0.255583,-1,0.00141667,1.21499,1,0.120964,0.999047,0.999046,1.09849
7.4,-0.520534,1.83664e-05,0,0.278226,-0.600076,0,0.278749,0.599416,0,-0.30652,-1,0,-0.306519,-1,0,1.24096,1,0.122694,0.999065,0.999065,1.19849
7.5,-0.491895,5.86513e-06,0,0.26677,-0.650071,0,0.267337,0.649421,0,-0.370935,1,0,-0.370934,-1,0,1.28298,1,0.126064,0.999086,0.999085,1.29849
7.6,-0.535572,0.0350956,0,0.308429,-0.668933,0,0.266457,0.630889,0,1.20571,1,0.120813,-0.0169425,-1,0,-0.361813,1,0.000911833,1.09809,0.999109,1.3005
7.7,-0.577844,0.0715784,0,0.350459,-0.687411,0,0.263677,0.610197,0,1.20354,1,0.120365,-0.0788688,-1,0,-0.363532,1,0,1.19809,0.999133,1.30051
7.8,-0.618485,0.109492,0,0.392862,-0.705866,0,0.258792,0.587721,0,1.21272,1,0.120724,-0.140437,-1,0,-0.376844,-1,0,1.29809,0.999158,1.30052
7.9,-0.640482,0.117962,0,0.400856,-0.660413,0,0.268522,0.532787,0,0.363626,1,0.0015899,0.0813194,-1,0,-1.20364,-1,0.121124,1.3001,0.999183,1.20152
8,-0.659433,0.126842,0,0.408196,-0.615076,0,0.276225,0.477499,0,0.361404,1,0,0.0195153,-1,0,-1.20535,-1,0.120354,1.3001,0.999207,1.10152
8.1,-0.675888,0.136515,0,0.415493,-0.570011,0,0.281831,0.421538,0,0.371585,-1,0,-0.0460816,-1,0,-1.2195,-1,0.121136,1.30011,0.999231,1.00152
8.2,-0.640275,0.0998382,0,0.367366,-0.552027,0,0.297448,0.445063,0,-1.24166,-1,0.12574,0.307675,-1,0,0.307892,-1,0.000847955,1.20111,0.999252,0.999538
8.3,-0.603678,0.064347,0,0.319997,-0.533207,0,0.311181,0.466311,0,-1.21536,-1,0.122721,0.256465,-1,0,0.256729,-1,0,1.10111,0.999271,0.999557
8.4,-0.566365,0.0299609,0,0.273343,-0.513283,0,0.323285,0.485042,0,-1.20195,-1,0.12076,0.214681,-1,0,0.215005,1,0,1.00111,0.999288,0.999574
8.5,-0.543752,0.0285038,0,0.261775,-0.562585,0,0.317341,0.535585,0,-0.255452,-1,0.0014165,-0.255617,-1,0,1.21494,1,0.12096,0.999129,0.999306,1.09857
