Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,sphere_pos_3_x,sphere_pos_3_y,sphere_pos_3_z,sphere_pos_4_x,sphere_pos_4_y,sphere_pos_4_z,sphere_pos_5_x,sphere_pos_5_y,sphere_pos_5_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_force_3,input_action_3,arm_energy_consumption_3,arm_force_4,input_action_4,arm_energy_consumption_4,arm_force_5,input_action_5,arm_energy_consumption_5,arm_force_6,input_action_6,arm_energy_consumption_6,arm_force_7,input_action_7,arm_energy_consumption_7,arm_force_8,input_action_8,arm_energy_consumption_8,arm_length_0,arm_length_1,arm_length_2,arm_length_3,arm_length_4,arm_length_5,arm_length_6,arm_length_7,arm_length_8
0,-1.1547,0,0,-0.288672,-0.5,0,-0.288672,0.5,0,0.577348,-1,0,0.577348,0,0,0.577348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
0.1,-1.15073,-0.0267452,0,-0.272898,-0.505734,0,-0.296993,0.493978,0,0.542744,-1.08436,0,0.580826,0.0149886,0,0.611258,1.11457,0,-0.549695,0,0,0.509069,0,0,-0.112261,0,0,-0.8626,0,0,-0.0608712,0,0,0.137366,0,0,0.726496,1,0.0796423,1.88089,1,0.188164,2.21257,1,0.217324,1.00001,1.00001,1,1.00004,0.999998,0.999998,1.09903,1.099,1.09901
0.2,-1.14321,-0.0548156,0,-0.253799,-0.511947,0,-0.302615,0.486867,0,0.501676,-1.16726,0,0.586786,0.0297356,0,0.640819,1.22852,0,-0.609703,0,0,0.511074,0,0,-0.20658,0,0,-1.00391,0,0,-0.155104,0,0,0.210269,0,0,0.600234,1,0.0661646,1.90036,1,0.188891,2.31773,1,0.226283,1.00001,1.00001,1.00001,1.00009,1,1,1.19905,1.19901,1.19901
0.3,-1.13189,-0.0845914,0,-0.231082,-0.518832,0,-0.305422,0.47841,0,0.453376,-1.24808,0,0.59538,0.044169,0,0.666164,1.34225,0,-0.682584,0,0,0.522661,0,0,-0.318795,0,0,-1.18648,0,0,-0.284708,0,0,0.279686,0,0,0.48222,1,0.0540323,1.9391,1,0.191846,2.46332,1,0.238727,1.00001,1.00001,1.00001,1.00014,1,1,1.29907,1.29901,1.29902
0.4,-1.11638,-0.116524,0,-0.204304,-0.526596,0,-0.305204,0.468313,0,0.396876,-1.32596,0,0.606857,0.0582402,0,0.687197,1.45594,0,-0.772422,0,0,0.545755,0,0,-0.457472,0,0,-1.4314,0,0,-0.469508,0,0,0.35524,0,0,0.363856,1,0.0422825,1.99509,1,0.196592,2.6683,1,0.256075,1.00002,1.00002,1.00001,1.0002,1.00001,1.00001,1.3991,1.39901,1.39903
0.5,-1.09606,-0.151216,0,-0.172816,-0.535492,0,-0.301641,0.456192,0,0.330865,-1.39969,0,0.62159,0.0719155,0,0.703593,1.56968,0,-0.886322,0,0,0.58442,0,0,-0.636599,0,0,-1.77739,0,0,-0.745111,0,0,0.448205,0,0,0.236025,1,0.0300543,2.07047,1,0.203133,2.96854,1,0.280975,1.00002,1.00002,1.00002,1.00027,1.00001,1.00001,1.49912,1.49901,1.49905
0.6,-1.07001,-0.189552,0,-0.135622,-0.54587,0,-0.294235,0.441493,0,0.25344,-1.46746,0,0.640147,0.0851741,0,0.714725,1.68344,0,-1.03743,0,0,0.646686,0,0,-0.881725,0,0,-2.30287,0,0,-1.18385,0,0,0.576209,0,0,0.0854062,1,0.0162637,2.17309,1,0.211947,3.43809,1,0.318665,1.00003,1.00003,1.00002,1.00035,1.00002,1.00002,1.59914,1.59901,1.59907
0.7,-1.03672,-0.232983,0,-0.0910732,-0.558282,0,-0.282175,0.423316,0,0.161574,-1.52631,0,0.663459,0.0980154,0,0.719451,1.7971,0,-1.25322,0,0,0.749832,0,0,-1.24643,0,0,-3.19286,0,0,-1.95832,0,0,0.774181,0,0,-0.113484,1,0.00497332,2.32261,1,0.224329,4.25366,1,0.380819,1.00003,1.00003,1.00003,1.00045,1.00002,1.00002,1.69916,1.69901,1.69909
0.8,-0.993258,-0.284283,0,-0.036031,-0.573753,0,-0.263953,0.399961,0,0.0497008,-1.57067,0,0.693264,0.110489,0,0.715512,1.91036,0,-1.60426,0,0,0.939229,0,0,-1.86978,0,0,-5.00816,0,0,-3.59889,0,0,1.13169,0,0,-0.424697,1,0.0256296,2.5733,1,0.243645,5.95609,1,0.499308,1.00004,1.00004,1.00003,1.0006,1.00003,1.00003,1.79919,1.79901,1.79913
0.9,-0.9324,-0.350465,0,0.0373406,-0.594804,0,-0.235922,0.367182,0,-0.0956498,-1.58677,0,0.733808,0.12284,0,0.697209,2.02251,0,-2.36624,1,0,1.39587,-1,0,-3.30075,-1,0,-10.5683,-1,0,-8.81456,-1,0,2.00474,0,0,-1.09842,0,0.0708904,3.14426,0,0.281218,11.2908,0,0.802733,1.00005,1.00005,1.00004,1.00084,1.00004,1.00004,1.89922,1.89902,1.8992
