Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,-1,0,0,1,0,0,-1,0,1,1,1,1,0,0
0.1,0.616216,0.0327659,0,-0.277164,0.480022,0,-0.336487,-0.517233,0,-0.255874,0.588894,0.00120179,1.2151,1,0.121185,-0.255814,-1,0.00120171,0.999082,1.09906,0.999018,0.998455,0.0555685,0
0.2,0.676761,0.0484417,0,-0.293539,0.47017,0,-0.377251,-0.525338,0,0.394034,0.625182,0.0247177,1.04414,1,0.105343,-0.312705,-1,0,1.0574,1.19907,0.999021,0.997191,0.0749017,0
0.3,0.737324,0.0637046,0,-0.310675,0.460261,0,-0.417715,-0.533011,0,0.392228,0.463403,0.0258829,1.01811,1,0.102481,-0.2981,-1,0,1.11989,1.29907,0.999024,0.995898,0.0904832,0
0.4,0.79089,0.0840217,0,-0.318323,0.446283,0,-0.461188,-0.542479,0,0.155207,0.301479,0.00815451,1.0799,1,0.107769,-0.297713,-1,0,1.16641,1.39907,0.99903,0.993797,0.11121,0
0.5,0.837817,0.109351,0,-0.316164,0.427487,0,-0.508137,-0.552937,0,-0.0903445,0.573848,0.00198945,1.16957,1,0.115724,-0.334,-0.927242,0,1.19673,1.49907,0.999042,0.990657,0.136378,0
0.6,0.893656,0.128559,0,-0.328071,0.413105,0,-0.550244,-0.560925,0,0.210595,1,0.013148,1.04842,1,0.104535,-0.309871,-0.677918,0,1.25385,1.59907,0.999047,0.988657,0.150188,0
0.7,0.963678,0.137802,0,-0.363568,0.407802,0,-0.583545,-0.566726,0,0.732872,1,0.0741936,0.807977,1,0.0817357,-0.218897,-0.627952,0,1.35343,1.69908,0.999047,0.988766,0.14947,0
0.8,1.03305,0.147159,0,-0.398813,0.402396,0,-0.616884,-0.57256,0,0.717604,1,0.0724892,0.791715,1,0.0799525,-0.202743,-0.819291,0,1.45343,1.79908,0.999047,0.988832,0.149035,0
0.9,1.10189,0.156607,0,-0.433862,0.396908,0,-0.650264,-0.57842,0,0.705159,1,0.0711115,0.777985,0.792899,0.0784596,-0.188976,-1,0,1.55344,1.89908,0.999047,0.988868,0.148793,0
1,1.13671,0.135791,0,-0.49378,0.416282,0,-0.625803,-0.57404,0,1.27131,1,0.128791,-0.55731,0.230354,0,0.122079,-1,0,1.65344,1.90008,0.999084,0.992089,0.125536,0
1.1,1.17201,0.115376,0,-0.553647,0.431884,0,-0.601672,-0.56608,0,1.25388,1,0.126104,-0.532061,-0.635746,0,0.0331751,-1,0,1.75344,1.90008,0.999119,0.994606,0.103728,0
1.2,1.18691,0.0780455,0,-0.629403,0.452194,0,-0.541365,-0.543132,0,1.58482,1,0.158274,-1.31373,-1,0.0842542,-0.055366,-1,0,1.85345,1.83715,0.999212,0.99758,0.0695233,0
1.3,1.17136,0.0429293,0,-0.682016,0.463307,0,-0.473439,-0.513978,0,0.53491,1,0.0821173,-1.25552,-1,0.149188,-0.0470775,-1,0,1.90045,1.73752,0.999295,0.999239,0.0389993,0
1.4,1.13951,0.0175304,0,-0.707014,0.467035,0,-0.41659,-0.489164,0,0.56323,1,0,-1.27583,-1,0.126426,-0.137446,-1,0,1.90045,1.63752,0.999331,0.999859,0.0168052,0
1.5,1.10821,-0.00824015,0,-0.731822,0.467165,0,-0.360231,-0.460551,0,0.613624,1,0,-1.317,-1,0.129461,-0.241343,-1,0,1.90045,1.53752,0.999368,0.999976,-0.00698032,0
1.6,1.07747,-0.0346902,0,-0.756505,0.463567,0,-0.304259,-0.427662,0,0.694629,1,0,-1.38757,-1,0.134965,-0.369101,-0.945777,0,1.90045,1.43753,0.999407,0.999464,-0.0327232,0
1.7,1.04729,-0.0622538,0,-0.78115,0.455956,0,-0.248501,-0.389731,0,0.823555,1,0,-1.50492,-1,0.144181,-0.539385,-0.155239,0,1.90046,1.33753,0.99945,0.998142,-0.0609361,0
1.8,1.01758,-0.0916162,0,-0.805903,0.443787,0,-0.192632,-0.345451,0,1.0391,1,0,-1.70789,-1,0.159758,-0.791946,0.555809,0,1.90046,1.23754,0.999498,0.99572,-0.0924165,0
1.9,0.983175,-0.110978,0,-0.831391,0.453911,0,-0.131027,-0.335221,0,0.536934,1,0,-1.31472,-1,0.129018,0.0578946,1,0.00555434,1.90046,1.13754,1.05455,0.993304,-0.115531,0
2,0.944681,-0.119629,0,-0.85763,0.483229,0,-0.0644427,-0.356488,0,-0.0280831,-1,0,-0.874689,-0.114912,0.087944,0.887976,1,0.0881445,1.90046,1.03755,1.15411,0.991632,-0.129093,0
2.1,0.887056,-0.0614922,0,-0.813569,0.529736,0,-0.0536018,-0.469222,0,-2.19511,-1,0.255248,0.937989,1,0.0155593,2.10459,1,0.244343,1.80146,1.02534,1.25418,0.997595,-0.0693065,0
2.2,0.853529,0.0204375,0,-0.754676,0.572938,0,-0.0827102,-0.604038,0,-2.14174,-1,0.246665,1.67549,1,0.201903,1.81094,-1,0.213791,1.70147,1.12439,1.35429,0.9996,0.028276,0
2.3,0.855002,0.0767894,0,-0.681814,0.523721,0,-0.155719,-0.616059,0,-1.23915,0.931973,0.121775,1.4979,1,0.147082,-0.780218,-1,0.0713397,1.60148,1.2244,1.25634,0.995373,0.0960849,0
2.4,0.941018,0.0817767,0,-0.706298,0.47544,0,-0.213396,-0.569478,0,1.13672,1,0.107907,0.691309,1,0.0751446,-1.43877,-1,0.146344,1.69277,1.32444,1.15634,0.9958,0.091554,0
2.5,1.02552,0.0825939,0,-0.734745,0.427399,0,-0.266984,-0.518615,0,1.21549,1,0.121776,0.537384,-1,0.0597592,-1.44283,-1,0.145106,1.79272,1.42449,1.05634,0.996491,0.083696,0
2.6,1.0456,0.0215338,0,-0.812374,0.38774,0,-0.208256,-0.408557,0,2.45191,1,0.242957,-2.33406,-1,0.221426,-1.27793,-0.580905,0.114324,1.89272,1.32656,0.999522,0.999789,0.0205253,0
2.7,1.02136,-0.012412,0,-0.840032,0.37222,0,-0.155121,-0.355834,0,1.07193,1,0.0173726,-1.73923,-1,0.167947,-0.828673,0.51768,0,1.90072,1.22658,0.999582,0.999908,-0.013564,0
2.8,0.989197,-0.0353812,0,-0.866079,0.377755,0,-0.0951763,-0.337155,0,0.609317,1,0,-1.37633,-1,0.134171,-0.0458718,1,0.00136062,1.90072,1.12658,1.05086,0.999283,-0.0378558,0
2.9,0.95178,-0.0466799,0,-0.894701,0.404158,0,-0.0270733,-0.352742,0,-0.0293774,0.363907,0,-0.869011,-1,0.0873559,0.882898,1,0.0876346,1.90072,1.02659,1.15038,0.99869,-0.051175,0
3,0.932142,-0.0299838,0,-0.909037,0.442049,0,0.00753614,-0.409936,0,-1.00453,-1,0,0.752895,0.316424,0.0225733,1.67494,1,0.154933,1.90072,0.999629,1.25039,0.999446,-0.0332745,0
3.1,0.876822,0.0349757,0,-0.865063,0.491534,0,0.015999,-0.533266,0,-2.21966,-1,0.258576,1.22444,1,0.051923,2.05656,1,0.240744,1.80172,1.03114,1.35047,0.999081,0.0428708,0
