Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,1,0,0,1,0,0,-1,0,1,1,1,1,0,0
0.1,0.654512,-3.88578e-19,0,-0.32553,0.4995,0,-0.32553,-0.4995,0,0.92014,1,0.0953674,0.92014,1,0.0953674,-0.364919,-1,0.00163016,1.09899,1.09899,0.999,1,-5.93389e-19,0
0.2,0.729738,-5.55112e-20,0,-0.361365,0.4995,0,-0.361365,-0.4995,0,0.872049,1,0.08946,0.872049,1,0.08946,-0.319094,-1,0,1.199,1.199,0.999,1,-7.60352e-20,0
0.3,0.80343,-4.71845e-19,0,-0.396789,0.4995,0,-0.396789,-0.4995,0,0.836191,-1,0.0853123,0.836191,1,0.0853123,-0.284306,-1,0,1.29901,1.29901,0.999,1,-5.89698e-19,0
0.4,0.804132,-0.0576444,0,-0.467678,0.527637,0,-0.325947,-0.46136,0,-1.61933,-1,0.159605,1.66338,1,0.161818,-0.28796,-1,0,1.20103,1.39902,0.9991,0.99742,-0.0717934,0
0.5,0.80598,-0.117198,0,-0.539465,0.546015,0,-0.253967,-0.41154,0,-1.78267,-1,0.168743,1.86852,1,0.175293,-0.650943,-1,0,1.10106,1.49902,0.999209,0.989509,-0.144473,0
0.6,0.807937,-0.181481,0,-0.61323,0.553619,0,-0.178518,-0.346216,0,-2.22331,-1,0.196938,2.34544,1,0.207412,-1.24975,1,0,1.00111,1.59903,0.999337,0.973068,-0.23052,0
0.7,0.833494,-0.202656,0,-0.664164,0.601782,0,-0.151396,-0.370652,0,-0.219462,-1,0.00172104,0.833452,1,0.0851116,0.708814,1,0.0714764,0.999116,1.69903,1.09835,0.968955,-0.247237,0
0.8,0.859506,-0.22368,0,-0.714688,0.64926,0,-0.124811,-0.395003,0,-0.202816,-1,0,0.815934,1,0.0824339,0.690877,1,0.0699376,0.999116,1.79903,1.19835,0.964941,-0.262467,0
0.9,0.885618,-0.244815,0,-0.765046,0.69616,0,-0.0981936,-0.419021,0,-0.188784,-1,0,0.801192,1,0.0808289,0.676837,1,0.0683511,0.999116,1.89903,1.29835,0.960159,-0.279456,0
1,0.875023,-0.220695,0,-0.765835,0.737277,0,-0.0880057,-0.486961,0,0.428783,-1,0,-0.737665,1,0,1.42625,1,0.149126,0.99916,1.90003,1.39836,0.966202,-0.257787,0
1.1,0.861439,-0.199503,0,-0.767953,0.777847,0,-0.0738314,-0.551172,0,0.287323,-1,0,-0.640737,1,0,1.34023,1,0.137921,0.999201,1.90003,1.49837,0.970997,-0.239091,0
1.2,0.845056,-0.180907,0,-0.771058,0.818251,0,-0.0561866,-0.612462,0,0.17564,-1,0,-0.579763,-1,0,1.28896,1,0.131203,0.999238,1.90004,1.59837,0.97551,-0.219954,0
1.3,0.780854,-0.126961,0,-0.731966,0.848498,0,-0.0364762,-0.702049,0,0.169619,-1,0,-1.77499,-1,0.18404,1.75315,1,0.179772,0.999376,1.80104,1.69838,0.985107,-0.171942,0
1.4,0.707127,-0.082199,0,-0.694723,0.879557,0,-0.00580844,-0.782731,0,-0.160647,-1,0,-1.75198,-1,0.175307,1.77269,1,0.175272,0.99951,1.70105,1.79839,0.991775,-0.127995,0
1.5,0.622717,-0.0466204,0,-0.657967,0.912568,0,0.0355811,-0.855675,0,-0.529764,-1,0,-1.86414,-1,0.17956,1.92676,-1,0.183758,0.999648,1.60106,1.89839,0.996785,-0.0801208,0
1.6,0.602181,-0.0178364,0,-0.616583,0.856696,0,0.0162332,-0.827752,0,0.201483,-1,0,-0.7216,-1,0.0715386,-0.785809,-1,0.0779018,0.999649,1.50106,1.8004,0.999377,-0.0352906,0
1.7,0.581476,0.0110316,0,-0.574785,0.800495,0,-0.00311659,-0.799863,0,0.217345,-1,0,-0.73643,-1,0.0728836,-0.801616,-1,0.079356,0.999649,1.40107,1.7004,0.999914,0.0130841,0
1.8,0.560554,0.0400105,0,-0.532484,0.743899,0,-0.0224767,-0.772008,0,0.236213,-1,0,-0.754804,-1,0.0745368,-0.820628,-1,0.081091,0.999649,1.30107,1.6004,0.997925,0.0643801,0
1.9,0.539352,0.0691374,0,-0.489558,0.686823,0,-0.0418607,-0.744184,0,0.259111,-1,0,-0.778009,-1,0.0766051,-0.843957,-1,0.083199,0.999649,1.20108,1.5004,0.992729,0.120368,0
2,0.517778,0.0984645,0,-0.445842,0.629151,0,-0.061291,-0.716384,0,0.287607,-1,0,-0.808016,-1,0.0792488,-0.873304,-1,0.0858183,0.999649,1.10109,1.40041,0.983636,0.180168,0
2.1,0.495701,0.128068,0,-0.4011,0.570725,0,-0.0808052,-0.688595,0,0.324243,1,0,-0.847976,-1,0.0827188,-0.911406,-1,0.0891661,0.999649,1.0011,1.30041,0.969257,0.246051,0
2.2,0.554582,0.180647,0,-0.391941,0.500751,0,-0.13999,-0.671911,0,1.5127,1,0.1542,0.131976,-1,0.000802398,-1.53488,-1,0.158189,1.09867,0.999185,1.20042,0.951793,0.306742,0
2.3,0.604958,0.23455,0,-0.375226,0.428923,0,-0.198628,-0.656239,0,1.53364,1,0.151569,-0.127345,-1,0,-1.51222,-1,0.151585,1.19869,0.99927,1.10044,0.933219,0.359308,0
