Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity__0,arm_extensile_velocity__1,arm_extensile_velocity__2,arm_length_0,arm_length_1,arm_length_2
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,0,0,1,0.9,-0.7,1,1,1
0.1,0.650646,0.00328103,0,-0.320725,0.497774,0,-0.326679,-0.501509,0,0.95192,0.802022,-0.349957,0.7,0.6,0.9,1.09899,1.08909,0.9993
0.2,0.637374,0.000306831,0,-0.318832,0.544477,0,-0.318854,-0.544825,0,-0.189281,-0.188814,1.06614,-0.9,-0.9,0.8,1.1007,1.1002,1.0884
0.3,0.563309,0.000275368,0,-0.284189,0.550093,0,-0.284217,-0.550408,0,-0.942317,-0.942231,0.450683,-0.7,-0.7,-1,1.01162,1.01112,1.1005
0.4,0.576777,4.37306e-05,0,-0.288842,0.500222,0,-0.288523,-0.500279,0,0.214797,0.215029,-1.20193,1,0.9,-0.7,0.999533,0.999738,1.0015
0.5,0.650442,0.00333461,0,-0.320575,0.497993,0,-0.326208,-0.501793,0,0.952279,0.802488,-0.350404,0.7,0.6,0.9,1.09854,1.08885,0.999802
0.6,0.637389,0.000188058,0,-0.318984,0.544792,0,-0.318289,-0.54501,0,-0.189065,-0.189357,1.06618,-0.9,-0.9,0.8,1.10025,1.10056,1.0889
0.7,0.563494,0.000161457,0,-0.284416,0.550004,0,-0.283711,-0.550199,0,-0.942081,-0.942135,0.450483,-0.7,-0.7,-1,1.01117,1.01148,1.1002
0.8,0.576956,0.000407423,0,-0.288685,0.499869,0,-0.288396,-0.500334,0,0.215037,0.214595,-1.20192,1,0.9,-0.7,0.999788,0.999398,1.0012
0.9,0.650614,0.00373868,0,-0.320418,0.497618,0,-0.326074,-0.501869,0,0.952241,0.802305,-0.350291,0.7,0.6,0.9,1.0988,1.08851,0.999503
1,0.637567,0.000573702,0,-0.318842,0.544427,0,-0.318147,-0.545077,0,-0.189268,-0.189,1.06617,-0.9,-0.9,0.8,1.10051,1.10022,1.0886
1.1,0.563493,0.000507432,0,-0.2842,0.550059,0,-0.283501,-0.550645,0,-0.942515,-0.942466,0.450918,-0.7,-0.7,-1,1.01143,1.01114,1.1007
1.2,0.57697,0.000277828,0,-0.288827,0.500189,0,-0.287839,-0.500515,0,0.214788,0.215257,-1.20197,1,0.9,-0.7,0.999343,0.999758,1.0017
1.3,0.65077,0.00360226,0,-0.320608,0.497597,0,-0.325579,-0.501695,0,0.952097,0.802312,-0.350154,0.7,0.6,0.9,1.09836,1.08887,0.999304
1.4,0.637726,0.000454324,0,-0.319049,0.544393,0,-0.317638,-0.544911,0,-0.188842,-0.189332,1.06617,-0.9,-0.9,0.8,1.10007,1.10058,1.08841
1.5,0.563657,0.000392995,0,-0.284417,0.55002,0,-0.282986,-0.550484,0,-0.942348,-0.942437,0.450797,-0.7,-0.7,-1,1.01098,1.0115,1.10051
