Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity_0,arm_extensile_velocity_1,arm_extensile_velocity_2,arm_length_0,arm_length_1,arm_length_2
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,0,0,1,1,-1,1,1,1
0.1,0.654512,-3.88578e-19,0,-0.32553,0.4995,0,-0.32553,-0.4995,0,0.92014,0.92014,-0.364919,1,1,-1,1.09899,1.09899,0.999
0.2,0.729738,-5.55112e-20,0,-0.361365,0.4995,0,-0.361365,-0.4995,0,0.872049,0.872049,-0.319094,1,1,-1,1.199,1.199,0.999
0.3,0.80343,-4.71845e-19,0,-0.396789,0.4995,0,-0.396789,-0.4995,0,0.836191,0.836191,-0.284306,1,1,-1,1.29901,1.29901,0.999
0.4,0.875949,8.32667e-20,0,-0.431929,0.4995,0,-0.431929,-0.4995,0,0.808503,0.808503,-0.256889,-1,1,-1,1.39902,1.39902,0.999
0.5,0.84004,-0.0274341,0,-0.451078,0.513936,0,-0.377766,-0.482397,0,-1.2118,0.402942,0.0623027,-1,1,-1,1.30102,1.40002,0.999027
0.6,0.804382,-0.0546319,0,-0.469803,0.525486,0,-0.324058,-0.462879,0,-1.21439,0.405672,-0.00545269,-1,1,-1,1.20102,1.40003,0.999053
0.7,0.769036,-0.0817879,0,-0.488173,0.53427,0,-0.270728,-0.44086,0,-1.23035,0.422396,-0.0782911,-1,1,-1,1.10102,1.40004,0.99908
0.8,0.734038,-0.109119,0,-0.506244,0.540353,0,-0.217675,-0.416173,0,-1.26322,0.456353,-0.161494,-1,1,1,1.00102,1.40004,0.999107
0.9,0.718447,-0.0979723,0,-0.503865,0.584729,0,-0.207291,-0.473612,0,0.0805669,-0.42315,1.23106,-1,1,1,0.999047,1.40005,1.09811
1,0.700816,-0.0878435,0,-0.501653,0.629243,0,-0.195082,-0.530016,0,0.00748689,-0.40595,1.21465,-1,1,1,0.999074,1.40005,1.19811
1.1,0.68071,-0.0789982,0,-0.499587,0.674037,0,-0.180601,-0.585304,0,-0.0603618,-0.402812,1.21169,-1,1,1,0.999101,1.40006,1.29811
1.2,0.657994,-0.0714482,0,-0.497473,0.71917,0,-0.163877,-0.639589,0,-0.127023,-0.412479,1.22078,1,-0.944,-1,0.999128,1.40006,1.39811
1.3,0.677876,-0.0108897,0,-0.44965,0.647545,0,-0.228497,-0.632638,0,1.46796,-0.966033,-1.04196,1,-0.944,-1,1.09813,1.30664,1.30014
1.4,0.696311,0.0516052,0,-0.398141,0.570771,0,-0.294429,-0.623925,0,1.58196,-1.10646,-1.17059,1,-0.944,-1,1.19813,1.21229,1.20019
1.5,0.71262,0.11704,0,-0.341463,0.486664,0,-0.362399,-0.61239,0,1.78077,-1.33208,-1.38646,1,-0.944,-1,1.29813,1.11795,1.10025
