Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity__0,arm_extensile_velocity__1,arm_extensile_velocity__2,arm_length_0,arm_length_1,arm_length_2
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,0,0,1,1,-1,1,1,1
0.1,0.654512,-3.88578e-19,0,-0.32553,0.4995,0,-0.32553,-0.4995,0,0.92014,0.92014,-0.364919,1,1,-1,1.09899,1.09899,0.999
0.2,0.729738,-5.55112e-20,0,-0.361365,0.4995,0,-0.361365,-0.4995,0,0.872049,0.872049,-0.319094,1,1,-1,1.199,1.199,0.999
0.3,0.80343,-4.71845e-19,0,-0.396789,0.4995,0,-0.396789,-0.4995,0,0.836191,0.836191,-0.284306,1,1,-1,1.29901,1.29901,0.999
0.4,0.875949,8.32667e-20,0,-0.431929,0.4995,0,-0.431929,-0.4995,0,0.808503,0.808503,-0.256889,1,1,-1,1.39902,1.39902,0.999
0.5,0.947544,2.77556e-20,0,-0.466868,0.4995,0,-0.466868,-0.4995,0,0.786532,0.786532,-0.234654,-1,1,-1,1.49902,1.49902,0.999
0.6,0.912082,-0.0264439,0,-0.48748,0.513285,0,-0.411457,-0.482847,0,-1.2204,0.435852,0.0470909,-1,1,-1,1.40102,1.50003,0.999029
0.7,0.876939,-0.052734,0,-0.507784,0.524014,0,-0.356476,-0.46352,0,-1.22423,0.442495,-0.0254935,-1,1,-1,1.30102,1.50003,0.999057
0.8,0.842173,-0.0790774,0,-0.527846,0.53179,0,-0.301845,-0.4414,0,-1.24242,0.464458,-0.104212,-1,1,-1,1.20102,1.50004,0.999086
0.9,0.807816,-0.10571,0,-0.547724,0.536655,0,-0.24746,-0.416274,0,-1.27894,0.505548,-0.19495,-1,1,-1,1.10103,1.50004,0.999116
1,0.773858,-0.13293,0,-0.567486,0.538584,0,-0.193151,-0.38779,0,-1.34189,0.573595,-0.307092,-1,-1,-1,1.00103,1.50004,0.999147
1.1,0.735768,-0.0969287,0,-0.516024,0.530082,0,-0.209318,-0.420854,0,0.458161,-1.34928,0.458221,-1,-1,-1,0.999056,1.40104,0.999173
1.2,0.69701,-0.0626578,0,-0.465371,0.519569,0,-0.223921,-0.450017,0,0.37272,-1.28427,0.372793,-1,-1,-1,0.999079,1.30104,0.999196
1.3,0.657434,-0.0300199,0,-0.415535,0.507423,0,-0.236767,-0.475673,0,0.307865,-1.24177,0.307954,-1,-1,-1,0.9991,1.20104,0.999217
1.4,0.617171,0.00124796,0,-0.366385,0.493908,0,-0.248097,-0.498302,0,0.256633,-1.21544,0.256741,-1,-1,-1,0.999119,1.10104,0.999236
1.5,0.576319,0.0313387,0,-0.317825,0.479217,0,-0.258083,-0.518249,0,0.214841,-1.20201,0.214974,-1,-1,1,0.999136,1.00104,0.999253
