Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity_0,arm_extensile_velocity_1,arm_extensile_velocity_2,arm_length_0,arm_length_1,arm_length_2
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,0,0,-1,-1,-1,1,1,1
0.1,0.577209,0,0,-0.28908,0.4995,0,-0.28908,-0.4995,0,0,0,0,-1,-1,-1,0.999978,0.999978,0.999
0.2,0.577209,0,0,-0.28908,0.4995,0,-0.28908,-0.4995,0,0,0,0,-1,-1,-1,0.999978,0.999978,0.999
0.3,0.577209,0,0,-0.28908,0.4995,0,-0.28908,-0.4995,0,0,0,0,-1,-1,-1,0.999978,0.999978,0.999
0.4,0.577209,0,0,-0.28908,0.4995,0,-0.28908,-0.4995,0,0,0,0,-1,-1,-1,0.999978,0.999978,0.999
0.5,0.577209,0,0,-0.28908,0.4995,0,-0.28908,-0.4995,0,0,0,0,-1,-1,-1,0.999978,0.999978,0.999
0.6,0.577209,0,0,-0.28908,0.4995,0,-0.28908,-0.4995,0,0,0,0,-1,-1,-1,0.999978,0.999978,0.999
0.7,0.577209,0,0,-0.28908,0.4995,0,-0.28908,-0.4995,0,0,0,0,-1,-1,-1,0.999978,0.999978,0.999
0.8,0.577209,0,0,-0.28908,0.4995,0,-0.28908,-0.4995,0,0,0,0,-1,-1,-1,0.999978,0.999978,0.999
0.9,0.577209,0,0,-0.28908,0.4995,0,-0.28908,-0.4995,0,0,0,0,1,-1,-1,0.999978,0.999978,0.999
1,0.616204,0.0324256,0,-0.277923,0.48023,0,-0.336697,-0.517057,0,1.21492,-0.256027,-0.255118,1,-1,-1,1.09898,0.999995,0.999017
1.1,0.654168,0.066298,0,-0.264787,0.458153,0,-0.385089,-0.533614,0,1.24115,-0.306815,-0.306832,1,-1,-1,1.19898,0.999014,0.999036
1.2,0.691751,0.101205,0,-0.25046,0.433333,0,-0.434112,-0.5487,0,1.28326,-0.371322,-0.371336,1,-1,-1,1.29898,0.999035,0.999057
1.3,0.728423,0.13769,0,-0.234176,0.405122,0,-0.484047,-0.562208,0,1.3477,-0.456207,-0.456219,1,-1,-1,1.39898,0.999058,0.99908
1.4,0.763975,0.176114,0,-0.215547,0.372848,0,-0.5351,-0.573777,0,1.44634,-0.573824,-0.573834,1,-1,-1,1.49898,0.999084,0.999106
1.5,0.798095,0.217022,0,-0.193974,0.335475,0,-0.587587,-0.582864,0,1.60357,-0.748862,-0.748869,1,-1,-1,1.59898,0.999115,0.999138
1.6,0.83026,0.261313,0,-0.168446,0.29125,0,-0.642028,-0.588566,0,1.87673,-1.03893,-1.03893,1,-1,-1,1.69898,0.999155,0.999177
1.7,0.85948,0.310708,0,-0.136989,0.236755,0,-0.699414,-0.589164,0,2.43852,-1.61689,-1.6169,1,-1,-1,1.79898,0.999209,0.999231
1.8,0.883238,0.369563,0,-0.0945164,0.163176,0,-0.762262,-0.580304,0,4.15342,-3.34739,-3.34739,1,1,-1,1.89898,0.999299,0.999321
1.9,0.922882,0.335502,0,-0.17083,0.224187,0,-0.729374,-0.604588,0,-1.72622,2.37606,1.52507,1,1,-1,1.90098,1.09836,0.999419
2,0.959252,0.308626,0,-0.239447,0.267961,0,-0.699977,-0.619103,0,-1.16753,1.83101,0.934013,1,1,-1,1.90098,1.19839,0.999485
2.1,0.994774,0.285516,0,-0.304526,0.301807,0,-0.672603,-0.627491,0,-0.895257,1.5717,0.626189,1,1,-1,1.90098,1.2984,0.999537
2.2,1.0302,0.264626,0,-0.367735,0.328783,0,-0.646499,-0.631142,0,-0.73852,1.42697,0.429919,1,1,-1,1.90098,1.39841,0.999581
2.3,1.06586,0.245157,0,-0.429855,0.350403,0,-0.621324,-0.630711,0,-0.641312,1.34067,0.288239,1,1,-1,1.90098,1.49841,0.999622
2.4,1.10189,0.226618,0,-0.491304,0.367532,0,-0.596892,-0.626536,0,-0.580142,1.28922,0.176435,1,1,-1,1.90098,1.59842,0.99966
2.5,1.13836,0.208668,0,-0.552328,0.380703,0,-0.573098,-0.618778,0,-0.543761,1.26134,0.0816618,1,1,-1,1.90099,1.69842,0.999696
2.6,1.17527,0.191041,0,-0.613084,0.390244,0,-0.549868,-0.607487,0,-0.526533,1.25139,-0.00387081,1,1,-1,1.90099,1.79842,0.999731
2.7,1.21262,0.173512,0,-0.673677,0.396348,0,-0.527148,-0.592622,0,-0.525905,1.25685,-0.0857155,-1,1,-1,1.90099,1.89842,0.999766
2.8,1.1824,0.14564,0,-0.70037,0.404079,0,-0.470743,-0.568997,0,-1.25127,0.526066,0.00735768,-1,1,-1,1.80199,1.90042,0.999802
2.9,1.15224,0.117982,0,-0.725898,0.408199,0,-0.415414,-0.542209,0,-1.26051,0.542528,-0.0778756,-1,1,-1,1.70199,1.90042,0.999838
3,1.1226,0.0901526,0,-0.75093,0.408779,0,-0.360892,-0.511883,0,-1.28751,0.577959,-0.172053,-1,1,-1,1.60199,1.90043,0.999874
3.1,1.09354,0.0618963,0,-0.77552,0.405755,0,-0.307125,-0.477665,0,-1.3377,0.637804,-0.282806,-1,1,-1,1.502,1.90043,0.999911
3.2,1.06512,0.0328721,0,-0.799723,0.398946,0,-0.254035,-0.438985,0,-1.42199,0.73293,-0.42262,-1,1,-1,1.402,1.90043,0.999952
3.3,1.03732,0.00257702,0,-0.823615,0.387988,0,-0.201476,-0.394914,0,-1.56304,0.885924,-0.615313,-1,1,-1,1.30201,1.90043,0.999996
3.4,1.0102,-0.0299961,0,-0.847297,0.371659,0,-0.149287,-0.3431,0,-1.81767,1.15365,-0.918798,-1,1,-1,1.20202,1.90043,0.999048
3.5,0.98328,-0.0661758,0,-0.871156,0.349407,0,-0.0964954,-0.281567,0,-2.34369,1.69325,-1.49087,-1,1,-1,1.10205,1.90043,0.999113
3.6,0.955759,-0.110516,0,-0.896036,0.316683,0,-0.04127,-0.200809,0,-3.94589,3.30926,-3.13679,-1,-1,-1,1.00211,1.90043,0.999209
