Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity__0,arm_extensile_velocity__1,arm_extensile_velocity__2,arm_length_0,arm_length_1,arm_length_2
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,0,0,1,0.9,-0.7,1,1,1
0.1,0.650646,0.00328103,0,-0.320725,0.497774,0,-0.326679,-0.501509,0,0.95192,0.802022,-0.349957,1,0.9,-0.7,1.09899,1.08909,0.9993
0.2,0.655141,0.000267005,0,-0.325934,0.499503,0,-0.325734,-0.499799,0,0,0,0,1,0.9,-0.7,1.10099,1.10079,0.999302
0.3,0.655141,0.000267005,0,-0.325934,0.499503,0,-0.325734,-0.499799,0,0,0,0,1,0.9,-0.7,1.10099,1.10079,0.999302
0.4,0.655141,0.000267005,0,-0.325934,0.499503,0,-0.325734,-0.499799,0,0,0,0,1,0.9,-0.7,1.10099,1.10079,0.999302
0.5,0.655141,0.000267005,0,-0.325934,0.499503,0,-0.325734,-0.499799,0,0,0,0,1,0.9,-0.7,1.10099,1.10079,0.999302
0.6,0.655141,0.000267005,0,-0.325934,0.499503,0,-0.325734,-0.499799,0,0,0,0,1,0.9,-0.7,1.10099,1.10079,0.999302
0.7,0.655141,0.000267005,0,-0.325934,0.499503,0,-0.325734,-0.499799,0,0,0,0,1,0.9,-0.7,1.10099,1.10079,0.999302
0.8,0.655141,0.000267005,0,-0.325934,0.499503,0,-0.325734,-0.499799,0,0,0,0,1,0.9,-0.7,1.10099,1.10079,0.999302
0.9,0.655141,0.000267005,0,-0.325934,0.499503,0,-0.325734,-0.499799,0,0,0,0,1,0.9,-0.7,1.10099,1.10079,0.999302
1,0.655141,0.000267005,0,-0.325934,0.499503,0,-0.325734,-0.499799,0,0,0,0,0.7,0.6,0.9,1.10099,1.10079,0.999302
1.1,0.637727,0.000256318,0,-0.319122,0.544508,0,-0.318896,-0.544794,0,-0.189006,-0.18882,1.06605,0.7,0.6,0.9,1.101,1.1008,1.0884
1.2,0.635509,0.000255028,0,-0.31825,0.549909,0,-0.31802,-0.550193,0,0,0,0,0.7,0.6,0.9,1.101,1.10081,1.1001
1.3,0.635509,0.000255028,0,-0.31825,0.549909,0,-0.31802,-0.550193,0,0,0,0,0.7,0.6,0.9,1.101,1.10081,1.1001
1.4,0.635509,0.000255028,0,-0.31825,0.549909,0,-0.31802,-0.550193,0,0,0,0,0.7,0.6,0.9,1.101,1.10081,1.1001
1.5,0.635509,0.000255028,0,-0.31825,0.549909,0,-0.31802,-0.550193,0,0,0,0,0.7,0.6,0.9,1.101,1.10081,1.1001
1.6,0.635509,0.000255028,0,-0.31825,0.549909,0,-0.31802,-0.550193,0,0,0,0,0.7,0.6,0.9,1.101,1.10081,1.1001
1.7,0.635509,0.000255028,0,-0.31825,0.549909,0,-0.31802,-0.550193,0,0,0,0,0.7,0.6,0.9,1.101,1.10081,1.1001
1.8,0.635509,0.000255028,0,-0.31825,0.549909,0,-0.31802,-0.550193,0,0,0,0,0.7,0.6,0.9,1.101,1.10081,1.1001
1.9,0.635509,0.000255028,0,-0.31825,0.549909,0,-0.31802,-0.550193,0,0,0,0,0.7,0.6,0.9,1.101,1.10081,1.1001
2,0.635509,0.000255028,0,-0.31825,0.549909,0,-0.31802,-0.550193,0,0,0,0,-0.9,-0.9,0.8,1.101,1.10081,1.1001
2.1,0.563767,0.000227765,0,-0.284522,0.549922,0,-0.284295,-0.55018,0,-0.94161,-0.941576,0.449976,-0.9,-0.9,0.8,1.01192,1.01172,1.1001
2.2,0.554245,0.000224183,0,-0.280067,0.549924,0,-0.279841,-0.550178,0,0,0,0,-0.9,-0.9,0.8,0.999321,0.999123,1.1001
2.3,0.554245,0.000224183,0,-0.280067,0.549924,0,-0.279841,-0.550178,0,0,0,0,-0.9,-0.9,0.8,0.999321,0.999123,1.1001
2.4,0.554245,0.000224183,0,-0.280067,0.549924,0,-0.279841,-0.550178,0,0,0,0,-0.9,-0.9,0.8,0.999321,0.999123,1.1001
2.5,0.554245,0.000224183,0,-0.280067,0.549924,0,-0.279841,-0.550178,0,0,0,0,-0.9,-0.9,0.8,0.999321,0.999123,1.1001
2.6,0.554245,0.000224183,0,-0.280067,0.549924,0,-0.279841,-0.550178,0,0,0,0,-0.9,-0.9,0.8,0.999321,0.999123,1.1001
2.7,0.554245,0.000224183,0,-0.280067,0.549924,0,-0.279841,-0.550178,0,0,0,0,-0.9,-0.9,0.8,0.999321,0.999123,1.1001
2.8,0.554245,0.000224183,0,-0.280067,0.549924,0,-0.279841,-0.550178,0,0,0,0,-0.9,-0.9,0.8,0.999321,0.999123,1.1001
2.9,0.554245,0.000224183,0,-0.280067,0.549924,0,-0.279841,-0.550178,0,0,0,0,-0.9,-0.9,0.8,0.999321,0.999123,1.1001
3,0.554245,0.000224183,0,-0.280067,0.549924,0,-0.279841,-0.550178,0,0,0,0,-0.7,-0.7,-1,0.999321,0.999123,1.1001
3.1,0.576553,0.000236758,0,-0.288664,0.499918,0,-0.288465,-0.500184,0,0.215024,0.2148,-1.202,-0.7,-0.7,-1,0.999338,0.99914,1.0011
3.2,0.576762,0.000236884,0,-0.288744,0.499418,0,-0.288545,-0.499684,0,0,0,0,-0.7,-0.7,-1,0.999338,0.99914,0.999102
3.3,0.576762,0.000236884,0,-0.288744,0.499418,0,-0.288545,-0.499684,0,0,0,0,-0.7,-0.7,-1,0.999338,0.99914,0.999102
3.4,0.576762,0.000236884,0,-0.288744,0.499418,0,-0.288545,-0.499684,0,0,0,0,-0.7,-0.7,-1,0.999338,0.99914,0.999102
3.5,0.576762,0.000236884,0,-0.288744,0.499418,0,-0.288545,-0.499684,0,0,0,0,-0.7,-0.7,-1,0.999338,0.99914,0.999102
3.6,0.576762,0.000236884,0,-0.288744,0.499418,0,-0.288545,-0.499684,0,0,0,0,-0.7,-0.7,-1,0.999338,0.99914,0.999102
3.7,0.576762,0.000236884,0,-0.288744,0.499418,0,-0.288545,-0.499684,0,0,0,0,-0.7,-0.7,-1,0.999338,0.99914,0.999102
3.8,0.576762,0.000236884,0,-0.288744,0.499418,0,-0.288545,-0.499684,0,0,0,0,-0.7,-0.7,-1,0.999338,0.99914,0.999102
3.9,0.576762,0.000236884,0,-0.288744,0.499418,0,-0.288545,-0.499684,0,0,0,0,-0.7,-0.7,-1,0.999338,0.99914,0.999102
4,0.576762,0.000236884,0,-0.288744,0.499418,0,-0.288545,-0.499684,0,0,0,0,1,0.9,-0.7,0.999338,0.99914,0.999102
4.1,0.650273,0.00354744,0,-0.320418,0.497527,0,-0.326168,-0.501558,0,0.952239,0.80233,-0.350236,1,0.9,-0.7,1.09835,1.08825,0.999102
4.2,0.655113,0.000257323,0,-0.326073,0.499413,0,-0.325104,-0.49969,0,0,0,0,1,0.9,-0.7,1.10035,1.10085,0.999104
4.3,0.655113,0.000257323,0,-0.326073,0.499413,0,-0.325104,-0.49969,0,0,0,0,1,0.9,-0.7,1.10035,1.10085,0.999104
4.4,0.655113,0.000257323,0,-0.326073,0.499413,0,-0.325104,-0.49969,0,0,0,0,1,0.9,-0.7,1.10035,1.10085,0.999104
4.5,0.655113,0.000257323,0,-0.326073,0.499413,0,-0.325104,-0.49969,0,0,0,0,1,0.9,-0.7,1.10035,1.10085,0.999104
4.6,0.655113,0.000257323,0,-0.326073,0.499413,0,-0.325104,-0.49969,0,0,0,0,1,0.9,-0.7,1.10035,1.10085,0.999104
4.7,0.655113,0.000257323,0,-0.326073,0.499413,0,-0.325104,-0.49969,0,0,0,0,1,0.9,-0.7,1.10035,1.10085,0.999104
4.8,0.655113,0.000257323,0,-0.326073,0.499413,0,-0.325104,-0.49969,0,0,0,0,1,0.9,-0.7,1.10035,1.10085,0.999104
4.9,0.655113,0.000257323,0,-0.326073,0.499413,0,-0.325104,-0.49969,0,0,0,0,1,0.9,-0.7,1.10035,1.10085,0.999104
5,0.655113,0.000257323,0,-0.326073,0.499413,0,-0.325104,-0.49969,0,0,0,0,0.7,0.6,0.9,1.10035,1.10085,0.999104
5.1,0.637697,0.000258724,0,-0.319281,0.54441,0,-0.318246,-0.544693,0,-0.188702,-0.189177,1.06609,0.7,0.6,0.9,1.10036,1.10087,1.0882
5.2,0.635292,0.000258718,0,-0.318338,0.55026,0,-0.317294,-0.550544,0,0,0,0,0.7,0.6,0.9,1.10036,1.10087,1.1008
5.3,0.635292,0.000258718,0,-0.318338,0.55026,0,-0.317294,-0.550544,0,0,0,0,0.7,0.6,0.9,1.10036,1.10087,1.1008
5.4,0.635292,0.000258718,0,-0.318338,0.55026,0,-0.317294,-0.550544,0,0,0,0,0.7,0.6,0.9,1.10036,1.10087,1.1008
5.5,0.635292,0.000258718,0,-0.318338,0.55026,0,-0.317294,-0.550544,0,0,0,0,0.7,0.6,0.9,1.10036,1.10087,1.1008
5.6,0.635292,0.000258718,0,-0.318338,0.55026,0,-0.317294,-0.550544,0,0,0,0,0.7,0.6,0.9,1.10036,1.10087,1.1008
5.7,0.635292,0.000258718,0,-0.318338,0.55026,0,-0.317294,-0.550544,0,0,0,0,0.7,0.6,0.9,1.10036,1.10087,1.1008
5.8,0.635292,0.000258718,0,-0.318338,0.55026,0,-0.317294,-0.550544,0,0,0,0,0.7,0.6,0.9,1.10036,1.10087,1.1008
5.9,0.635292,0.000258718,0,-0.318338,0.55026,0,-0.317294,-0.550544,0,0,0,0,0.7,0.6,0.9,1.10036,1.10087,1.1008
6,0.635292,0.000258718,0,-0.318338,0.55026,0,-0.317294,-0.550544,0,0,0,0,-0.9,-0.9,0.8,1.10036,1.10087,1.1008
6.1,0.563525,0.000221843,0,-0.284605,0.550276,0,-0.283553,-0.550528,0,-0.942293,-0.94238,0.450784,-0.9,-0.9,0.8,1.01128,1.01178,1.1008
6.2,0.554366,0.000514019,0,-0.280086,0.550114,0,-0.279502,-0.55069,0,0,0,0,-0.9,-0.9,0.8,0.999581,0.999185,1.1008
6.3,0.554366,0.000514019,0,-0.280086,0.550114,0,-0.279502,-0.55069,0,0,0,0,-0.9,-0.9,0.8,0.999581,0.999185,1.1008
6.4,0.554366,0.000514019,0,-0.280086,0.550114,0,-0.279502,-0.55069,0,0,0,0,-0.9,-0.9,0.8,0.999581,0.999185,1.1008
6.5,0.554366,0.000514019,0,-0.280086,0.550114,0,-0.279502,-0.55069,0,0,0,0,-0.9,-0.9,0.8,0.999581,0.999185,1.1008
6.6,0.554366,0.000514019,0,-0.280086,0.550114,0,-0.279502,-0.55069,0,0,0,0,-0.9,-0.9,0.8,0.999581,0.999185,1.1008
6.7,0.554366,0.000514019,0,-0.280086,0.550114,0,-0.279502,-0.55069,0,0,0,0,-0.9,-0.9,0.8,0.999581,0.999185,1.1008
6.8,0.554366,0.000514019,0,-0.280086,0.550114,0,-0.279502,-0.55069,0,0,0,0,-0.9,-0.9,0.8,0.999581,0.999185,1.1008
6.9,0.554366,0.000514019,0,-0.280086,0.550114,0,-0.279502,-0.55069,0,0,0,0,-0.9,-0.9,0.8,0.999581,0.999185,1.1008
7,0.554366,0.000514019,0,-0.280086,0.550114,0,-0.279502,-0.55069,0,0,0,0,-0.7,-0.7,-1,0.999581,0.999185,1.1008
7.1,0.576688,0.000541829,0,-0.28867,0.500101,0,-0.288153,-0.500703,0,0.215342,0.214893,-1.20201,-0.7,-0.7,-1,0.999598,0.999202,1.0018
7.2,0.576897,0.000542104,0,-0.28875,0.499601,0,-0.288234,-0.500203,0,0,0,0,-0.7,-0.7,-1,0.999599,0.999202,0.999804
