Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_length_0,arm_length_1,arm_length_2
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,0,0,1,1,1
0.1,0.618721,0.0281453,0,-0.275409,0.475943,0,-0.334176,-0.521345,0,4.95526,-0.651988,-0.648349,1.09898,0.999996,0.999017
0.2,0.619133,0.0284319,0,-0.275265,0.475694,0,-0.33463,-0.521558,0,0,0,0,1.10098,0.999996,0.999017
0.3,0.619133,0.0284319,0,-0.275265,0.475694,0,-0.33463,-0.521558,0,0,0,0,1.10098,0.999996,0.999017
0.4,0.619133,0.0284319,0,-0.275265,0.475694,0,-0.33463,-0.521558,0,0,0,0,1.10098,0.999996,0.999017
0.5,0.619133,0.0284319,0,-0.275265,0.475694,0,-0.33463,-0.521558,0,0,0,0,1.10098,0.999996,0.999017
0.6,0.619133,0.0284319,0,-0.275265,0.475694,0,-0.33463,-0.521558,0,0,0,0,1.10098,0.999996,0.999017
0.7,0.619133,0.0284319,0,-0.275265,0.475694,0,-0.33463,-0.521558,0,0,0,0,1.10098,0.999996,0.999017
0.8,0.619133,0.0284319,0,-0.275265,0.475694,0,-0.33463,-0.521558,0,0,0,0,1.10098,0.999996,0.999017
0.9,0.619133,0.0284319,0,-0.275265,0.475694,0,-0.33463,-0.521558,0,0,0,0,1.10098,0.999996,0.999017
1,0.619133,0.0284319,0,-0.275265,0.475694,0,-0.33463,-0.521558,0,0,0,0,1.10098,0.999996,0.999017
1.1,0.593649,0.0266165,0,-0.270729,0.527498,0,-0.331794,-0.569822,0,-0.771559,-0.380789,4.94908,1.10099,0.999015,1.09802
1.2,0.593384,0.0265974,0,-0.270682,0.528017,0,-0.331761,-0.570303,0,0,0,0,1.10099,0.999015,1.10002
1.3,0.593384,0.0265974,0,-0.270682,0.528017,0,-0.331761,-0.570303,0,0,0,0,1.10099,0.999015,1.10002
1.4,0.593384,0.0265974,0,-0.270682,0.528017,0,-0.331761,-0.570303,0,0,0,0,1.10099,0.999015,1.10002
1.5,0.593384,0.0265974,0,-0.270682,0.528017,0,-0.331761,-0.570303,0,0,0,0,1.10099,0.999015,1.10002
1.6,0.593384,0.0265974,0,-0.270682,0.528017,0,-0.331761,-0.570303,0,0,0,0,1.10099,0.999015,1.10002
1.7,0.593384,0.0265974,0,-0.270682,0.528017,0,-0.331761,-0.570303,0,0,0,0,1.10099,0.999015,1.10002
1.8,0.593384,0.0265974,0,-0.270682,0.528017,0,-0.331761,-0.570303,0,0,0,0,1.10099,0.999015,1.10002
1.9,0.593384,0.0265974,0,-0.270682,0.528017,0,-0.331761,-0.570303,0,0,0,0,1.10099,0.999015,1.10002
2,0.593384,0.0265974,0,-0.270682,0.528017,0,-0.331761,-0.570303,0,0,0,0,1.10099,0.999015,1.10002
2.1,0.618495,-0.0296382,0,-0.332043,0.522005,0,-0.27725,-0.476575,0,-5.67917,6.24599,-5.67868,1.00205,1.09802,1.00108
2.2,0.618338,-0.0304714,0,-0.3328,0.522131,0,-0.276201,-0.475347,0,0,0,0,0.999057,1.10002,0.999083
2.3,0.618338,-0.0304714,0,-0.3328,0.522131,0,-0.276201,-0.475347,0,0,0,0,0.999057,1.10002,0.999083
2.4,0.618338,-0.0304714,0,-0.3328,0.522131,0,-0.276201,-0.475347,0,0,0,0,0.999057,1.10002,0.999083
2.5,0.618338,-0.0304714,0,-0.3328,0.522131,0,-0.276201,-0.475347,0,0,0,0,0.999057,1.10002,0.999083
2.6,0.618338,-0.0304714,0,-0.3328,0.522131,0,-0.276201,-0.475347,0,0,0,0,0.999057,1.10002,0.999083
2.7,0.618338,-0.0304714,0,-0.3328,0.522131,0,-0.276201,-0.475347,0,0,0,0,0.999057,1.10002,0.999083
2.8,0.618338,-0.0304714,0,-0.3328,0.522131,0,-0.276201,-0.475347,0,0,0,0,0.999057,1.10002,0.999083
2.9,0.618338,-0.0304714,0,-0.3328,0.522131,0,-0.276201,-0.475347,0,0,0,0,0.999057,1.10002,0.999083
3,0.618338,-0.0304714,0,-0.3328,0.522131,0,-0.276201,-0.475347,0,0,0,0,0.999057,1.10002,0.999083
3.1,0.59324,-0.0283389,0,-0.329693,0.570206,0,-0.272273,-0.527376,0,-0.38353,-0.770194,4.94879,0.999075,1.10003,1.09808
3.2,0.592975,-0.0283192,0,-0.329658,0.570688,0,-0.272228,-0.527895,0,0,0,0,0.999076,1.10003,1.10008
3.3,0.592975,-0.0283192,0,-0.329658,0.570688,0,-0.272228,-0.527895,0,0,0,0,0.999076,1.10003,1.10008
3.4,0.592975,-0.0283192,0,-0.329658,0.570688,0,-0.272228,-0.527895,0,0,0,0,0.999076,1.10003,1.10008
3.5,0.592975,-0.0283192,0,-0.329658,0.570688,0,-0.272228,-0.527895,0,0,0,0,0.999076,1.10003,1.10008
3.6,0.592975,-0.0283192,0,-0.329658,0.570688,0,-0.272228,-0.527895,0,0,0,0,0.999076,1.10003,1.10008
