Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity__0,arm_extensile_velocity__1,arm_extensile_velocity__2,arm_length_0,arm_length_1,arm_length_2
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,0,0,-1,1,-1,1,1,1
0.1,0.616204,-0.0324257,0,-0.336697,0.517057,0,-0.277923,-0.48023,0,-0.256027,1.21492,-0.255118,-1,1,-1,0.999996,1.09898,0.999017
0.2,0.654168,-0.066299,0,-0.385088,0.533614,0,-0.264788,-0.458153,0,-0.306815,1.24115,-0.306832,-1,1,-1,0.999014,1.19898,0.999036
0.3,0.691751,-0.101206,0,-0.434111,0.5487,0,-0.250461,-0.433332,0,-0.371322,1.28326,-0.371335,-1,1,1,0.999035,1.29898,0.999057
0.4,0.675275,-0.0926797,0,-0.429605,0.594199,0,-0.241934,-0.488717,0,-0.0164565,-0.362105,1.2058,-1,1,1,0.999059,1.30099,1.09806
0.5,0.655979,-0.0847185,0,-0.424583,0.639829,0,-0.231496,-0.543581,0,-0.0784337,-0.363732,1.20357,-1,1,1,0.999083,1.30099,1.19806
0.6,0.634085,-0.0776899,0,-0.419355,0.685769,0,-0.219002,-0.597747,0,-0.140029,-0.376962,1.21269,-1,-1,1,0.999107,1.301,1.29806
0.7,0.591394,-0.041776,0,-0.375997,0.669955,0,-0.222682,-0.621041,0,0.0816232,-1.20368,0.363683,-1,-1,1,0.999133,1.202,1.30007
0.8,0.547382,-0.00744112,0,-0.333068,0.65363,0,-0.224482,-0.641903,0,0.0198231,-1.20532,0.361404,-1,-1,1,0.999157,1.102,1.30008
0.9,0.501738,0.0254153,0,-0.290397,0.637405,0,-0.224346,-0.660999,0,-0.0457512,-1.21941,0.371521,-1,-1,-1,0.999181,1.002,1.30008
1,0.529467,0.0275024,0,-0.29848,0.586567,0,-0.23828,-0.612005,0,0.308031,0.307896,-1.2418,-1,-1,-1,0.999201,0.999024,1.20108
1.1,0.554744,0.0287787,0,-0.305885,0.536129,0,-0.250705,-0.562569,0,0.25681,0.256646,-1.21546,-1,-1,-1,0.99922,0.999043,1.10108
1.2,0.577026,0.0299049,0,-0.311974,0.485756,0,-0.261817,-0.513068,0,0.21504,0.214839,-1.20202,1,-1,-1,0.999237,0.99906,1.00108
1.3,0.614562,0.064274,0,-0.299945,0.466559,0,-0.308574,-0.532504,0,1.21493,-0.255435,-0.255456,1,-1,-1,1.09824,0.999078,0.9991
1.4,0.651176,0.0997348,0,-0.286237,0.445352,0,-0.35594,-0.551333,0,1.24086,-0.306337,-0.306354,1,-1,-1,1.19824,0.999096,0.999119
1.5,0.686962,0.136478,0,-0.270695,0.421309,0,-0.404134,-0.568879,0,1.28282,-0.3707,-0.370714,1,-1,1,1.29824,0.999117,0.999139
1.6,0.670918,0.127158,0,-0.26496,0.477035,0,-0.397335,-0.614105,0,-0.361655,-0.0172235,1.20565,1,-1,1,1.30024,0.999141,1.09814
1.7,0.652029,0.118259,0,-0.257294,0.53234,0,-0.390013,-0.659434,0,-0.363427,-0.0791215,1.20353,1,-1,1,1.30025,0.999165,1.19814
1.8,0.630498,0.110157,0,-0.247541,0.587053,0,-0.382466,-0.705063,0,-0.376788,-0.140675,1.21274,-1,-1,1,1.30026,0.999189,1.29814
1.9,0.58966,0.0721473,0,-0.252374,0.610116,0,-0.339964,-0.68708,0,-1.20363,0.0811309,0.363606,-1,-1,1,1.20126,0.999215,1.30015
2,0.547423,0.0356468,0,-0.255208,0.630846,0,-0.297915,-0.668611,0,-1.20537,0.0193223,0.36142,-1,-1,1,1.10126,0.999239,1.30016
