Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,-1,0,0,1,0,0,-1,0,1,1,1,1,0,0
0.1,0.616216,0.0327659,0,-0.277164,0.480022,0,-0.336487,-0.517233,0,-0.255874,-1,0.00120179,1.2151,1,0.121185,-0.255814,-1,0.00120171,0.999082,1.09906,0.999018,0.998455,0.0555685,0
0.2,0.65456,0.0663506,0,-0.264522,0.45813,0,-0.384747,-0.533647,0,-0.306867,-1,0,1.24115,1,0.122709,-0.306818,-1,0,0.999101,1.19906,0.999036,0.994395,0.105725,0
0.3,0.692139,0.10126,0,-0.250191,0.43331,0,-0.433771,-0.548736,0,-0.37137,-1,0,1.28328,1,0.126088,-0.37133,-1,0,0.999121,1.29906,0.999057,0.988389,0.151942,0
0.4,0.728808,0.137747,0,-0.233903,0.4051,0,-0.483706,-0.562246,0,-0.456254,-1,0,1.34771,1,0.131358,-0.456221,-1,0,0.999144,1.39906,0.99908,0.980789,0.195073,0
0.5,0.764357,0.176172,0,-0.21527,0.372828,0,-0.534761,-0.573818,0,-0.573871,-1,0,1.44637,1,0.139394,-0.573844,-1,0,0.999171,1.49906,0.999106,0.971761,0.235967,0
0.6,0.798473,0.217081,0,-0.193693,0.335456,0,-0.587249,-0.582907,0,-0.748911,-0.572352,0,1.6036,1,0.151928,-0.748889,-1,0,0.999202,1.59906,0.999138,0.961287,0.275549,0
0.7,0.830636,0.261373,0,-0.16816,0.291232,0,-0.641691,-0.588611,0,-1.03898,-1,0,1.87677,1,0.172773,-1.03896,-1,0,0.999242,1.69906,0.999177,0.949095,0.314989,0
0.8,0.859852,0.310769,0,-0.136698,0.236738,0,-0.69908,-0.589211,0,-1.61697,-1,0,2.43858,1,0.212172,-1.61695,-1,0,0.999296,1.79906,0.999231,0.934428,0.356153,0
0.9,0.883608,0.369624,0,-0.0942198,0.16316,0,-0.761929,-0.580351,0,-3.34751,1,0,4.15353,1,0.310801,-3.3475,0.824249,0,0.999386,1.89906,0.999321,0.915037,0.403369,0
1,0.923257,0.30705,0,-0.176237,0.292435,0,-0.723405,-0.640974,0,2.73503,0.0280304,0.404629,-2.23336,1,0,2.57927,-1,0.321243,1.09859,1.90006,1.08114,0.943699,0.330805,0
1.1,0.925501,0.330858,0,-0.172083,0.227514,0,-0.729345,-0.602808,0,0.0653339,1,0.0026992,-0.047092,1,0,0.0414114,-0.628693,0.167568,1.10241,1.90007,0.999988,0.935786,0.352569,0
1.2,0.96172,0.304237,0,-0.24027,0.270503,0,-0.700182,-0.616812,0,1.81694,1,0.203164,-1.15282,1,0,0.918037,-1,2.28609e-05,1.20146,1.90007,0.999422,0.948668,0.316273,0
1.3,0.997147,0.281103,0,-0.305124,0.304265,0,-0.672908,-0.625081,0,1.56417,1,0.167611,-0.887134,1,0,0.616648,-1,0,1.30148,1.90007,0.999474,0.958593,0.28478,0
1.4,1.03251,0.260148,0,-0.368175,0.331233,0,-0.646869,-0.628646,0,1.42253,1,0.148638,-0.733531,1,0,0.423335,-1,0,1.40148,1.90007,0.999518,0.966519,0.256596,0
1.5,1.06811,0.240588,0,-0.430177,0.352886,0,-0.621732,-0.628146,0,1.33797,1,0.137629,-0.638114,1,0,0.283223,-1,0,1.50149,1.90007,0.999559,0.972988,0.230858,0
1.6,1.10409,0.221942,0,-0.491537,0.370074,0,-0.59732,-0.623909,0,1.28764,1,0.131028,-0.578113,1,0,0.172314,-1,0,1.60149,1.90007,0.999596,0.978334,0.207034,0
1.7,1.14051,0.203871,0,-0.552495,0.38332,0,-0.573528,-0.616092,0,1.26057,1,0.127232,-0.542591,0.451734,0,0.0780511,-1,0,1.70149,1.90007,0.999632,0.982784,0.18476,0
1.8,1.17738,0.186111,0,-0.613202,0.392945,0,-0.550285,-0.604741,0,1.25128,0.762991,0.125454,-0.526069,-0.45223,0,-0.00722538,-1,0,1.80149,1.90008,0.999668,0.986501,0.163755,0
1.9,1.19188,0.159689,0,-0.671139,0.402608,0,-0.507517,-0.58363,0,1.19539,-0.303162,0.0909263,-0.964289,-0.997553,0.0437759,-0.0510253,-1,0,1.87803,1.85531,0.999719,0.990278,0.1391,0
2,1.14973,0.137524,0,-0.678667,0.409289,0,-0.458266,-0.56585,0,0.131276,-1,0.00407733,-1.08804,-1,0.1087,0.0676292,-1,0,1.84878,1.7561,0.999736,0.992204,0.124621,0
2.1,1.08061,0.128613,0,-0.644527,0.41339,0,-0.423685,-0.561649,0,-0.762973,-1,0.0756652,-0.742905,-0.905324,0.0736791,0.199678,-1,0,1.74948,1.6561,0.999736,0.992209,0.124581,0
2.2,1.01392,0.122315,0,-0.608041,0.416827,0,-0.394148,-0.55976,0,-0.821093,-1,0.0815481,-0.64096,-0.454412,0.0573135,0.210601,-1,0,1.64949,1.56548,0.999736,0.991919,0.126873,0
2.3,0.960742,0.12925,0,-0.560927,0.416187,0,-0.388624,-0.568598,0,-1.03005,-1,0.103254,-0.105989,0.294431,0.00434598,0.178291,-1,0,1.54949,1.51959,0.999745,0.989913,0.141679,0
2.4,0.931043,0.15918,0,-0.496474,0.404766,0,-0.422975,-0.592324,0,-1.35669,-1,0.136034,0.816474,1,0.0239313,-0.0157388,-1,0,1.44949,1.54829,0.999795,0.983858,0.178949,0
2.5,0.924545,0.213023,0,-0.414369,0.37358,0,-0.496362,-0.622969,0,-1.77371,-1,0.171225,1.83902,1,0.175618,-0.493837,-1,0,1.34951,1.64759,0.999915,0.971333,0.237723,0
2.6,0.918802,0.270268,0,-0.328448,0.327042,0,-0.573228,-0.64156,0,-2.07722,-1,0.190573,2.18317,1,0.199406,-0.98573,-1,0.00207319,1.24954,1.7476,0.999052,0.954576,0.297967,0
2.7,0.911623,0.334397,0,-0.234577,0.259949,0,-0.655353,-0.646365,0,-2.91855,1,0.242418,3.06031,1,0.254869,-1.97832,-1,0,1.14961,1.8476,0.999226,0.931995,0.362472,0
2.8,0.9626,0.33571,0,-0.284255,0.269249,0,-0.657796,-0.657561,0,1.68247,1,0.118655,-1.01246,1,0.0420967,0.761798,-1,0,1.24762,1.9006,0.999254,0.937984,0.346678,0
2.9,0.998952,0.31542,0,-0.349551,0.296581,0,-0.630871,-0.662306,0,1.49053,1,0.157638,-0.808007,1,0,0.519923,-1,0,1.34764,1.9006,0.999302,0.948321,0.317314,0
3,1.03532,0.296901,0,-0.413164,0.317972,0,-0.605211,-0.662746,0,1.37889,1,0.14294,-0.684887,1,0,0.354949,-1,0,1.44764,1.9006,0.999344,0.956808,0.290719,0
3.1,1.07196,0.279549,0,-0.475708,0.334533,0,-0.580547,-0.659337,0,1.31176,1,0.134213,-0.607431,1,0,0.230129,-1,0,1.54764,1.9006,0.999383,0.963908,0.266236,0
3.2,1.10897,0.262963,0,-0.537534,0.346923,0,-0.556729,-0.652313,0,1.27294,1,0.129022,-0.559492,1,0,0.127927,-1,0,1.64765,1.9006,0.99942,0.969917,0.243435,0
3.3,1.14641,0.246846,0,-0.598852,0.355556,0,-0.533665,-0.641772,0,1.25442,1,0.126211,-0.53307,0.211375,0,0.0384966,-1,0,1.74765,1.90061,0.999456,0.975045,0.222006,0
3.4,1.18429,0.230957,0,-0.659804,0.360682,0,-0.511294,-0.627715,0,1.25228,1,0.125206,-0.524245,-0.530141,0,-0.044614,-1,0,1.84765,1.90061,0.999491,0.979447,0.201704,0
3.5,1.18857,0.207169,0,-0.705431,0.366015,0,-0.470671,-0.605564,0,0.277917,0.616501,0.0797034,-0.663892,-1,0.0497213,0.0238441,-1,0,1.90065,1.84813,0.999538,0.983486,0.180987,0
3.6,1.15944,0.178209,0,-0.731443,0.370631,0,-0.416116,-0.577903,0,0.532877,-0.621091,0,-1.2543,-1,0.125205,-0.0376947,-1,0,1.90065,1.7486,0.999573,0.987035,0.160505,0
