Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,1,0,0,1,0,0,-1,0,1,1,1,1,0,0
0.1,0.65491,-6.87762e-19,0,-0.32523,0.4995,0,-0.32523,-0.4995,0,0.920091,-0.478984,0.0953616,0.920091,1,0.0953616,-0.364873,-1,0.00163007,1.09908,1.09908,0.999,1,-1.05255e-18,0
0.2,0.674904,0.0460335,0,-0.287646,0.471023,0,-0.381362,-0.523615,0,-0.883284,-1,0.0415277,1.37662,1,0.135346,-0.229938,1,0,1.05268,1.19908,0.999044,0.997443,0.0714721,0
0.3,0.675691,0.0891697,0,-0.239401,0.49042,0,-0.431882,-0.591679,0,-0.312951,-1,0.0823467,0.888455,0.466622,0.107811,0.844442,1,0.0902672,0.999198,1.2991,1.09809,0.990581,0.13693,0
0.4,0.656337,0.081335,0,-0.228684,0.545212,0,-0.427079,-0.637347,0,-0.0792221,-1,0,-0.363341,-1,0,1.20351,1,0.120358,0.999221,1.30011,1.19809,0.991726,0.128374,0
0.5,0.591596,0.0401974,0,-0.221157,0.621633,0,-0.37726,-0.668053,0,-0.133651,-1,0,-1.56635,-1,0.156999,1.58798,1,0.156953,0.999316,1.20113,1.2981,0.997476,0.0710008,0
0.6,0.547226,0.00595637,0,-0.222746,0.643002,0,-0.334224,-0.652317,0,0.0193341,-1,0,-1.20534,-1,0.120714,0.361332,-1,0.00158869,0.999342,1.10113,1.30011,0.999917,0.012853,0
0.7,0.530098,-0.0267318,0,-0.238352,0.612149,0,-0.298756,-0.586444,0,0.356128,-0.938165,0,-0.891122,0.0949208,0.0866359,-0.933329,-1,0.0909459,0.999342,1.00114,1.20111,0.998774,-0.0495034,0
0.8,0.559379,-0.0248626,0,-0.250356,0.560851,0,-0.310371,-0.537626,0,0.236104,1,0,0.372156,1,0.00375252,-1.23811,-1,0.125284,0.999364,1.00955,1.10111,0.999058,-0.0433951,0
0.9,0.658597,-0.0291358,0,-0.297996,0.512782,0,-0.352783,-0.485831,0,1.09293,-0.691847,0.118761,1.10788,1,0.120083,-1.54435,-1,0.162302,1.09843,1.10871,1.00111,0.999064,-0.0432644,0
1,0.673346,0.0227679,0,-0.25149,0.476773,0,-0.413108,-0.509242,0,-1.1422,-1,0.0776195,1.4528,1,0.142336,-0.248212,1,0.00124716,1.03095,1.20872,0.999172,0.999249,0.038754,0
1.1,0.680601,0.0557418,0,-0.214023,0.500914,0,-0.459433,-0.570541,0,-0.0168794,-1,0.0481286,-0.361829,1,0.0927017,1.20569,1,0.0911717,0.999265,1.30073,1.0982,0.996062,0.0886621,0
1.2,0.660897,0.0488451,0,-0.200647,0.555128,0,-0.456869,-0.616382,0,-0.0787992,-1,0,-0.363535,-1,0,1.20352,1,0.120363,0.999289,1.30074,1.1982,0.996791,0.0800452,0
1.3,0.594242,0.0108951,0,-0.189407,0.63111,0,-0.408613,-0.649479,0,-0.132943,-1,0,-1.56641,-1,0.157018,1.58794,1,0.156961,0.999384,1.20175,1.29821,0.999747,0.0224735,0
1.4,0.548259,-0.0211457,0,-0.189959,0.652541,0,-0.364858,-0.635864,0,0.0196595,-1,0,-1.20529,-1,0.120712,0.361324,-1,0.00158864,0.99941,1.10175,1.30022,0.999363,-0.0356873,0
1.5,0.529551,-0.0529512,0,-0.207062,0.62249,0,-0.326205,-0.571812,0,0.356018,-0.614473,0,-0.891035,-1,0.0866296,-0.933144,-1,0.0909294,0.99941,1.00177,1.20123,0.9952,-0.0978603,0
1.6,0.554267,-0.0557333,0,-0.221894,0.573895,0,-0.330691,-0.520943,0,0.256388,1,0,0.256718,-1,0.000891592,-1.21531,-1,0.122407,0.999428,0.999785,1.10123,0.995137,-0.0984994,0
1.7,0.611723,-0.0961343,0,-0.279211,0.548083,0,-0.322965,-0.451206,0,1.46988,1,0.145331,-0.11654,-1,0,-1.44973,-1,0.145368,1.09844,0.999858,1.00125,0.987689,-0.156432,0
1.8,0.646633,-0.133486,0,-0.32566,0.568877,0,-0.308194,-0.430235,0,1.24068,1,0.122926,-0.306377,-1,0,-0.30591,1,0.00144994,1.19844,0.999878,0.999265,0.97856,-0.205964,0
1.9,0.664016,-0.163379,0,-0.361614,0.634531,0,-0.290097,-0.462417,0,0.888749,1,0.0910496,-0.313416,-1,0,0.844927,1,0.086739,1.29845,0.999878,1.09828,0.969687,-0.24435,0
2,0.645988,-0.153875,0,-0.352268,0.679601,0,-0.285332,-0.517807,0,-0.363092,-1,0.000888352,-0.0792876,-1,0,1.20336,1,0.119983,1.30046,0.999901,1.19828,0.971646,-0.23644,0
2.1,0.586177,-0.105883,0,-0.299362,0.704646,0,-0.286274,-0.594578,0,-1.56591,-1,0.15696,-0.13329,-1,0,1.58751,1,0.156912,1.20147,0.999996,1.29829,0.983653,-0.180077,0
2.2,0.545403,-0.0672444,0,-0.258362,0.684424,0,-0.289741,-0.615495,0,-1.20544,-1,0.120646,0.0192214,-1,0.00109389,0.361628,-1,0.00158822,1.10147,0.999022,1.3003,0.992385,-0.123173,0
