Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_length_0,arm_length_1
0,-1,0,0,0,0,0,1,0,0,0,0,1,1
0.1,-1.06094,0,0,0.0390572,0,0,1.03806,0,0,5.30135,1.71025,1.099,0.999
0.2,-1.12212,0,0,0.0778789,0,0,1.07688,0,0,5.05483,1.7429,1.199,0.999
0.3,-1.18314,0,0,0.116865,0,0,1.11586,0,0,4.86504,1.76591,1.299,0.999
0.4,-1.24399,0,0,0.156014,0,0,1.15501,0,0,4.71407,1.7823,1.399,0.999
0.5,-1.30468,0,0,0.195319,0,0,1.19432,0,0,4.59086,1.79396,1.499,0.999
0.6,-1.34004,0,0,0.16096,0,0,1.25996,0,0,1.8226,5.50665,1.501,1.098
0.7,-1.37509,0,0,0.125913,0,0,1.32491,0,0,1.84311,5.25358,1.501,1.198
0.8,-1.4104,0,0,0.0905961,0,0,1.3896,0,0,1.85791,5.05911,1.501,1.298
0.9,-1.44597,0,0,0.0550326,0,0,1.45403,0,0,1.86863,4.90469,1.501,1.398
1,-1.48175,0,0,0.0192467,0,0,1.51825,0,0,1.87636,4.77886,1.501,1.498
1.1,-1.41826,0,0,-0.0172636,0,0,1.48374,0,0,-4.89917,-1.869,1.402,1.501
1.2,-1.35383,0,0,-0.0528341,0,0,1.44817,0,0,-5.05226,-1.85841,1.302,1.501
1.3,-1.28916,0,0,-0.0881593,0,0,1.41284,0,0,-5.24483,-1.8438,1.202,1.501
1.4,-1.22421,0,0,-0.123214,0,0,1.37779,0,0,-5.49507,-1.82356,1.102,1.501
1.5,-1.15898,0,0,-0.157976,0,0,1.34302,0,0,-5.83445,-1.79517,1.002,1.501
1.6,-1.11902,0,0,-0.119025,0,0,1.28198,0,0,-1.78307,-4.71061,1,1.402
1.7,-1.07988,0,0,-0.079883,0,0,1.22112,0,0,-1.76688,-4.86063,1,1.302
1.8,-1.0409,0,0,-0.0409046,0,0,1.1601,0,0,-1.74414,-5.04905,1,1.202
1.9,-1.00209,0,0,-0.00209107,0,0,1.09891,0,0,-1.71189,-5.29353,1,1.102
2,-0.963429,0,0,0.0365712,0,0,1.03757,0,0,-1.66527,-5.62463,1,1.002
2.1,-1.02438,0,0,0.0756165,0,0,1.07562,0,0,5.302,1.71074,1.099,1
2.2,-1.0852,0,0,0.114805,0,0,1.1138,0,0,5.05483,1.7429,1.199,0.999
2.3,-1.14621,0,0,0.153791,0,0,1.15279,0,0,4.86504,1.76591,1.299,0.999
2.4,-1.20706,0,0,0.19294,0,0,1.19194,0,0,4.71407,1.7823,1.399,0.999
2.5,-1.26775,0,0,0.232245,0,0,1.23125,0,0,4.59086,1.79396,1.499,0.999
2.6,-1.30311,0,0,0.197886,0,0,1.29689,0,0,1.8226,5.50665,1.501,1.098
2.7,-1.33816,0,0,0.162839,0,0,1.36184,0,0,1.84311,5.25358,1.501,1.198
2.8,-1.37348,0,0,0.127522,0,0,1.42652,0,0,1.85791,5.05911,1.501,1.298
2.9,-1.40904,0,0,0.0919585,0,0,1.49096,0,0,1.86863,4.90469,1.501,1.398
3,-1.44483,0,0,0.0561726,0,0,1.55517,0,0,1.87636,4.77886,1.501,1.498
3.1,-1.38135,0,0,0.0196542,0,0,1.52065,0,0,-4.89917,-1.869,1.402,1.501
3.2,-1.31692,0,0,-0.0159163,0,0,1.48508,0,0,-5.05226,-1.85841,1.302,1.501
3.3,-1.25224,0,0,-0.0512414,0,0,1.44976,0,0,-5.24483,-1.8438,1.202,1.501
3.4,-1.1873,0,0,-0.0862964,0,0,1.4147,0,0,-5.49507,-1.82356,1.102,1.501
3.5,-1.12206,0,0,-0.121058,0,0,1.37994,0,0,-5.83445,-1.79517,1.002,1.501
3.6,-1.08211,0,0,-0.0821071,0,0,1.31889,0,0,-1.78307,-4.71061,1,1.402
3.7,-1.04297,0,0,-0.0429652,0,0,1.25803,0,0,-1.76688,-4.86063,1,1.302
3.8,-1.00399,0,0,-0.00398673,0,0,1.19701,0,0,-1.74414,-5.04905,1,1.202
3.9,-0.965173,0,0,0.0348268,0,0,1.13583,0,0,-1.71189,-5.29353,1,1.102
4,-0.926511,0,0,0.073489,0,0,1.07449,0,0,-1.66527,-5.62463,1,1.002
4.1,-0.987068,0,0,0.112932,0,0,1.11193,0,0,5.30135,1.71025,1.099,0.999
4.2,-1.04825,0,0,0.151753,0,0,1.15075,0,0,5.05483,1.7429,1.199,0.999
4.3,-1.10926,0,0,0.19074,0,0,1.18974,0,0,4.86504,1.76591,1.299,0.999
4.4,-1.17011,0,0,0.229889,0,0,1.22889,0,0,4.71407,1.7823,1.399,0.999
4.5,-1.23081,0,0,0.269194,0,0,1.26819,0,0,4.59086,1.79396,1.499,0.999
4.6,-1.26617,0,0,0.234835,0,0,1.33383,0,0,1.8226,5.50665,1.501,1.098
4.7,-1.30121,0,0,0.199788,0,0,1.39879,0,0,1.84311,5.25358,1.501,1.198
4.8,-1.33653,0,0,0.164471,0,0,1.46347,0,0,1.85791,5.05911,1.501,1.298
4.9,-1.37209,0,0,0.128907,0,0,1.52791,0,0,1.86863,4.90469,1.501,1.398
5,-1.40788,0,0,0.0931213,0,0,1.59212,0,0,1.87636,4.77886,1.501,1.498
5.1,-1.34439,0,0,0.056611,0,0,1.55761,0,0,-4.89917,-1.869,1.402,1.501
5.2,-1.27996,0,0,0.0210405,0,0,1.52204,0,0,-5.05226,-1.85841,1.302,1.501
5.3,-1.21528,0,0,-0.0142846,0,0,1.48672,0,0,-5.24483,-1.8438,1.202,1.501
5.4,-1.15034,0,0,-0.0493397,0,0,1.45166,0,0,-5.49507,-1.82356,1.102,1.501
5.5,-1.0851,0,0,-0.0841016,0,0,1.4169,0,0,-5.83445,-1.79517,1.002,1.501
5.6,-1.04515,0,0,-0.0451503,0,0,1.35585,0,0,-1.78307,-4.71061,1,1.402
5.7,-1.00601,0,0,-0.0060084,0,0,1.29499,0,0,-1.76688,-4.86063,1,1.302
5.8,-0.96703,0,0,0.03297,0,0,1.23397,0,0,-1.74414,-5.04905,1,1.202
5.9,-0.928216,0,0,0.0717836,0,0,1.17278,0,0,-1.71189,-5.29353,1,1.102
6,-0.889554,0,0,0.110446,0,0,1.11145,0,0,-1.66527,-5.62463,1,1.002
6.1,-0.950509,0,0,0.149491,0,0,1.14949,0,0,5.302,1.71074,1.099,1
6.2,-1.0117,0,0,0.188301,0,0,1.1883,0,0,5.05546,1.74333,1.199,1
6.3,-1.07272,0,0,0.227277,0,0,1.22728,0,0,4.86565,1.76631,1.299,1
6.4,-1.13322,0,0,0.266781,0,0,1.26578,0,0,4.71407,1.7823,1.399,0.999
6.5,-1.19391,0,0,0.306086,0,0,1.30509,0,0,4.59086,1.79396,1.499,0.999
6.6,-1.22927,0,0,0.271727,0,0,1.37073,0,0,1.8226,5.50665,1.501,1.098
6.7,-1.26432,0,0,0.23668,0,0,1.43568,0,0,1.84311,5.25358,1.501,1.198
6.8,-1.29964,0,0,0.201363,0,0,1.50036,0,0,1.85791,5.05911,1.501,1.298
6.9,-1.3352,0,0,0.165799,0,0,1.5648,0,0,1.86863,4.90469,1.501,1.398
7,-1.37099,0,0,0.130013,0,0,1.62901,0,0,1.87636,4.77886,1.501,1.498
7.1,-1.30714,0,0,0.0938575,0,0,1.59386,0,0,-4.89894,-1.86893,1.402,1.5
7.2,-1.24272,0,0,0.0582822,0,0,1.55828,0,0,-5.05203,-1.85834,1.302,1.5
7.3,-1.17805,0,0,0.0229523,0,0,1.52295,0,0,-5.2446,-1.84373,1.202,1.5
7.4,-1.11311,0,0,-0.0121076,0,0,1.48789,0,0,-5.49483,-1.82348,1.102,1.5
7.5,-1.04787,0,0,-0.0468747,0,0,1.45313,0,0,-5.8342,-1.79508,1.002,1.5
7.6,-1.00792,0,0,-0.00792489,0,0,1.39208,0,0,-1.78293,-4.71196,1,1.401
7.7,-0.968785,0,0,0.0312154,0,0,1.33122,0,0,-1.76669,-4.8623,1,1.301
7.8,-0.929808,0,0,0.0701922,0,0,1.27019,0,0,-1.74387,-5.05118,1,1.201
7.9,-0.890996,0,0,0.109004,0,0,1.209,0,0,-1.71151,-5.29634,1,1.101
8,-0.852335,0,0,0.147665,0,0,1.14766,0,0,-1.6647,-5.62854,1,1.001
8.1,-0.913278,0,0,0.186722,0,0,1.18572,0,0,5.30135,1.71025,1.099,0.999
8.2,-0.974456,0,0,0.225544,0,0,1.22454,0,0,5.05483,1.7429,1.199,0.999
8.3,-1.03547,0,0,0.26453,0,0,1.26353,0,0,4.86504,1.76591,1.299,0.999
8.4,-1.09632,0,0,0.303679,0,0,1.30268,0,0,4.71407,1.7823,1.399,0.999
8.5,-1.15702,0,0,0.342984,0,0,1.34198,0,0,4.59086,1.79396,1.499,0.999
8.6,-1.19237,0,0,0.308625,0,0,1.40763,0,0,1.8226,5.50665,1.501,1.098
8.7,-1.22742,0,0,0.273578,0,0,1.47258,0,0,1.84311,5.25358,1.501,1.198
8.8,-1.26274,0,0,0.238261,0,0,1.53726,0,0,1.85791,5.05911,1.501,1.298
8.9,-1.2983,0,0,0.202698,0,0,1.6017,0,0,1.86863,4.90469,1.501,1.398
9,-1.33409,0,0,0.166912,0,0,1.66591,0,0,1.87636,4.77886,1.501,1.498
9.1,-1.27024,0,0,0.130756,0,0,1.63076,0,0,-4.89894,-1.86893,1.402,1.5
9.2,-1.20582,0,0,0.0951805,0,0,1.59518,0,0,-5.05203,-1.85834,1.302,1.5
9.3,-1.14152,0,0,0.05948,0,0,1.56048,0,0,-5.24483,-1.8438,1.202,1.501
9.4,-1.07658,0,0,0.024425,0,0,1.52542,0,0,-5.49507,-1.82356,1.102,1.501
9.5,-1.01134,0,0,-0.010337,0,0,1.49066,0,0,-5.83445,-1.79517,1.002,1.501
9.6,-0.971386,0,0,0.0286143,0,0,1.42961,0,0,-1.78307,-4.71061,1,1.402
9.7,-0.932244,0,0,0.0677562,0,0,1.36876,0,0,-1.76688,-4.86063,1,1.302
9.8,-0.893265,0,0,0.106735,0,0,1.30773,0,0,-1.74414,-5.04905,1,1.202
9.9,-0.854452,0,0,0.145548,0,0,1.24655,0,0,-1.71189,-5.29353,1,1.102
10,-0.81579,0,0,0.18421,0,0,1.18521,0,0,-1.66527,-5.62463,1,1.002
10.1,-0.876347,0,0,0.223653,0,0,1.22265,0,0,5.30135,1.71025,1.099,0.999
10.2,-0.937525,0,0,0.262475,0,0,1.26147,0,0,5.05483,1.7429,1.199,0.999
10.3,-0.998539,0,0,0.301461,0,0,1.30046,0,0,4.86504,1.76591,1.299,0.999
10.4,-1.05939,0,0,0.34061,0,0,1.33961,0,0,4.71407,1.7823,1.399,0.999
10.5,-1.12008,0,0,0.379915,0,0,1.37892,0,0,4.59086,1.79396,1.499,0.999
10.6,-1.15544,0,0,0.345556,0,0,1.44456,0,0,1.8226,5.50665,1.501,1.098
10.7,-1.19049,0,0,0.31051,0,0,1.50951,0,0,1.84311,5.25358,1.501,1.198
10.8,-1.22581,0,0,0.275192,0,0,1.57419,0,0,1.85791,5.05911,1.501,1.298
10.9,-1.26137,0,0,0.239629,0,0,1.63863,0,0,1.86863,4.90469,1.501,1.398
11,-1.29716,0,0,0.203843,0,0,1.70284,0,0,1.87636,4.77886,1.501,1.498
11.1,-1.23368,0,0,0.167324,0,0,1.66832,0,0,-4.89917,-1.869,1.402,1.501
11.2,-1.16925,0,0,0.131753,0,0,1.63275,0,0,-5.05226,-1.85841,1.302,1.501
11.3,-1.10457,0,0,0.0964283,0,0,1.59743,0,0,-5.24483,-1.8438,1.202,1.501
11.4,-1.03963,0,0,0.0613733,0,0,1.56237,0,0,-5.49507,-1.82356,1.102,1.501
11.5,-0.974389,0,0,0.0266113,0,0,1.52761,0,0,-5.83445,-1.79517,1.002,1.501
11.6,-0.934437,0,0,0.0655627,0,0,1.46656,0,0,-1.78307,-4.71061,1,1.402
11.7,-0.895295,0,0,0.104705,0,0,1.4057,0,0,-1.76688,-4.86063,1,1.302
11.8,-0.856317,0,0,0.143683,0,0,1.34468,0,0,-1.74414,-5.04905,1,1.202
11.9,-0.817503,0,0,0.182497,0,0,1.2835,0,0,-1.71189,-5.29353,1,1.102
12,-0.778841,0,0,0.221159,0,0,1.22216,0,0,-1.66527,-5.62463,1,1.002
12.1,-0.839398,0,0,0.260602,0,0,1.2596,0,0,5.30135,1.71025,1.099,0.999
12.2,-0.900577,0,0,0.299423,0,0,1.29842,0,0,5.05483,1.7429,1.199,0.999
12.3,-0.961591,0,0,0.338409,0,0,1.33741,0,0,4.86504,1.76591,1.299,0.999
12.4,-1.02244,0,0,0.377559,0,0,1.37656,0,0,4.71407,1.7823,1.399,0.999
12.5,-1.08314,0,0,0.416864,0,0,1.41586,0,0,4.59086,1.79396,1.499,0.999
12.6,-1.1185,0,0,0.382504,0,0,1.4815,0,0,1.8226,5.50665,1.501,1.098
12.7,-1.15354,0,0,0.347458,0,0,1.54646,0,0,1.84311,5.25358,1.501,1.198
12.8,-1.18886,0,0,0.31214,0,0,1.61114,0,0,1.85791,5.05911,1.501,1.298
12.9,-1.22442,0,0,0.276577,0,0,1.67558,0,0,1.86863,4.90469,1.501,1.398
13,-1.26021,0,0,0.240791,0,0,1.73979,0,0,1.87636,4.77886,1.501,1.498
13.1,-1.19673,0,0,0.204272,0,0,1.70527,0,0,-4.89917,-1.869,1.402,1.501
13.2,-1.1323,0,0,0.168702,0,0,1.6697,0,0,-5.05226,-1.85841,1.302,1.501
13.3,-1.06762,0,0,0.133377,0,0,1.63438,0,0,-5.24483,-1.8438,1.202,1.501
13.4,-1.00268,0,0,0.0983217,0,0,1.59932,0,0,-5.49507,-1.82356,1.102,1.501
13.5,-0.93744,0,0,0.0635597,0,0,1.56456,0,0,-5.83445,-1.79517,1.002,1.501
13.6,-0.897489,0,0,0.102511,0,0,1.50351,0,0,-1.78307,-4.71061,1,1.402
13.7,-0.858347,0,0,0.141653,0,0,1.44265,0,0,-1.76688,-4.86063,1,1.302
13.8,-0.819369,0,0,0.180631,0,0,1.38163,0,0,-1.74414,-5.04905,1,1.202
13.9,-0.780555,0,0,0.219445,0,0,1.32044,0,0,-1.71189,-5.29353,1,1.102
