Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_length_0,arm_length_1
0,-1,0,0,0,0,0,1,0,0,0,0,1,1
0.1,-1.1,0,0,8.88178e-19,0,0,1.1,0,0,7.11064,7.11064,1.099,1.099
0.2,-1.2,0,0,1.88738e-18,0,0,1.2,0,0,6.96118,6.96118,1.199,1.199
0.3,-1.3,0,0,3.66374e-18,0,0,1.3,0,0,6.83955,6.83955,1.299,1.299
0.4,-1.4,0,0,1.9984e-18,0,0,1.4,0,0,6.73864,6.73864,1.399,1.399
0.5,-1.5,0,0,1.55431e-18,0,0,1.5,0,0,6.65357,6.65357,1.499,1.499
0.6,-1.4,0,0,1.9984e-18,0,0,1.4,0,0,-6.73679,-6.73679,1.401,1.401
0.7,-1.3,0,0,3.66374e-18,0,0,1.3,0,0,-6.83734,-6.83734,1.301,1.301
0.8,-1.2,0,0,1.88738e-18,0,0,1.2,0,0,-6.9585,-6.9585,1.201,1.201
0.9,-1.1,0,0,8.88178e-19,0,0,1.1,0,0,-7.10732,-7.10732,1.101,1.101
1,-1,0,0,-3.85186e-34,0,0,1,0,0,-7.29449,-7.29449,1.001,1.001
1.1,-1.1,0,0,7.77156e-19,0,0,1.1,0,0,7.11064,7.11064,1.099,1.099
1.2,-1.2,0,0,1.77636e-18,0,0,1.2,0,0,6.96118,6.96118,1.199,1.199
1.3,-1.3,0,0,3.55271e-18,0,0,1.3,0,0,6.83955,6.83955,1.299,1.299
1.4,-1.4,0,0,1.88738e-18,0,0,1.4,0,0,6.73864,6.73864,1.399,1.399
1.5,-1.5,0,0,1.44329e-18,0,0,1.5,0,0,6.65357,6.65357,1.499,1.499
1.6,-1.4,0,0,1.88738e-18,0,0,1.4,0,0,-6.73679,-6.73679,1.401,1.401
1.7,-1.3,0,0,3.55271e-18,0,0,1.3,0,0,-6.83734,-6.83734,1.301,1.301
1.8,-1.2,0,0,1.77636e-18,0,0,1.2,0,0,-6.9585,-6.9585,1.201,1.201
1.9,-1.1,0,0,7.77156e-19,0,0,1.1,0,0,-7.10732,-7.10732,1.101,1.101
2,-1,0,0,-1.11022e-19,0,0,1,0,0,-7.29449,-7.29449,1.001,1.001
2.1,-1.1,0,0,6.66134e-19,0,0,1.1,0,0,7.11064,7.11064,1.099,1.099
2.2,-1.2,0,0,1.66533e-18,0,0,1.2,0,0,6.96118,6.96118,1.199,1.199
2.3,-1.3,0,0,3.44169e-18,0,0,1.3,0,0,6.83955,6.83955,1.299,1.299
2.4,-1.4,0,0,1.77636e-18,0,0,1.4,0,0,6.73864,6.73864,1.399,1.399
2.5,-1.5,0,0,1.33227e-18,0,0,1.5,0,0,6.65357,6.65357,1.499,1.499
2.6,-1.4,0,0,1.77636e-18,0,0,1.4,0,0,-6.73679,-6.73679,1.401,1.401
2.7,-1.3,0,0,3.44169e-18,0,0,1.3,0,0,-6.83734,-6.83734,1.301,1.301
2.8,-1.2,0,0,1.66533e-18,0,0,1.2,0,0,-6.9585,-6.9585,1.201,1.201
2.9,-1.1,0,0,6.66134e-19,0,0,1.1,0,0,-7.10732,-7.10732,1.101,1.101
3,-1,0,0,-2.22045e-19,0,0,1,0,0,-7.29449,-7.29449,1.001,1.001
3.1,-1.1,0,0,5.55112e-19,0,0,1.1,0,0,7.11064,7.11064,1.099,1.099
3.2,-1.2,0,0,1.55431e-18,0,0,1.2,0,0,6.96118,6.96118,1.199,1.199
3.3,-1.3,0,0,3.33067e-18,0,0,1.3,0,0,6.83955,6.83955,1.299,1.299
3.4,-1.4,0,0,1.66533e-18,0,0,1.4,0,0,6.73864,6.73864,1.399,1.399
3.5,-1.5,0,0,1.22125e-18,0,0,1.5,0,0,6.65357,6.65357,1.499,1.499
3.6,-1.4,0,0,1.66533e-18,0,0,1.4,0,0,-6.73679,-6.73679,1.401,1.401
3.7,-1.3,0,0,3.33067e-18,0,0,1.3,0,0,-6.83734,-6.83734,1.301,1.301
3.8,-1.2,0,0,1.55431e-18,0,0,1.2,0,0,-6.9585,-6.9585,1.201,1.201
