Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_length_0,arm_length_1,arm_length_2
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,0,0,1,1,1
0.1,0.618721,0.0281453,0,-0.275409,0.475943,0,-0.334176,-0.521345,0,4.95526,-0.651988,-0.648349,1.09898,0.999996,0.999017
0.2,0.659184,0.0576233,0,-0.259779,0.449463,0,-0.380062,-0.542307,0,4.8084,-0.873112,-0.873181,1.19898,0.999014,0.999036
0.3,0.699332,0.0880858,0,-0.242885,0.420197,0,-0.426519,-0.561839,0,4.77367,-1.14338,-1.14343,1.29898,0.999035,0.999057
0.4,0.738613,0.120051,0,-0.223991,0.387466,0,-0.473844,-0.579868,0,4.85742,-1.48816,-1.48821,1.39898,0.999058,0.99908
0.5,0.776807,0.153899,0,-0.20272,0.350617,0,-0.522256,-0.596014,0,5.09357,-1.95379,-1.95383,1.49898,0.999084,0.999106
0.6,0.813586,0.190198,0,-0.178485,0.308635,0,-0.572082,-0.60971,0,5.56615,-2.63212,-2.63215,1.59898,0.999116,0.999138
0.7,0.848421,0.229865,0,-0.150287,0.259786,0,-0.623853,-0.620038,0,6.4839,-3.73707,-3.7371,1.69898,0.999155,0.999177
0.8,0.880325,0.274608,0,-0.116143,0.200639,0,-0.678554,-0.62529,0,8.4851,-5.91041,-5.91043,1.79898,0.999209,0.999231
0.9,0.906874,0.32863,0,-0.0708782,0.122227,0,-0.738611,-0.621264,0,14.7771,-12.3618,-12.3618,1.89898,0.999299,0.999321
1,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
1.1,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
1.2,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
1.3,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
1.4,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
1.5,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
1.6,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
1.7,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
1.8,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
1.9,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
2,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
2.1,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
2.2,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
2.3,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
2.4,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
2.5,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
2.6,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
2.7,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
2.8,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
2.9,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
3,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
3.1,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
3.2,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
3.3,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
3.4,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
3.5,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
3.6,0.907093,0.32925,0,-0.0703264,0.121271,0,-0.739258,-0.621143,0,0,0,0,1.90098,0.999302,0.999324
