Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0
0.1,0.654725,-2.77556e-20,0,-0.325159,0.5,0,-0.325159,-0.5,0,0.920559,1,0.0952011,0.920559,1,0.0952011,-0.365462,0,0,1.09908,1.09908,1,1,-4.23927e-20,0
0.2,0.729968,-1.13798e-18,0,-0.361001,0.5,0,-0.361001,-0.5,0,0.872377,1,0.089497,0.872377,1,0.089497,-0.31954,0,0,1.19909,1.19909,1,1,-1.55894e-18,0
0.3,0.803675,-1.58207e-18,0,-0.39643,0.5,0,-0.39643,-0.5,0,0.836457,0,0.0853419,0.836457,0,0.0853419,-0.284684,1,0,1.2991,1.2991,1,1,-1.97741e-18,0
0.4,0.787973,-1.48839e-18,0,-0.390068,0.55,0,-0.390068,-0.55,0,-0.163192,0,0,-0.163192,0,0,1.15285,1,0.11545,1.30011,1.30011,1.099,1,-1.89757e-18,0
0.5,0.770454,-1.58554e-18,0,-0.382937,0.6,0,-0.382937,-0.6,0,-0.186825,0,0,-0.186825,0,0,1.15445,1,0.115318,1.30012,1.30012,1.199,1,-2.0676e-18,0
0.6,0.751011,-1.65493e-18,0,-0.374975,0.65,0,-0.374975,-0.65,0,-0.213501,-1,0,-0.213501,-1,0,1.16173,0,0.115765,1.30013,1.30013,1.299,1,-2.20464e-18,0
0.7,0.67163,-1.90473e-18,0,-0.337258,0.65,0,-0.337258,-0.65,0,-1.01442,-1,0.097936,-1.01442,-1,0.097936,0.494149,0,0,1.20115,1.20115,1.3,1,-2.83747e-18,0
0.8,0.589245,-1.2941e-18,0,-0.298375,0.65,0,-0.298375,-0.65,0,-1.1114,-1,0.106015,-1.1114,-1,0.106015,0.590219,0,0,1.10117,1.10117,1.3,1,-2.19752e-18,0
0.9,0.50249,-1.62717e-18,0,-0.257704,0.65,0,-0.257704,-0.65,0,-1.26363,0,0.118195,-1.26363,0,0.118195,0.739999,-1,0,1.0012,1.0012,1.3,1,-3.2107e-18,0
1,0.53113,-1.53003e-18,0,-0.269142,0.6,0,-0.269142,-0.6,0,0.307148,0,0,0.307148,0,0,-1.24118,-1,0.126054,1.00022,1.00022,1.201,1,-2.85753e-18,0
1.1,0.556395,-1.55778e-18,0,-0.279053,0.55,0,-0.279053,-0.55,0,0.256126,0,0,0.256126,0,0,-1.21504,-1,0.122681,1.00024,1.00024,1.101,1,-2.77827e-18,0
1.2,0.578667,-1.59942e-18,0,-0.287651,0.5,0,-0.287651,-0.5,0,0.214487,1,0,0.214487,1,0,-1.20173,0,0.120733,1.00025,1.00025,1.001,1,-2.76933e-18,0
1.3,0.655988,-2.12677e-18,0,-0.324109,0.5,0,-0.324109,-0.5,0,0.920453,1,0.0951882,0.920453,1,0.0951882,-0.365361,0,0,1.09927,1.09927,1,1,-3.24764e-18,0
